@relation 'mice-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-R78-80-weka.filters.unsupervised.attribute.RandomProjection-M-N32-R42-DSparse1-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 10 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10'

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute K17 numeric
@attribute K18 numeric
@attribute K19 numeric
@attribute K20 numeric
@attribute K21 numeric
@attribute K22 numeric
@attribute K23 numeric
@attribute K24 numeric
@attribute K25 numeric
@attribute K26 numeric
@attribute K27 numeric
@attribute K28 numeric
@attribute K29 numeric
@attribute K30 numeric
@attribute K31 numeric
@attribute K32 numeric
@attribute class {c-CS-m,c-SC-m,c-CS-s,c-SC-s,t-CS-m,t-SC-m,t-CS-s,t-SC-s}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10}

@data
17.480621,3.538568,-4.169278,-8.731798,4.086372,-1.201236,-4.984572,-9.64582,3.422357,12.551476,8.213352,4.653967,4.204032,12.502279,2.169899,-0.377069,6.20737,7.659969,4.449763,9.391332,2.906802,11.339025,0.426448,1.881151,0.630215,5.92794,4.489867,6.110244,-12.319849,1.203569,-6.353223,8.476868,c-CS-m,cluster6
17.244355,3.377582,-3.759868,-8.494686,3.918904,-1.512768,-4.67113,-8.594369,3.665565,12.047617,8.096208,4.407432,4.354755,12.435027,2.209356,-0.161051,5.966125,7.281895,4.094111,9.333516,2.745198,11.16968,0.235883,1.721345,1.074897,5.748017,4.082723,6.098866,-12.214949,1.705684,-6.681781,8.722225,c-CS-m,cluster6
16.421603,2.869504,-3.854991,-9.12584,3.873687,-0.602729,-5.265746,-8.763346,3.308848,12.237634,7.441044,4.096222,4.583971,12.21171,1.673175,-0.013461,6.223432,7.296202,3.651144,8.926344,2.773303,10.575147,0.723772,1.977053,1.262261,5.410366,4.604622,5.892452,-11.714215,1.384911,-5.928254,7.954982,c-CS-m,cluster6
16.738303,2.992994,-3.625721,-8.891233,3.69096,-0.795216,-4.867007,-8.28606,3.489095,12.002534,7.839265,4.028984,4.419622,12.358855,1.93498,-0.035065,5.902964,7.298912,3.631866,9.176315,2.717456,10.820153,0.654944,1.74439,1.261096,5.038477,4.337119,5.875795,-11.792167,1.549728,-5.867478,8.327484,c-CS-m,cluster6
16.153696,3.031016,-3.425482,-8.512304,3.637793,-0.980026,-4.81833,-8.029843,3.528463,11.754448,7.436157,4.105172,4.660187,11.974048,1.804362,-0.02919,5.916585,6.92216,3.394891,8.541979,2.650855,10.889012,0.579787,1.782258,1.232207,5.311594,3.813293,5.8739,-11.477166,1.581523,-6.189006,8.168263,c-CS-m,cluster6
16.725332,7.556517,-5.615231,-12.834623,7.64491,-3.882901,-5.093979,-17.343844,5.225069,17.495852,8.287143,7.413015,5.081541,11.85922,0.351632,-0.407446,7.605518,11.340118,9.59094,10.048204,4.457559,11.851611,-0.493453,0.41351,-2.980241,14.521358,8.483121,9.411476,-14.318007,-0.974544,-8.739431,7.898557,c-CS-m,cluster5
16.137509,6.945546,-4.933229,-11.708877,6.617274,-3.667723,-4.648062,-15.45481,4.885393,16.69115,7.666691,6.370207,5.118837,11.258561,0.108839,-0.082248,6.532573,10.059483,9.255077,9.515946,4.030477,11.391887,-0.292275,0.113444,-3.103047,13.290895,7.141706,8.707426,-13.657567,-0.578084,-7.619319,7.797752,c-CS-m,cluster5
16.18089,6.658926,-4.828182,-11.472135,6.62976,-3.893888,-4.391277,-14.934196,4.879222,16.456611,7.612027,6.285384,5.055172,11.190936,0.170893,0.226689,6.738914,10.101786,9.148166,9.416923,3.996766,11.446433,-0.467316,0.331454,-3.068687,13.452255,7.197191,8.603626,-13.927232,-0.503254,-7.497187,7.75688,c-CS-m,cluster5
16.470073,5.509188,-5.194876,-11.83096,6.310802,-2.662223,-5.334202,-15.160935,4.438423,15.326157,7.686511,6.462146,4.51329,11.822643,1.087262,-1.208348,7.133507,9.420749,9.062933,9.95998,3.884318,9.808417,-0.412659,-0.03162,-1.773449,11.43409,7.340511,9.128995,-13.408412,-1.041066,-7.201313,7.485737,c-CS-m,cluster5
15.048445,5.111161,-3.926885,-10.356942,5.088911,-2.526517,-4.515664,-12.342842,4.217431,13.71875,6.800939,4.922371,4.195943,10.479489,0.569666,-0.433186,6.096873,7.99807,7.920329,9.131897,3.616991,8.801524,-0.437109,-0.045212,-1.099508,10.113391,5.719261,7.798645,-12.188348,-0.461832,-6.147667,7.137615,c-CS-m,cluster5
15.731367,5.29776,-4.234532,-10.607031,5.745834,-2.770637,-4.433996,-13.134363,4.419854,14.321405,7.277705,5.545774,4.414674,11.08529,0.729115,-0.677736,6.415688,8.429425,8.447925,9.6658,3.679136,9.158721,-0.473111,0.11761,-1.624059,10.73623,6.139755,8.029472,-12.663728,-0.528253,-6.346785,7.309202,c-CS-m,cluster5
15.894954,4.926794,-4.851651,-11.504534,6.447393,-1.6787,-5.442563,-14.186194,4.022172,14.351298,7.10635,6.466587,4.581144,12.226916,1.688519,-1.25287,7.242098,8.430861,7.908726,9.506635,3.881164,9.202225,-0.090281,-0.065084,-0.962719,10.150434,6.849303,8.820862,-12.976353,-1.131999,-6.633152,7.512734,c-CS-m,cluster5
15.369339,4.586867,-4.232789,-10.946218,6.489194,-2.198904,-4.81591,-13.140004,3.727472,13.767537,6.873063,6.145642,4.670763,11.600402,1.387437,-1.002047,6.672864,7.889332,7.806162,9.354702,3.843369,8.858324,0.034295,0.095169,-1.006339,10.056916,5.935144,8.222426,-12.695285,-0.909273,-6.526288,7.50977,c-CS-m,cluster5
14.907728,4.536591,-3.876505,-10.00719,5.43128,-2.009893,-4.379745,-11.982587,3.724204,12.937595,6.582947,5.263656,4.224522,10.879839,1.321489,-0.742625,6.006096,7.600147,7.466396,8.976909,3.283809,8.459778,-0.104126,-0.104569,-0.940325,9.420056,5.53772,7.689668,-12.099043,-0.62962,-5.719888,7.145875,c-CS-m,cluster5
14.615214,3.785044,-3.666701,-11.232296,5.433069,-0.670998,-5.080888,-11.265196,3.54339,12.102582,5.725375,5.012247,4.588348,11.280102,1.612524,-1.556665,6.228091,6.627618,6.219807,8.908535,3.445643,7.275175,-0.298696,-0.830996,-0.539406,7.756357,5.214614,8.212211,-11.87229,-0.855136,-5.404671,7.340036,c-CS-m,cluster8
16.216329,4.290619,-4.686167,-11.141706,6.727032,-1.367913,-5.271341,-13.508824,3.296962,13.514768,6.570976,5.99972,4.627487,12.973814,2.944869,-2.066224,7.149412,7.219285,7.424663,9.959529,3.367931,8.561396,-0.204825,-0.750023,-1.587142,8.917619,5.773341,8.579151,-13.00595,-1.550177,-5.772518,7.73337,c-CS-m,cluster5
14.517709,3.503184,-3.399827,-9.892949,5.117441,-1.077961,-4.328189,-10.238798,3.535384,11.961565,5.714401,4.54505,4.187512,11.041145,2.043297,-1.180999,5.700598,6.054695,6.408588,8.843077,3.157766,7.08061,-0.345078,-0.561576,-0.596993,7.838522,4.577355,7.295987,-11.756075,-0.624768,-4.910205,7.431031,c-CS-m,cluster8
12.585182,2.934196,-3.201848,-10.419304,4.554597,0.082435,-4.992465,-9.184021,2.39297,10.540026,4.225078,4.108828,4.403268,10.614674,1.66575,-1.263022,5.177304,5.008923,4.887965,7.718846,3.103729,6.237422,-0.043074,-1.044311,-0.317795,6.27371,3.801393,7.602149,-10.843885,-0.883543,-4.593331,7.147554,c-CS-m,cluster8
13.279739,3.232677,-3.343721,-10.056736,4.824856,0.030791,-4.829302,-9.737493,2.592955,10.774451,4.82266,4.154114,4.363355,10.748511,2.301064,-1.426042,5.536104,5.095105,5.002604,7.979014,3.018201,6.579678,-0.076596,-0.844714,-0.426427,6.212213,4.15696,7.748395,-11.254941,-1.297148,-4.300516,7.139763,c-CS-m,cluster8
13.13796,3.203832,-3.011853,-9.566501,4.634149,-0.102929,-4.448866,-9.024056,2.94163,10.590583,4.889566,3.96027,4.131682,10.585352,2.145846,-0.983126,5.222627,5.179291,4.987629,8.086872,2.935419,6.039138,-0.203795,-0.872848,-0.285459,6.27949,4.083909,7.124626,-10.931542,-0.933678,-3.92631,7.154288,c-CS-m,cluster8
16.850251,5.104125,-5.132335,-11.995973,7.760398,-6.198029,-5.036211,-15.67228,7.14269,18.342648,6.023683,6.008838,7.766112,10.346859,0.834064,2.482786,6.26229,10.841161,9.362805,7.105654,5.900261,10.379637,-4.898243,-0.430525,-3.563625,16.274465,10.568524,9.32699,-16.701354,-0.454675,-7.469859,12.162837,c-CS-m,cluster5
16.834631,4.742203,-5.999157,-11.843426,7.988369,-6.560504,-5.468649,-16.520725,7.018902,18.2464,6.216017,6.802288,7.497211,11.086185,1.344896,2.282885,7.347431,11.507365,9.309602,6.993827,6.073961,10.902875,-5.028769,-0.51293,-3.305555,16.643316,11.394483,9.821622,-17.054034,-0.574194,-8.170196,11.894816,c-CS-m,cluster5
17.148483,4.528734,-6.356277,-11.840578,8.198372,-5.971022,-6.225044,-17.035199,7.393171,18.371712,6.300162,6.759146,7.643152,10.989594,1.738345,2.171611,8.062586,11.899432,9.013338,7.185356,5.625505,10.706542,-4.976274,-0.228863,-2.787417,16.19587,12.265429,10.171252,-16.71544,-0.848712,-8.270795,11.58954,c-CS-m,cluster5
17.036117,6.22639,-4.216835,-12.626415,7.199429,-5.174736,-4.702757,-16.132735,5.463117,17.688924,6.473699,6.328117,6.596361,11.615386,-0.646803,0.754573,6.804102,11.062884,10.114519,8.382553,5.462793,9.647686,-4.125908,0.225771,-3.578032,15.161715,8.563727,8.510158,-15.596101,-0.438687,-6.811392,10.89793,c-CS-m,cluster5
17.781521,6.163525,-5.266403,-12.737822,7.096593,-5.06175,-5.327108,-17.08474,5.624357,18.045352,6.956621,6.779779,6.30145,12.151769,0.061916,0.291896,7.86919,11.843623,10.351768,8.772908,5.142431,10.176244,-4.321283,0.095933,-3.471061,15.322144,9.362,8.970613,-15.935295,-0.522781,-7.170922,10.829388,c-CS-m,cluster5
17.618629,6.545784,-5.564747,-13.518485,7.881934,-4.990967,-5.489179,-18.340095,5.963583,18.396472,7.139933,7.37575,6.357823,12.564257,-0.146294,0.05244,8.518207,12.979325,10.100404,9.103072,5.424262,10.522351,-4.416667,0.211239,-3.650661,16.147033,10.272199,9.319765,-15.617081,-0.781297,-7.724117,10.777286,c-CS-m,cluster5
17.238177,6.008107,-3.867862,-12.157517,6.227741,-4.06712,-4.787181,-14.9212,4.58205,16.37811,6.654943,5.8304,5.844078,11.7643,-0.288953,-0.098186,6.876654,9.972153,9.905496,8.96122,4.913634,8.546323,-3.533004,0.106771,-2.854427,13.274775,7.026364,8.060372,-14.722757,-0.444332,-6.148129,10.352553,c-CS-m,cluster5
17.635585,5.700927,-4.712952,-12.431258,6.836422,-4.166093,-5.129235,-16.180671,4.367389,16.925268,7.058422,6.64295,5.879247,12.450669,0.131882,-0.280641,7.681938,10.951948,10.046518,8.939123,4.934015,9.165892,-3.745657,0.463367,-3.154508,13.762366,8.157535,7.963065,-14.903249,-0.722224,-6.599316,10.317411,c-CS-m,cluster5
17.87544,6.32661,-5.304704,-13.623362,7.158552,-3.962522,-5.628096,-17.735016,4.765511,17.681218,7.071534,7.073332,5.728725,12.851434,-0.402646,-0.786299,8.58354,12.385041,10.095428,9.486248,4.915399,9.760642,-4.236368,0.26688,-3.434542,14.525532,9.082866,8.699237,-15.108257,-0.963079,-6.863295,10.194165,c-CS-m,cluster5
17.80719,5.296715,-3.929187,-12.174081,7.034865,-3.759387,-4.820237,-15.353305,4.197888,16.377652,7.079979,6.395312,5.889726,12.865755,0.208534,-0.524772,6.943812,9.413963,10.263482,9.447409,5.027986,7.717944,-2.992747,0.505778,-2.507552,12.601196,6.9189,7.86301,-14.740795,-0.779899,-6.007629,10.200731,c-CS-m,cluster5
18.020031,5.393655,-4.220573,-12.72135,7.276155,-3.684351,-5.288005,-15.986491,4.087517,16.654304,7.193486,6.686182,6.078991,13.183529,0.134561,-0.616433,7.497395,10.204978,10.164109,9.512771,5.420417,7.961278,-3.307067,0.668656,-2.395499,12.795681,7.383833,7.83929,-14.864713,-0.773631,-6.354752,10.519711,c-CS-m,cluster5
18.112216,5.96457,-4.981044,-13.591223,7.181897,-3.199356,-5.846544,-17.35067,4.150538,17.460719,7.301843,6.846953,5.659017,13.605987,-0.210609,-1.208062,8.196908,11.621566,10.058821,9.833053,4.89565,8.749067,-3.817005,0.326952,-2.920724,13.380668,8.308184,8.118453,-14.554362,-1.049077,-6.392565,10.200428,c-CS-m,cluster5
17.443014,4.374868,-3.712911,-11.38959,6.678921,-3.14445,-5.152524,-14.157312,4.340107,15.712758,6.610204,5.736762,5.743808,12.577694,0.700809,-0.362323,6.35517,8.436016,9.372773,8.595893,4.833572,7.192312,-2.932747,0.286107,-2.029044,11.361948,6.534215,7.430524,-13.988664,-0.734095,-5.469986,10.290957,c-CS-m,cluster5
17.427985,4.951318,-4.136565,-12.228949,7.116299,-3.156124,-5.304691,-14.952453,3.852881,15.847556,6.661279,6.618287,5.990824,12.864485,0.651814,-0.928022,7.445217,8.967729,9.791841,9.093726,4.927674,7.413927,-2.913521,0.362624,-1.992891,11.68814,6.589532,7.658001,-14.199264,-1.091777,-5.769342,9.814964,c-CS-m,cluster5
17.516677,5.293185,-4.568942,-13.030608,6.900776,-2.633453,-5.625923,-15.773437,3.791778,16.350489,6.776228,6.788189,5.769865,13.241968,0.393054,-1.479135,8.1858,10.311785,9.583629,9.678923,4.695292,7.947756,-3.45703,0.170565,-2.236944,12.042868,7.326306,7.928253,-13.94852,-1.323204,-5.818483,9.9225,c-CS-m,cluster5
18.393999,6.304317,-4.532789,-13.654099,6.642205,-5.489399,-5.199994,-15.220059,7.195831,18.528652,6.79818,5.84337,7.265605,10.038741,-1.760884,1.83768,6.462041,12.87432,9.051214,8.355391,4.745888,11.239536,-5.31833,-0.699099,-3.607476,15.903249,10.401694,9.069183,-16.882429,0.555266,-7.635057,11.670546,c-CS-m,cluster5
18.25236,6.04219,-4.778392,-13.956588,6.65751,-5.654209,-5.695044,-15.390151,6.889866,18.446636,6.608117,5.893911,7.337033,10.292009,-1.769233,1.852993,6.92207,13.230755,8.984762,8.000152,4.856322,11.223705,-5.671822,-0.665549,-3.436349,16.081304,10.676096,9.105317,-16.966238,0.572994,-7.564631,11.717159,c-CS-m,cluster5
18.037892,6.671972,-5.373145,-14.548806,7.29354,-5.414017,-6.114441,-17.139318,7.234509,18.959976,6.497089,6.447221,7.166987,10.756538,-2.020576,1.469962,8.169103,14.632892,8.672976,8.340632,4.970865,11.948908,-5.935844,-0.387077,-3.692606,16.811373,11.653141,9.49752,-16.766851,0.230084,-7.816444,11.588114,c-CS-m,cluster5
19.832342,6.051744,-4.21891,-13.552147,6.415639,-4.931346,-4.848781,-15.369819,5.672974,17.794965,8.382333,5.930722,5.738986,11.651954,-1.160661,0.012828,5.973911,11.810512,10.32079,9.854593,4.079789,9.704679,-4.470143,-0.196051,-3.743565,14.332805,8.74678,8.228019,-16.143798,0.401387,-7.219034,11.176172,c-CS-m,cluster5
19.645845,6.204542,-4.655333,-13.661026,6.699437,-4.938955,-5.098111,-16.28387,5.612245,17.653228,7.995368,6.370731,5.772563,11.764212,-1.264589,-0.389788,6.915043,12.372751,10.358892,9.706359,4.304765,10.046759,-4.701591,-0.477906,-3.755992,14.760217,9.131772,8.671457,-16.126486,0.293467,-7.429488,10.747107,c-CS-m,cluster5
19.75817,6.635802,-5.02305,-14.233479,6.84965,-4.735488,-5.843434,-17.327803,6.059168,18.140761,7.990091,6.479921,5.631183,12.141366,-1.583249,-0.539265,7.95731,13.492222,10.03664,10.000853,4.472611,10.161454,-5.041917,-0.382802,-3.297766,15.135029,9.951817,8.998653,-16.079546,0.246628,-7.520258,10.823272,c-CS-m,cluster5
18.979719,5.587925,-3.587529,-13.03935,6.029879,-4.217145,-4.686114,-14.208555,4.789088,16.587215,8.00689,5.59261,4.977197,11.733319,-1.349051,-0.543251,5.626229,10.551198,9.824423,9.824088,4.125981,8.362712,-3.826308,-0.441233,-2.99457,12.731427,7.158654,7.382631,-14.958086,0.390607,-6.483775,10.529185,c-CS-m,cluster5
19.349389,5.603966,-4.206841,-13.02387,6.687562,-4.189337,-5.007659,-15.30725,4.849715,17.009522,8.186181,6.362959,5.160491,12.294845,-0.723807,-0.820415,6.761713,11.221613,9.843797,10.097595,4.015448,8.636166,-3.875164,-0.084773,-2.912336,12.918082,8.005064,7.774686,-15.066119,0.087332,-6.812906,10.344618,c-CS-m,cluster5
19.33157,5.950604,-4.497958,-13.799048,6.921116,-4.22143,-5.63019,-16.350404,5.33096,17.247526,8.006072,6.461315,5.191672,12.585523,-1.37199,-1.009522,7.937693,12.443188,9.63768,10.233096,4.460859,8.780472,-4.425639,-0.268468,-2.576765,13.674032,9.052818,8.079496,-15.057743,0.110255,-6.944926,10.162747,c-CS-m,cluster5
18.339202,4.567304,-3.036444,-10.978105,6.466918,-3.590782,-4.265056,-12.349088,4.812339,15.0959,7.596647,5.570279,5.078248,11.832231,0.239309,-0.448395,5.83136,8.480178,9.157723,10.092101,4.444732,6.009442,-3.294586,-0.253517,-1.62509,10.589298,5.883913,6.428512,-13.857451,-0.056179,-5.548523,10.196599,c-CS-m,cluster5
18.518947,4.308535,-3.145581,-11.096567,6.569939,-3.471944,-4.139401,-12.296362,4.743651,14.929613,7.624349,5.601936,5.187856,11.789417,0.242589,-0.473013,5.838239,8.401352,9.174467,10.152437,4.49219,5.864106,-3.426932,0.025409,-1.543775,10.487249,6.056027,6.435416,-13.840283,0.068175,-5.646654,10.254567,c-CS-m,cluster5
18.230564,4.719057,-3.243598,-11.599835,6.403903,-3.434723,-4.315569,-12.707421,4.791435,15.252053,7.438997,5.506657,5.284437,11.732328,-0.298328,-0.781056,5.944168,8.805869,9.068424,9.937134,4.207442,6.321824,-3.499858,-0.394294,-1.893038,11.004767,6.098324,6.651148,-13.601883,0.110995,-5.725254,10.056046,c-CS-m,cluster5
18.480367,4.574374,-2.444641,-11.332334,5.869182,-2.778502,-4.47843,-11.573241,4.354121,15.018367,7.279363,5.166839,5.50854,11.426145,-0.104593,-0.3675,5.366671,7.785387,8.796818,9.65337,4.369161,5.483799,-3.140844,0.146977,-1.19295,9.84934,5.044593,6.522048,-14.060383,0.36821,-4.936172,10.678455,c-CS-m,cluster5
18.495556,3.995935,-2.640699,-11.420622,6.270606,-2.950476,-4.423608,-11.792533,4.198657,14.845068,7.437516,5.578925,5.202795,11.912129,0.29593,-0.670692,5.248705,7.73607,9.132557,9.604187,4.420724,5.491335,-3.33024,-0.194414,-1.600784,10.016443,5.300962,6.59775,-13.878308,0.126944,-4.912105,10.513606,c-CS-m,cluster5
18.437464,4.009443,-3.057115,-11.144443,6.008962,-2.865444,-4.322224,-11.932292,4.003977,14.769466,7.397747,5.568292,5.143657,11.625922,0.30884,-0.887035,5.524629,7.585929,8.910425,9.169087,4.323921,5.791969,-3.399792,-0.363577,-1.67172,10.09614,5.400553,6.486193,-13.782444,0.118197,-4.982637,10.045176,c-CS-m,cluster5
19.065172,5.935624,-1.998385,-11.855631,4.914952,-4.001831,-3.327961,-13.78797,5.020181,14.515727,8.312886,4.501198,3.252561,11.695999,-1.282494,-2.351448,5.712115,9.485817,10.672951,10.031129,4.912119,4.883903,-5.900706,-0.744931,-3.164883,13.262417,6.376581,7.474897,-15.192665,0.414951,-5.758904,11.175415,c-CS-m,cluster5
19.642291,6.142476,-2.73892,-12.216541,5.203332,-4.123163,-3.546843,-14.851364,5.089385,15.08467,8.739163,4.862795,3.267812,12.164389,-1.079494,-2.681932,6.11764,9.957435,11.149975,10.452648,4.834339,5.516083,-5.803905,-0.907518,-3.626417,13.935736,6.872348,7.804231,-15.481472,0.201148,-6.109688,11.138987,c-CS-m,cluster5
19.643905,6.117938,-2.600889,-12.351819,5.765637,-4.266608,-3.664803,-15.439878,5.186571,15.310034,8.723704,4.975959,3.530003,12.216274,-1.355699,-2.426825,6.337693,10.027199,10.906856,10.173117,5.094223,5.730229,-5.654321,-0.635602,-3.791033,14.144511,7.200655,7.803128,-15.542329,0.022194,-6.407111,10.931885,c-CS-m,cluster5
19.627546,5.939488,-2.058205,-11.832498,5.491691,-3.489125,-3.276971,-14.803908,4.143301,14.453654,9.194557,4.827565,2.557186,12.728616,-0.871904,-3.45144,5.786342,8.701409,11.316442,10.989828,4.646732,4.305573,-4.521993,-0.28406,-3.529561,12.438177,5.514883,7.265409,-14.844062,-0.208856,-5.689475,10.340757,c-CS-m,cluster5
19.748376,5.746383,-1.887715,-11.589843,5.50165,-3.457447,-3.397866,-14.305668,4.051953,14.235452,9.190644,4.647617,2.558482,12.846856,-0.605499,-3.174615,5.756131,8.435382,11.152654,10.818389,4.775486,3.826053,-4.795992,-0.244732,-3.225998,12.276137,5.384471,7.266857,-14.958341,0.018803,-5.653074,10.648399,c-CS-m,cluster5
19.8544,5.917548,-2.457654,-11.974029,5.509383,-3.677691,-3.67416,-15.079688,4.087371,14.349934,9.254093,5.030778,2.626873,12.946841,-0.8246,-3.326752,6.32736,8.916835,11.260022,10.868737,4.811854,4.519399,-4.819423,-0.322298,-3.217314,12.798324,5.832215,7.52291,-15.073099,-0.186215,-6.084442,10.504614,c-CS-m,cluster5
18.934244,5.219161,-1.711348,-11.153737,5.129484,-2.683885,-3.16665,-12.915342,3.314873,13.550367,8.78506,4.355174,2.320919,12.61212,-0.194078,-3.126464,5.02351,7.18233,10.448177,10.649601,4.23441,3.351892,-4.008248,-0.349252,-2.962025,10.572738,4.30377,6.482356,-13.997607,-0.38715,-4.843419,10.17707,c-CS-m,cluster5
19.070342,5.298182,-1.717988,-11.302582,5.076017,-2.472579,-3.298812,-13.044767,3.628092,13.495525,8.881383,4.234106,2.389986,12.727052,-0.090811,-3.331146,5.389025,7.275123,10.356086,10.734678,4.250891,3.254207,-4.060483,-0.257805,-2.852753,10.491072,4.441711,6.891489,-14.090206,-0.337035,-4.721704,10.162237,c-CS-m,cluster5
