@relation mice-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-R78-80-weka.filters.unsupervised.attribute.RandomSubset-N32.0-S10

@attribute NR1_N numeric
@attribute pCAMKII_N numeric
@attribute pMEK_N numeric
@attribute pNR1_N numeric
@attribute BRAF_N numeric
@attribute CREB_N numeric
@attribute ELK_N numeric
@attribute ERK_N numeric
@attribute MEK_N numeric
@attribute TRKA_N numeric
@attribute APP_N numeric
@attribute SOD1_N numeric
@attribute P38_N numeric
@attribute pMTOR_N numeric
@attribute NR2B_N numeric
@attribute RAPTOR_N numeric
@attribute NUMB_N numeric
@attribute pPKCG_N numeric
@attribute CDK5_N numeric
@attribute ADARB1_N numeric
@attribute AcetylH3K9_N numeric
@attribute BAX_N numeric
@attribute GFAP_N numeric
@attribute GluR4_N numeric
@attribute SNCA_N numeric
@attribute pGSK3B_Tyr216_N numeric
@attribute BAD_N numeric
@attribute BCL2_N numeric
@attribute pS6_N numeric
@attribute SYP_N numeric
@attribute H3AcK18_N numeric
@attribute Treatment=Saline numeric
@attribute class {c-CS-m,c-SC-m,c-CS-s,c-SC-s,t-CS-m,t-SC-m,t-CS-s,t-SC-s}

@data
1.946201,1.508687,0.256018,0.723048,0.38497,0.199288,0.869583,1.925686,0.256018,0.612728,0.366339,0.322378,0.373665,0.690391,0.52062,0.332426,0.126796,1.904006,0.279696,0.944061,0.137845,0.175276,0.126657,0.141989,0.160773,0.809807,0.200276,?,0.097652,0.440331,0.16837,0,c-CS-m
1.958907,1.509002,0.262868,0.755348,0.343359,0.214573,0.814022,1.956577,0.256725,0.579115,0.367295,0.33997,0.370684,0.689049,0.495658,0.321966,0.134299,1.972578,0.283786,0.929546,0.136408,0.174378,0.123893,0.136127,0.131346,0.832794,0.196034,?,0.094642,0.422163,0.178737,0,c-CS-m
1.861162,1.444239,0.279524,0.695831,0.351818,0.184021,0.789484,1.885192,0.24235,0.557404,0.356541,0.326967,0.358595,0.657014,0.476278,0.336414,0.122779,1.959456,0.285817,0.903582,0.142693,0.173352,0.118481,0.136963,0.125501,0.80616,0.183954,?,0.09914,0.446562,0.160602,0,c-CS-m
2.735757,2.277492,0.299426,0.956131,0.537612,0.175622,1.491241,4.112616,0.287649,0.790078,0.42161,0.387163,0.373767,0.872369,0.651259,0.407478,0.201228,0.942728,0.285391,1.347123,0.115902,0.192243,0.136975,0.132579,0.13788,0.674984,0.138526,0.178604,0.138655,0.440142,0.129606,0,c-CS-m
2.546888,2.118811,0.250207,0.894467,0.555325,0.163071,1.348548,3.692531,0.259198,0.741355,0.389627,0.362102,0.361411,0.818119,0.59834,0.36473,0.187841,0.963389,0.278738,1.150631,0.106645,0.191827,0.136346,0.129568,0.128837,0.684252,0.132093,0.143588,0.111362,0.454352,0.11701,0,c-CS-m
2.467733,2.107281,0.243243,0.894374,0.52813,0.165609,1.345422,3.684915,0.275097,0.73952,0.393547,0.353144,0.348731,0.831081,0.582322,0.354523,0.183455,0.975494,0.281005,1.176618,0.098362,0.186705,0.133563,0.129637,0.136339,0.713851,0.131126,0.132887,0.112036,0.454509,0.111089,0,c-CS-m
2.563223,2.259045,0.264827,0.895188,0.520701,0.185379,1.289444,3.514547,0.28329,0.726595,0.416822,0.398359,0.404513,0.876725,0.630175,0.400037,0.205356,0.956807,0.291245,1.188029,0.117476,0.188029,0.130658,0.11872,0.149975,0.679241,0.157685,0.182391,0.111507,0.458548,0.15669,0,c-CS-m
2.164182,1.975689,0.230146,0.768558,0.487682,0.158185,1.07034,2.944895,0.239222,0.634036,0.364344,0.327066,0.349919,0.76483,0.544571,0.337439,0.168972,0.978376,0.280446,1.092616,0.100159,0.18255,0.142318,0.126813,0.144162,0.685693,0.169139,0.163775,0.100578,0.425027,0.126896,0,c-CS-m
2.285938,2.127045,0.248869,0.831361,0.504525,0.173512,1.123564,3.127567,0.255482,0.686042,0.382005,0.364079,0.370867,0.831535,0.572398,0.342151,0.166737,1.000503,0.26114,1.113535,0.089956,0.182093,0.131409,0.123269,0.132835,0.702526,0.143492,0.143073,0.110682,0.439456,0.11706,0,c-CS-m
2.437587,2.091057,0.321146,0.900792,0.492082,0.197019,1.136004,3.235212,0.266884,0.684909,0.424779,0.403586,0.435491,0.909874,0.654867,0.433628,0.173285,0.954555,0.283256,1.105559,0.11306,0.19347,0.130267,0.107876,0.153541,0.679021,0.16788,0.202294,0.104897,0.407346,0.148026,0,c-CS-m
2.308371,2.045475,0.279186,0.85,0.473077,0.184163,1.112217,3.119005,0.264253,0.669231,0.411086,0.381448,0.426018,0.883937,0.616968,0.413801,0.159955,0.963339,0.28291,0.988832,0.09656,0.181726,0.143937,0.110434,0.150592,0.691483,0.1674,0.178342,0.112352,0.471517,0.147208,0,c-CS-m
2.157728,1.940878,0.236909,0.794552,0.393792,0.166174,1.020481,2.804265,0.244721,0.620777,0.378378,0.357897,0.383446,0.836993,0.567779,0.349873,0.152477,0.937749,0.280296,0.98253,0.086024,0.166851,0.129478,0.118863,0.142525,0.683989,0.155462,0.160438,0.103605,0.444272,0.134454,0,c-CS-m
2.197868,1.783821,0.269199,0.822629,0.469527,0.192949,0.953813,2.594698,0.258541,0.607816,0.376879,0.399836,0.478273,0.891774,0.613556,0.441104,0.165346,0.983055,0.269063,1.017628,0.121755,0.169172,0.099754,0.102897,0.166029,0.677234,0.193632,0.198961,0.104263,0.430309,0.170812,0,c-CS-m
2.482137,2.082833,0.346506,0.934556,0.498261,0.241227,1.091369,2.87006,0.306671,0.694594,0.460955,0.447992,0.559595,1.035093,0.734429,0.504268,0.150109,0.929039,0.260917,0.895469,0.095388,0.165939,0.133324,0.105759,0.165393,0.657069,0.222434,0.170033,0.09798,0.40625,0.167849,0,c-CS-m
2.053415,1.800957,0.29232,0.774648,0.445921,0.193994,0.910975,2.401541,0.247409,0.592081,0.395163,0.386925,0.458942,0.854372,0.592612,0.410045,0.152731,0.958333,0.251126,0.926239,0.086149,0.154279,0.137528,0.104448,0.157658,0.688345,0.179758,0.168637,0.110079,0.389358,0.148226,0,c-CS-m
1.913403,1.414933,0.243268,0.732864,0.430233,0.188188,0.806916,2.119339,0.238066,0.488984,0.365361,0.382803,0.456854,0.826193,0.621481,0.485312,0.156718,0.902032,0.239408,0.711608,0.118601,0.15593,0.117341,0.090723,0.172468,0.620413,0.196251,0.198299,0.075445,0.411246,0.155773,0,c-CS-m
1.957016,1.487358,0.268015,0.765171,0.406764,0.191846,0.829646,2.10493,0.248736,0.513274,0.389381,0.408344,0.509798,0.882743,0.633692,0.455436,0.135913,0.853694,0.225136,0.699712,0.090502,0.152542,0.135593,0.099456,0.179725,0.619923,0.173969,0.161657,0.091461,0.408219,0.148705,0,c-CS-m
1.892166,1.462366,0.292473,0.727803,0.421198,0.191091,0.824885,2.04424,0.238095,0.492166,0.366513,0.36129,0.488479,0.871889,0.614747,0.428571,0.142459,0.890454,0.24431,0.770755,0.081218,0.146881,0.128541,0.101195,0.159325,0.640413,0.165875,0.151302,0.093172,0.361061,0.143278,0,c-CS-m
2.930717,1.765115,0.245963,1.083177,0.534548,0.175836,2.407811,4.643823,0.322475,0.887627,0.442922,0.358149,0.38359,0.79938,0.70935,0.368757,0.248877,0.605805,0.355595,1.951281,0.135249,0.202873,0.119354,0.124735,0.148823,0.833704,0.1274,0.120835,0.148773,0.541241,0.121674,0,c-CS-m
2.992689,1.807824,0.260634,1.122294,0.550038,0.180972,2.473889,4.892803,0.332985,0.892423,0.462685,0.395367,0.394512,0.823205,0.776016,0.38834,0.248038,0.612683,0.350499,2.060217,0.130801,0.205746,0.124939,0.121597,0.162581,0.838388,0.134822,0.130462,0.14766,0.525966,0.12678,0,c-CS-m
3.073847,1.783552,0.259549,1.13515,0.555032,0.191738,2.578233,4.804018,0.340375,0.8922,0.459964,0.383854,0.402339,0.867207,0.740357,0.40564,0.236124,0.603165,0.351726,2.21111,0.122888,0.208975,0.120614,0.124838,0.166326,0.806386,0.124327,0.118851,0.143169,0.508214,0.122796,0,c-CS-m
2.60678,2.312324,0.250643,0.95998,0.493452,0.175376,1.748134,4.039652,0.292498,0.810794,0.406927,0.342431,0.392853,0.761351,0.678987,0.354547,0.230263,0.724477,0.341942,1.787828,0.124912,0.202583,0.122611,0.117113,0.148373,0.844211,0.145496,0.116218,0.140063,0.561721,0.123122,0,c-CS-m
2.757975,2.375283,0.270284,1.006154,0.502261,0.182115,1.801306,4.089927,0.308591,0.831826,0.422381,0.360085,0.409194,0.792514,0.724441,0.387968,0.236062,0.7315,0.355993,1.919602,0.12462,0.209326,0.131209,0.114546,0.165104,0.854093,0.148315,0.142739,0.140775,0.534845,0.133996,0,c-CS-m
2.831169,2.406219,0.268856,1.049575,0.501374,0.203047,1.891234,4.313187,0.321304,0.84016,0.43032,0.366883,0.417458,0.85964,0.71953,0.406219,0.227919,0.733626,0.354697,2.113593,0.122993,0.214369,0.128731,0.118599,0.17158,0.825307,0.136727,0.135323,0.138192,0.512116,0.136727,0,c-CS-m
2.456261,2.481426,0.253895,0.876123,0.469143,0.174206,1.436339,3.448772,0.284452,0.76393,0.393499,0.340024,0.408778,0.763032,0.639155,0.357549,0.214976,0.776268,0.351332,1.639548,0.124407,0.200109,0.135626,0.116381,0.141281,0.867202,0.158975,0.121397,0.132069,0.560106,0.134258,0,c-CS-m
2.573126,2.549676,0.263499,0.923789,0.458809,0.185128,1.495218,3.623264,0.301759,0.795125,0.415304,0.350201,0.423943,0.78772,0.688831,0.387226,0.207468,0.740359,0.342523,1.720642,0.120049,0.207206,0.145612,0.11019,0.160181,0.848107,0.169342,0.124847,0.13331,0.50698,0.143169,0,c-CS-m
2.667701,2.603446,0.276579,0.978892,0.466553,0.220549,1.576129,3.737545,0.321434,0.806922,0.413162,0.375757,0.444358,0.849915,0.7079,0.412851,0.206994,0.74835,0.34679,1.952687,0.122311,0.209651,0.126168,0.113825,0.167824,0.824548,0.161053,0.13611,0.127625,0.516842,0.143482,0,c-CS-m
2.50305,2.749142,0.284217,0.893824,0.474266,0.193671,1.407739,3.439954,0.309569,0.788791,0.417461,0.356081,0.461304,0.815288,0.676134,0.393061,0.202085,0.785731,0.343135,1.508669,0.118674,0.202085,0.144564,0.108247,0.160614,0.915417,0.172446,0.146439,0.135075,0.583997,0.144681,0,c-CS-m
2.545403,2.746838,0.28771,0.919388,0.468378,0.198603,1.392486,3.480461,0.295828,0.792713,0.425901,0.391165,0.457429,0.828205,0.680951,0.407212,0.197085,0.815753,0.360051,1.643882,0.125607,0.215244,0.144923,0.107217,0.17083,0.904811,0.1935,0.146773,0.126186,0.574485,0.162156,0,c-CS-m
2.624646,2.75808,0.298998,0.960121,0.467775,0.207144,1.443961,3.433566,0.307125,0.801928,0.425817,0.399735,0.475146,0.856171,0.725005,0.434889,0.194163,0.780727,0.338656,1.828414,0.115529,0.219273,0.137555,0.102313,0.166189,0.867841,0.176872,0.162775,0.129846,0.53293,0.160683,0,c-CS-m
2.39289,2.586144,0.283273,0.871468,0.458523,0.19804,1.486326,3.151322,0.295579,0.770055,0.38423,0.353692,0.434366,0.817229,0.680264,0.38309,0.185584,0.785833,0.325186,1.381386,0.120547,0.188208,0.132284,0.098315,0.163767,0.923778,0.187793,0.160729,0.129798,0.520022,0.149682,0,c-CS-m
2.472661,2.592542,0.308396,0.896134,0.468085,0.215283,1.269275,3.212766,0.306566,0.784717,0.382292,0.37337,0.455731,0.858156,0.705331,0.412949,0.182793,0.778746,0.32096,1.43487,0.106808,0.187215,0.122085,0.099303,0.185875,0.883945,0.171536,0.155856,0.113106,0.547038,0.157867,0,c-CS-m
2.538809,2.57694,0.310244,0.925993,0.471345,0.216832,1.272112,3.138087,0.324458,0.793096,0.420126,0.379738,0.472924,0.888989,0.722924,0.436372,0.179869,0.775163,0.324183,1.701699,0.10549,0.197255,0.132549,0.099346,0.185621,0.858431,0.180654,0.158693,0.114379,0.557124,0.168497,0,c-CS-m
2.933516,1.892485,0.245091,1.051563,0.398793,0.160395,2.046078,4.32452,0.281953,0.869995,0.414811,0.337356,0.391772,0.794624,0.699945,0.336478,0.247358,0.900372,0.349267,2.1813,0.106714,0.205741,0.130555,0.137581,0.156618,0.926796,?,0.133978,0.149351,0.589959,0.120166,0,c-CS-m
2.919243,1.854378,0.238811,1.074595,0.396757,0.161514,2.045189,4.279784,0.284216,0.882811,0.41373,0.337622,0.391243,0.800216,0.695784,0.344865,0.255174,0.8745,0.354011,2.28649,0.105219,0.215091,0.133075,0.139815,0.16612,0.933373,?,0.142559,0.143155,0.600239,0.125857,0,c-CS-m
2.925818,1.832041,0.253122,1.115095,0.403424,0.170866,2.099699,4.314922,0.295327,0.892657,0.421189,0.351852,0.40407,0.829888,0.720823,0.366602,0.248362,0.848373,0.353776,2.53989,0.106047,0.208415,0.127371,0.1422,0.1618,0.89516,?,0.146339,0.140878,0.581734,0.12283,0,c-CS-m
2.915585,2.663039,0.255616,1.015767,0.374494,0.164225,1.682712,3.815404,0.282545,0.829496,0.408121,0.329427,0.410353,0.798102,0.697502,0.345333,0.236385,0.925127,0.337359,1.813167,0.105259,0.199533,0.132606,0.135411,0.167199,0.916245,?,0.126451,0.151928,0.591586,0.131515,0,c-CS-m
2.913558,2.652561,0.260997,1.043847,0.384326,0.173719,1.666342,3.929427,0.278953,0.845072,0.415089,0.339644,0.424276,0.806514,0.699332,0.358575,0.229034,0.910765,0.351876,1.937083,0.1032,0.212077,0.140566,0.133661,0.182076,0.922121,?,0.147549,0.148776,0.583749,0.135195,0,c-CS-m
2.904392,2.652073,0.262957,1.058238,0.371658,0.180715,1.721768,3.858702,0.288052,0.85611,0.413121,0.3482,0.424032,0.831697,0.730496,0.37084,0.228913,0.935245,0.362735,2.231334,0.103412,0.214918,0.128376,0.138135,0.185491,0.905061,?,0.164687,0.154021,0.573795,0.137983,0,c-CS-m
2.635162,2.724323,0.256775,0.940616,0.35179,0.177484,1.385413,3.269488,0.266143,0.789227,0.382235,0.319839,0.385748,0.77735,0.669622,0.340415,0.214022,0.950365,0.341756,1.628383,0.098572,0.19205,0.140817,0.132028,0.17657,0.875162,?,0.155897,0.103565,0.586238,0.147908,0,c-CS-m
2.731909,2.779118,0.266885,0.995865,0.37164,0.185562,1.42264,3.388008,0.303928,0.818573,0.408511,0.339593,0.437802,0.814094,0.697622,0.348897,0.213026,0.921593,0.348033,1.799477,0.098856,0.198197,0.14276,0.127738,0.189184,0.846191,?,0.160787,0.143439,0.559411,0.153906,0,c-CS-m
2.732637,2.754552,0.280681,1.011463,0.360924,0.195718,1.481288,3.460722,0.280681,0.82468,0.404585,0.340357,0.444032,0.838334,0.722016,0.383513,0.210958,0.953796,0.358831,2.126845,0.099064,0.20517,0.145076,0.13707,0.19128,0.84904,?,0.172663,0.146426,0.5504,0.155108,0,c-CS-m
2.467655,2.618598,0.272013,0.905211,0.388814,0.18823,1.242588,2.919811,0.276056,0.78212,0.426101,0.347484,0.394429,0.784591,0.680144,0.372192,0.194771,0.894362,0.315859,1.650865,0.080021,0.184867,0.122937,0.090717,0.149214,0.987587,?,0.160967,0.122541,0.50033,0.152119,0,c-CS-m
2.488231,2.672047,0.27236,0.889262,0.386236,0.196144,1.207577,2.955615,0.282224,0.778749,0.404842,0.343197,0.398565,0.779197,0.639991,0.352387,0.192915,0.907427,0.327495,1.643271,0.085199,0.180406,0.13853,0.10561,0.161443,0.961285,?,0.163418,0.128127,0.511325,0.159205,0,c-CS-m
2.485155,2.644381,0.270288,0.88278,0.372113,0.193534,1.20651,2.937101,0.283923,0.762921,0.372773,0.337585,0.424896,0.773477,0.648999,0.354519,0.191151,0.909524,0.345609,1.648033,0.087164,0.18519,0.133925,0.096569,0.17552,0.956286,?,0.16638,0.126507,0.531196,0.170884,0,c-CS-m
2.37154,2.548564,0.27859,0.86658,0.369452,0.212272,1.143864,2.707572,0.283029,0.75718,0.365535,0.35248,0.42376,0.765796,0.660052,0.32376,0.185351,0.940807,0.32209,1.429894,0.081184,0.16832,0.135582,0.102183,0.176753,1.002646,?,0.183862,0.131944,0.561673,0.18039,0,c-CS-m
2.441947,2.63343,0.291722,0.889183,0.389051,0.207353,1.178524,2.783655,0.293573,0.766464,0.355462,0.340651,0.389051,0.798202,0.675218,0.353875,0.183851,0.905742,0.32572,1.380409,0.082355,0.160688,0.134309,0.09474,0.183851,0.944507,?,0.178864,0.131253,0.549461,0.18369,0,c-CS-m
2.429726,2.612516,0.302477,0.871447,0.386441,0.201565,1.126467,2.796871,0.324902,0.808866,0.352542,0.349413,0.395046,0.766884,0.650587,0.349674,0.190675,0.888319,0.331998,1.359558,0.087646,0.157827,0.13187,0.093575,0.191956,0.922769,?,0.177856,0.129627,0.521871,0.181381,0,c-CS-m
2.220944,3.391129,0.251898,0.845588,0.296134,0.144568,1.318667,3.389231,0.258657,0.699241,0.372154,0.293643,0.337405,0.721063,0.530361,0.277514,0.223273,0.892726,0.337366,1.785159,0.117759,0.197023,0.127365,0.146356,0.149509,0.845872,?,0.130371,0.138143,0.505059,?,0,c-CS-m
2.376732,3.513544,0.241168,0.885657,0.311572,0.152415,1.405443,3.553489,0.272001,0.756834,0.392086,0.314567,0.355511,0.775683,0.575334,0.297091,0.217598,0.876159,0.323476,1.780942,0.116466,0.194451,0.127127,0.148886,0.15743,0.865498,?,0.132968,0.136911,0.497627,?,0,c-CS-m
2.356046,3.511544,0.242731,0.902284,0.331087,0.157494,1.453638,3.616623,0.268813,0.758393,0.391364,0.319231,0.36029,0.765756,0.588294,0.305129,0.218308,0.874314,0.367239,1.755775,0.111608,0.20257,0.123881,0.150736,0.147199,0.850347,?,0.133049,0.13471,0.493719,?,0,c-CS-m
2.177809,3.867236,0.240872,0.812707,0.316896,0.159159,1.189031,3.181445,0.2581,0.708709,0.406828,0.314683,0.429429,0.756757,0.577367,0.311364,0.196433,0.861658,0.315264,1.437892,0.109826,0.178865,0.124216,0.140549,0.144522,0.82449,?,0.129778,0.137724,0.491745,?,0,c-CS-m
2.177785,3.844399,0.248269,0.835431,0.309471,0.15922,1.173851,3.142857,0.262587,0.704688,0.391126,0.313877,0.389868,0.741976,0.576935,0.31781,0.202675,0.860125,0.323394,1.468149,0.11087,0.193548,0.131743,0.141682,0.167977,0.860667,?,0.134454,0.142315,0.497063,?,0,c-CS-m
2.25258,3.859184,0.25131,0.834101,0.319257,0.157485,1.210986,3.308938,0.263851,0.721384,0.384188,0.322591,0.394983,0.77171,0.600413,0.330052,0.201415,0.871439,0.3317,1.490655,0.102159,0.198512,0.134549,0.142533,0.166213,0.856741,?,0.136727,0.139539,0.488568,?,0,c-CS-m
2.069809,3.681325,0.257346,0.778347,0.303293,0.168803,0.989746,2.683297,0.256162,0.670676,0.381187,0.318675,0.395188,0.751331,0.588641,0.323802,0.186681,0.82817,0.317438,1.200255,0.092702,0.174034,0.122056,0.140155,0.169857,0.79754,?,0.147233,0.133658,0.479522,?,0,c-CS-m
2.062867,3.698002,0.253427,0.787701,0.300431,0.193498,1.001175,2.676655,0.262045,0.657462,0.375637,0.318449,0.408931,0.74951,0.569918,0.325304,0.186184,0.859593,0.319967,1.251952,0.096996,0.194582,0.125621,0.143246,0.174,0.829548,?,0.150934,0.139106,0.496806,?,0,c-CS-m
2.05054,3.71412,0.257137,0.763696,0.287037,0.171103,1.012153,2.718364,0.250772,0.656636,0.367863,0.323302,0.421682,0.763117,0.573495,0.330247,0.181199,0.883301,0.326684,1.281653,0.098543,0.184663,0.126851,0.138318,0.171882,0.839226,?,0.156952,0.139154,0.507167,?,0,c-CS-m
1.98317,3.471482,0.269518,0.736793,0.315334,0.176952,0.893642,2.422627,0.251052,0.634409,0.384525,0.316503,0.469612,0.771155,0.587658,0.359748,0.162427,0.830523,0.319878,1.076998,0.092756,0.16768,0.132845,0.134227,0.17003,0.801769,?,0.163257,0.140586,0.494885,?,0,c-CS-m
1.954953,3.416226,0.257872,0.730177,0.299701,0.17789,0.90416,2.413468,0.248449,0.633647,0.378764,0.323834,0.451161,0.761204,0.58837,0.339922,0.174596,0.871719,0.315088,1.124912,0.091649,0.165474,0.135719,0.144702,0.186526,0.831719,?,0.166175,0.140772,0.459088,?,0,c-CS-m
1.995558,3.452888,0.255553,0.744447,0.29156,0.179565,0.988076,2.539397,0.256254,0.64087,0.385317,0.325929,0.516016,0.784428,0.601356,0.375964,0.166407,0.854394,0.314419,1.166266,0.088581,0.171501,0.130466,0.141927,0.197113,0.82765,?,0.166973,0.14221,0.476015,?,0,c-CS-m
1.966538,3.375553,0.287887,0.747788,0.329923,0.190265,0.879978,2.246958,0.264657,0.685011,0.396294,0.340431,0.523783,0.847345,0.614215,0.385509,0.144168,0.821634,0.337833,0.958603,0.071994,0.12707,0.12563,0.13085,0.181425,0.786897,?,0.184125,0.145248,0.506839,?,0,c-CS-m
2.018565,3.457384,0.281013,0.764838,0.338959,0.195499,0.926582,2.308861,0.281575,0.640506,0.409845,0.361181,0.559494,0.850352,0.655696,0.391561,0.154182,0.873636,0.317818,0.956182,0.08,0.163273,0.136182,0.137273,0.199636,0.808545,?,0.191455,0.136364,0.483091,?,0,c-CS-m
2.011068,3.36497,0.259823,0.748201,0.340066,0.180963,0.89596,2.288046,0.272551,0.647482,0.441616,0.355838,0.534864,0.822081,0.646652,0.379911,0.151748,0.884313,0.311184,0.990298,0.082372,0.147904,0.155775,0.136372,0.20227,0.807066,?,0.188907,0.139118,0.518946,?,0,c-CS-m
2.921435,3.728084,0.255293,1.056343,0.512773,0.167629,1.852756,3.366492,0.305424,0.851006,0.441557,0.340857,0.40105,0.781365,0.618023,0.32196,0.242086,1.862368,0.321175,2.159547,0.134639,0.196124,0.128145,0.152597,0.168172,0.987774,0.139052,0.112926,0.132001,0.486912,0.125152,0,c-CS-m
2.862575,3.64824,0.270815,1.03279,0.511502,0.166695,1.852532,3.431159,0.300172,0.833648,0.437253,0.337682,0.402318,0.786524,0.603176,0.296052,0.24212,1.692204,0.320473,2.167098,0.136273,0.193348,0.134583,0.151884,0.174704,0.981655,0.133787,0.121607,0.139008,0.467833,0.112857,0,c-CS-m
2.968155,3.814545,0.263795,1.092289,0.533205,0.172559,1.965786,3.434249,0.345908,0.881393,0.44346,0.342398,0.410913,0.812791,0.640232,0.299675,0.241042,1.65484,0.317856,2.182447,0.135914,0.192238,0.129555,0.153629,0.156001,0.994146,0.142324,0.130261,0.134804,0.462501,0.116433,0,c-CS-m
2.624901,3.77853,0.241562,0.948414,0.459194,0.161982,1.364714,2.81499,0.274975,0.766452,0.407608,0.312112,0.39474,0.740603,0.585055,0.286714,0.208718,2.027937,0.299825,1.795148,0.126091,0.176977,0.119356,0.134635,0.145049,0.970067,0.133637,0.107321,0.118982,0.47911,0.102831,0,c-CS-m
