@relation mice-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-R78-80-weka.filters.unsupervised.attribute.RandomSubset-N32.0-S42

@attribute ITSN1_N numeric
@attribute BDNF_N numeric
@attribute pBRAF_N numeric
@attribute pCREB_N numeric
@attribute pERK_N numeric
@attribute pJNK_N numeric
@attribute PKCA_N numeric
@attribute pMEK_N numeric
@attribute CREB_N numeric
@attribute ELK_N numeric
@attribute ERK_N numeric
@attribute MEK_N numeric
@attribute TRKA_N numeric
@attribute APP_N numeric
@attribute Bcatenin_N numeric
@attribute pNUMB_N numeric
@attribute RAPTOR_N numeric
@attribute pP70S6_N numeric
@attribute pGSK3B_N numeric
@attribute pPKCG_N numeric
@attribute ADARB1_N numeric
@attribute AcetylH3K9_N numeric
@attribute BAX_N numeric
@attribute ARC_N numeric
@attribute nNOS_N numeric
@attribute IL1B_N numeric
@attribute P3525_N numeric
@attribute pCASP9_N numeric
@attribute PSD95_N numeric
@attribute pGSK3B_Tyr216_N numeric
@attribute SHH_N numeric
@attribute pS6_N numeric
@attribute class {c-CS-m,c-SC-m,c-CS-s,c-SC-s,t-CS-m,t-SC-m,t-CS-s,t-SC-s}

@data
0.513278,0.327792,0.193797,0.185283,0.46118,0.29029,0.379485,0.271235,0.196229,0.891952,2.171904,0.26272,0.635313,0.418812,1.957835,0.341374,0.323535,0.513278,0.173292,1.902902,0.899018,0.144391,0.183802,0.094357,0.149989,0.429404,0.250628,1.326708,1.861549,0.842472,0.19077,0.094357,c-CS-m
0.499411,0.355124,0.204358,0.190224,0.447193,0.277189,0.361406,0.264429,0.19788,0.862583,2.108755,0.281311,0.615823,0.36808,1.887711,0.330978,0.319199,0.50157,0.180151,2.001656,0.967708,0.159451,0.174119,0.098415,0.160752,0.455051,0.249704,1.303052,1.913532,0.836172,0.194819,0.098415,c-CS-m
0.482102,0.312539,0.188821,0.171028,0.471844,0.272137,0.34059,0.256018,0.199288,0.869583,1.925686,0.256018,0.612728,0.366339,1.749215,0.325937,0.332426,0.464099,0.167403,1.904006,0.944061,0.137845,0.175276,0.097652,0.15,0.395442,0.277624,1.251934,1.760635,0.809807,0.203315,0.097652,c-CS-m
0.485914,0.310951,0.188519,0.179835,0.463249,0.284262,0.360305,0.262868,0.214573,0.814022,1.956577,0.256725,0.579115,0.367295,1.770599,0.329379,0.321966,0.462826,0.170862,1.972578,0.929546,0.136408,0.174378,0.094642,0.154409,0.415413,0.252004,1.288708,1.792434,0.832794,0.190128,0.094642,c-CS-m
0.462313,0.344629,0.185459,0.176422,0.426987,0.266174,0.325734,0.279524,0.184021,0.789484,1.885192,0.24235,0.557404,0.356541,1.710002,0.309715,0.336414,0.45841,0.161032,1.959456,0.903582,0.142693,0.173352,0.09914,0.151862,0.434527,0.249284,1.251289,1.764756,0.80616,0.19384,0.09914,c-CS-m
0.862653,0.377742,0.185338,0.194465,1.081555,0.355366,0.38363,0.299426,0.175622,1.491241,4.112616,0.287649,0.790078,0.42161,2.620197,0.523333,0.407478,0.225085,0.191338,0.942728,1.347123,0.115902,0.192243,0.138655,0.157919,0.355074,0.233484,1.127408,1.683323,0.674984,0.178474,0.138655,c-CS-m
0.807054,0.351591,0.165975,0.174689,1.075934,0.33195,0.346196,0.250207,0.163071,1.348548,3.692531,0.259198,0.741355,0.389627,2.42296,0.474965,0.36473,0.216459,0.193156,0.963389,1.150631,0.106645,0.191827,0.111362,0.148638,0.373621,0.23515,1.13701,1.693821,0.684252,0.17608,0.111362,c-CS-m
0.802537,0.35011,0.165058,0.171401,1.065637,0.326669,0.342113,0.243243,0.165609,1.345422,3.684915,0.275097,0.73952,0.393547,2.415472,0.457253,0.354523,0.193188,0.196724,0.975494,1.176618,0.098362,0.186705,0.112036,0.152383,0.388302,0.237544,1.147983,1.791836,0.713851,0.174249,0.112036,c-CS-m
0.770235,0.356397,0.186498,0.190974,0.97762,0.358262,0.376912,0.264827,0.185379,1.289444,3.514547,0.28329,0.726595,0.416822,2.328422,0.497762,0.400037,0.232935,0.189935,0.956807,1.188029,0.117476,0.188029,0.111507,0.151053,0.363455,0.229647,1.148732,1.636213,0.679241,0.195656,0.111507,c-CS-m
0.678768,0.31248,0.161102,0.161912,0.838574,0.306321,0.323825,0.230146,0.158185,1.07034,2.944895,0.239222,0.634036,0.364344,2.007131,0.427391,0.337439,0.204862,0.193865,0.978376,1.092616,0.100159,0.18255,0.100578,0.160842,0.364429,0.228648,1.102087,1.657028,0.685693,0.188165,0.100578,c-CS-m
0.716672,0.319701,0.171598,0.174556,0.871389,0.3244,0.337278,0.248869,0.173512,1.123564,3.127567,0.255482,0.686042,0.382005,2.112078,0.432823,0.342151,0.213714,0.186121,1.000503,1.113535,0.089956,0.182093,0.110682,0.147185,0.386842,0.227994,1.102291,1.652261,0.702526,0.179575,0.110682,c-CS-m
0.699581,0.38775,0.197019,0.182115,0.886353,0.34327,0.388449,0.321146,0.197019,1.136004,3.235212,0.266884,0.684909,0.424779,2.078947,0.505822,0.433628,0.28109,0.191595,0.954555,1.105559,0.11306,0.19347,0.104897,0.143614,0.367196,0.237481,1.116589,1.562762,0.679021,0.194353,0.104897,c-CS-m
0.690271,0.349774,0.187104,0.176697,0.850452,0.34638,0.369457,0.279186,0.184163,1.112217,3.119005,0.264253,0.669231,0.411086,2.043439,0.484163,0.413801,0.255204,0.190073,0.963339,0.988832,0.09656,0.181726,0.112352,0.150592,0.349126,0.236999,1.06238,1.611957,0.691483,0.192329,0.112352,c-CS-m
0.641892,0.308488,0.173775,0.168074,0.822213,0.317356,0.327703,0.236909,0.166174,1.020481,2.804265,0.244721,0.620777,0.378378,1.910262,0.42103,0.349873,0.228674,0.186975,0.937749,0.98253,0.086024,0.166851,0.103605,0.1454,0.366431,0.231203,1.06004,1.582707,0.683989,0.181889,0.103605,c-CS-m
0.561356,0.320853,0.194589,0.178191,0.711943,0.334244,0.356655,0.269199,0.192949,0.953813,2.594698,0.258541,0.607816,0.376879,1.76633,0.491118,0.441104,0.31894,0.190763,0.983055,1.017628,0.121755,0.169172,0.104263,0.144438,0.400793,0.245286,1.045778,1.574884,0.677234,0.218912,0.104263,c-CS-m
0.701865,0.384445,0.223206,0.202023,0.839077,0.402782,0.416377,0.346506,0.241227,1.091369,2.87006,0.306671,0.694594,0.460955,2.034145,0.562441,0.504268,0.392033,0.193504,0.929039,0.895469,0.095388,0.165939,0.09798,0.14738,0.413892,0.255049,1.031386,1.554312,0.657069,0.177129,0.09798,c-CS-m
0.583045,0.304279,0.189476,0.178049,0.733989,0.317566,0.327664,0.29232,0.193994,0.910975,2.401541,0.247409,0.592081,0.395163,1.705023,0.45097,0.410045,0.300292,0.19299,0.958333,0.926239,0.086149,0.154279,0.110079,0.149775,0.406109,0.244651,1.045327,1.584882,0.688345,0.181869,0.110079,c-CS-m
0.540086,0.29131,0.210526,0.162485,0.685741,0.301408,0.30967,0.243268,0.188188,0.806916,2.119339,0.238066,0.488984,0.365361,1.421053,0.48011,0.485312,0.330171,0.179083,0.902032,0.711608,0.118601,0.15593,0.075445,0.106316,0.372815,0.245078,0.945818,1.402583,0.620413,0.225862,0.075445,c-CS-m
0.564791,0.316056,0.175095,0.162137,0.686157,0.300253,0.328066,0.268015,0.191846,0.829646,2.10493,0.248736,0.513274,0.389381,1.512958,0.474399,0.455436,0.340392,0.180365,0.853694,0.699712,0.090502,0.152542,0.091461,0.136553,0.342501,0.233291,0.966421,1.403902,0.619923,0.182283,0.091461,c-CS-m
0.556375,0.28725,0.177573,0.169892,0.695853,0.280799,0.301382,0.292473,0.191091,0.824885,2.04424,0.238095,0.492166,0.366513,1.421198,0.459293,0.428571,0.326882,0.183887,0.890454,0.770755,0.081218,0.146881,0.093172,0.128377,0.38857,0.235467,1.020141,1.424922,0.640413,0.174554,0.093172,c-CS-m
0.954187,0.446958,0.185599,0.232257,1.022813,0.348667,0.348291,0.245963,0.175836,2.407811,4.643823,0.322475,0.887627,0.442922,2.747559,0.488265,0.368757,0.214514,0.172713,0.605805,1.951281,0.135249,0.202873,0.148773,0.219754,0.571351,0.303668,1.788785,2.221383,0.833704,0.211462,0.148773,c-CS-m
0.962021,0.464964,0.188473,0.25902,1.053551,0.353874,0.362704,0.260634,0.180972,2.473889,4.892803,0.332985,0.892423,0.462685,2.801842,0.506551,0.38834,0.234523,0.16728,0.612683,2.060217,0.130801,0.205746,0.14766,0.211704,0.569082,0.320415,1.763879,2.215774,0.838388,0.222265,0.14766,c-CS-m
0.967179,0.470056,0.18259,0.258795,1.025842,0.36169,0.368386,0.259549,0.191738,2.578233,4.804018,0.340375,0.8922,0.459964,2.856078,0.53947,0.40564,0.235216,0.182244,0.603165,2.21111,0.122888,0.208975,0.143169,0.204102,0.537034,0.313997,1.672823,2.098199,0.806386,0.227446,0.143169,c-CS-m
0.812018,0.393465,0.179905,0.209154,0.906988,0.33729,0.335699,0.250643,0.175376,1.748134,4.039652,0.292498,0.810794,0.406927,2.418431,0.467752,0.354547,0.202056,0.166145,0.724477,1.787828,0.124912,0.202583,0.140063,0.206738,0.571438,0.292143,1.651346,2.207185,0.844211,0.207185,0.140063,c-CS-m
0.863728,0.411203,0.1894,0.218538,0.917357,0.348531,0.354685,0.270284,0.182115,1.801306,4.089927,0.308591,0.831826,0.422381,2.564557,0.496232,0.387968,0.217031,0.169222,0.7315,1.919602,0.12462,0.209326,0.140775,0.204004,0.559934,0.313862,1.629055,2.212114,0.854093,0.213444,0.140775,c-CS-m
0.861763,0.421204,0.187687,0.221029,0.917832,0.359515,0.365385,0.268856,0.203047,1.891234,4.313187,0.321304,0.84016,0.43032,2.576049,0.529221,0.406219,0.231768,0.172557,0.733626,2.113593,0.122993,0.214369,0.138192,0.199902,0.546969,0.318196,1.545321,2.085821,0.825307,0.222426,0.138192,c-CS-m
0.72109,0.363541,0.186639,0.190833,0.79988,0.326992,0.325345,0.253895,0.174206,1.436339,3.448772,0.284452,0.76393,0.393499,2.225135,0.460156,0.357549,0.192481,0.172382,0.776268,1.639548,0.124407,0.200109,0.132069,0.194819,0.547154,0.303265,1.566399,2.257023,0.867202,0.220722,0.132069,c-CS-m
0.748072,0.385529,0.187596,0.200401,0.819963,0.363777,0.344801,0.263499,0.185128,1.495218,3.623264,0.301759,0.795125,0.415304,2.366245,0.491978,0.387226,0.210892,0.169866,0.740359,1.720642,0.120049,0.207206,0.13331,0.186093,0.507154,0.320799,1.496859,2.188536,0.848107,0.206508,0.13331,c-CS-m
0.773863,0.391588,0.184541,0.195406,0.839671,0.345336,0.361012,0.276579,0.220549,1.576129,3.737545,0.321434,0.806922,0.413162,2.387552,0.529412,0.412851,0.217911,0.175366,0.74835,1.952687,0.122311,0.209651,0.127625,0.186423,0.488129,0.312677,1.475358,2.128739,0.824548,0.217879,0.127625,c-CS-m
0.736371,0.370568,0.205299,0.208921,0.787266,0.347693,0.344453,0.284217,0.193671,1.407739,3.439954,0.309569,0.788791,0.417461,2.191575,0.479604,0.393061,0.21178,0.181935,0.785731,1.508669,0.118674,0.202085,0.135075,0.197282,0.54686,0.313379,1.499297,2.216378,0.915417,0.223524,0.135075,c-CS-m
0.735699,0.384369,0.201057,0.20842,0.781952,0.352086,0.351897,0.28771,0.198603,1.392486,3.480461,0.295828,0.792713,0.425901,2.240513,0.492921,0.407212,0.212573,0.177423,0.815753,1.643882,0.125607,0.215244,0.126186,0.198589,0.546611,0.330326,1.495952,2.188295,0.904811,0.21987,0.126186,c-CS-m
0.737479,0.38367,0.183897,0.208278,0.79588,0.36099,0.371763,0.298998,0.207144,1.443961,3.433566,0.307125,0.801928,0.425817,2.2079,0.524854,0.434889,0.216594,0.179956,0.780727,1.828414,0.115529,0.219273,0.129846,0.190969,0.493722,0.331057,1.406388,2.081278,0.867841,0.225881,0.129846,c-CS-m
0.685278,0.360301,0.208751,0.220602,0.731085,0.353464,0.347083,0.283273,0.19804,1.486326,3.151322,0.295579,0.770055,0.38423,2.0768,0.477666,0.38309,0.189836,0.172604,0.785833,1.381386,0.120547,0.188208,0.129798,0.187932,0.555233,0.308478,1.456366,2.09873,0.923778,0.223419,0.129798,c-CS-m
0.697323,0.37154,0.215511,0.244566,0.760467,0.356898,0.360558,0.308396,0.215283,1.269275,3.212766,0.306566,0.784717,0.382292,2.132693,0.489133,0.412949,0.209792,0.17301,0.778746,1.43487,0.106808,0.187215,0.113106,0.180649,0.508979,0.333557,1.394398,2.066604,0.883945,0.220316,0.113106,c-CS-m
0.684116,0.360785,0.224504,0.199233,0.756543,0.368908,0.365072,0.310244,0.216832,1.272112,3.138087,0.324458,0.793096,0.420126,2.082581,0.527076,0.436372,0.197879,0.176601,0.775163,1.701699,0.10549,0.197255,0.114379,0.173725,0.496732,0.331634,1.357647,2.011242,0.858431,0.212157,0.114379,c-CS-m
0.763028,0.402962,0.167636,0.198354,0.832474,0.333297,0.324301,0.245091,0.160395,2.046078,4.32452,0.281953,0.869995,0.414811,2.662315,0.478552,0.336478,0.183105,0.177516,0.900372,2.1813,0.106714,0.205741,0.149351,0.206882,0.606834,0.311554,1.926976,2.495856,0.926796,0.219493,0.149351,c-CS-m
0.749622,0.401297,0.16227,0.205081,0.843351,0.332649,0.324865,0.238811,0.161514,2.045189,4.279784,0.284216,0.882811,0.41373,2.665514,0.478595,0.344865,0.187459,0.177214,0.8745,2.28649,0.105219,0.215091,0.143155,0.212288,0.617835,0.334685,1.891739,2.571488,0.933373,0.229049,0.143155,c-CS-m
0.770026,0.417959,0.177756,0.210594,0.832687,0.338609,0.336025,0.253122,0.170866,2.099699,4.314922,0.295327,0.892657,0.421189,2.683678,0.50786,0.366602,0.199612,0.184332,0.848373,2.53989,0.106047,0.208415,0.140878,0.206288,0.573514,0.307794,1.782504,2.384584,0.89516,0.229797,0.140878,c-CS-m
0.695549,0.376029,0.174271,0.190038,0.719967,0.327055,0.329287,0.255616,0.164225,1.682712,3.815404,0.282545,0.829496,0.408121,2.538161,0.471885,0.345333,0.182364,0.171562,0.925127,1.813167,0.105259,0.199533,0.151928,0.212855,0.598987,0.309155,1.745695,2.579899,0.916245,0.216362,0.151928,c-CS-m
0.68917,0.381125,0.167177,0.198497,0.729955,0.334215,0.33672,0.260997,0.173719,1.666342,3.929427,0.278953,0.845072,0.415089,2.542455,0.486219,0.358575,0.182489,0.176245,0.910765,1.937083,0.1032,0.212077,0.148776,0.211003,0.587509,0.316274,1.718561,2.520525,0.922121,0.228727,0.148776,c-CS-m
0.703492,0.385843,0.160666,0.197081,0.711811,0.33497,0.343426,0.262957,0.180715,1.721768,3.858702,0.288052,0.85611,0.413121,2.539416,0.507092,0.37084,0.180715,0.183145,0.935245,2.231334,0.103412,0.214918,0.154021,0.214615,0.558439,0.329526,1.679174,2.463348,0.905061,0.23436,0.154021,c-CS-m
0.622951,0.342757,0.174306,0.183506,0.643861,0.322516,0.316159,0.256775,0.177484,1.385413,3.269488,0.266143,0.789227,0.382235,2.254935,0.446638,0.340415,0.171462,0.16918,0.950365,1.628383,0.098572,0.19205,0.103565,0.205033,0.568661,0.3074,1.58424,2.450315,0.875162,0.216818,0.103565,c-CS-m
0.64042,0.357512,0.171089,0.193143,0.630427,0.332012,0.339076,0.266885,0.185562,1.42264,3.388008,0.303928,0.818573,0.408511,2.324604,0.477085,0.348897,0.179187,0.167184,0.921593,1.799477,0.098856,0.198197,0.143439,0.204497,0.540027,0.342799,1.52423,2.407928,0.846191,0.226788,0.143439,c-CS-m
0.640762,0.361935,0.165037,0.190829,0.63031,0.358901,0.343392,0.280681,0.195718,1.481288,3.460722,0.280681,0.82468,0.404585,2.322994,0.496797,0.383513,0.181558,0.193016,0.953796,2.126845,0.099064,0.20517,0.146426,0.202855,0.523199,0.362207,1.507283,2.390856,0.84904,0.23787,0.146426,c-CS-m
0.583783,0.324573,0.204403,0.206199,0.619721,0.325696,0.31177,0.272013,0.18823,1.242588,2.919811,0.276056,0.78212,0.426101,2.037511,0.442722,0.372192,0.172282,0.165852,0.894362,1.650865,0.080021,0.184867,0.122541,0.172323,0.56477,0.306087,1.434174,2.397069,0.987587,0.248647,0.122541,c-CS-m
0.596951,0.338937,0.207801,0.204663,0.599193,0.327953,0.317193,0.27236,0.196144,1.207577,2.955615,0.282224,0.778749,0.404842,2.059404,0.445416,0.352387,0.180453,0.175138,0.907427,1.643271,0.085199,0.180406,0.128127,0.174612,0.553858,0.324993,1.445088,2.384382,0.961285,0.262049,0.128127,c-CS-m
0.577084,0.334286,0.182758,0.196613,0.585881,0.316692,0.329228,0.270288,0.193534,1.20651,2.937101,0.283923,0.762921,0.372773,1.991423,0.447328,0.354519,0.17704,0.172341,0.909524,1.648033,0.087164,0.18519,0.126507,0.171678,0.543781,0.357928,1.408134,2.325606,0.956286,0.260564,0.126507,c-CS-m
0.590862,0.308094,0.221149,0.204961,0.551175,0.325587,0.30705,0.27859,0.212272,1.143864,2.707572,0.283029,0.75718,0.365535,1.950653,0.420627,0.32376,0.174674,0.169808,0.940807,1.429894,0.081184,0.16832,0.131944,0.174934,0.638558,0.353505,1.667989,2.406085,1.002646,0.260582,0.131944,c-CS-m
0.573658,0.326369,0.224544,0.206559,0.617297,0.350965,0.316054,0.291722,0.207353,1.178524,2.783655,0.293573,0.766464,0.355462,1.969585,0.455171,0.353875,0.181433,0.169213,0.905742,1.380409,0.082355,0.160688,0.131253,0.168409,0.637767,0.327007,1.588065,2.368988,0.944507,0.25559,0.131253,c-CS-m
0.583312,0.331943,0.212256,0.200522,0.583833,0.347327,0.322034,0.302477,0.201565,1.126467,2.796871,0.324902,0.808866,0.352542,1.960887,0.433377,0.349674,0.190613,0.169524,0.888319,1.359558,0.087646,0.157827,0.129627,0.182663,0.60391,0.366768,1.59702,2.292742,0.922769,0.245153,0.129627,c-CS-m
0.555621,0.315109,0.158325,0.179554,0.643145,0.318786,0.283088,0.251898,0.144568,1.318667,3.389231,0.258657,0.699241,0.372154,2.063212,0.457543,0.277514,0.14694,0.158748,0.892726,1.785159,0.117759,0.197023,0.138143,0.180232,0.719167,0.289779,2.068558,2.396539,0.845872,0.239625,0.138143,c-CS-m
0.582699,0.333042,0.17064,0.18924,0.674448,0.33429,0.296218,0.241168,0.152415,1.405443,3.553489,0.272001,0.756834,0.392086,2.184621,0.481463,0.297091,0.15641,0.158087,0.876159,1.780942,0.116466,0.194451,0.136911,0.178021,0.697043,0.317196,2.050894,2.373932,0.865498,0.232932,0.136911,c-CS-m
0.576313,0.342568,0.168601,0.18158,0.663297,0.338325,0.29839,0.242731,0.157494,1.453638,3.616623,0.268813,0.758393,0.391364,2.227755,0.489579,0.305129,0.158492,0.159688,0.874314,1.755775,0.111608,0.20257,0.13471,0.172755,0.686977,0.300751,1.978559,2.327462,0.850347,0.238161,0.13471,c-CS-m
0.540699,0.32227,0.174648,0.183657,0.607555,0.342342,0.291924,0.240872,0.159159,1.189031,3.181445,0.2581,0.708709,0.406828,2.066698,0.465307,0.311364,0.174174,0.149996,0.861658,1.437892,0.109826,0.178865,0.137724,0.1786,0.664607,0.290721,1.871811,2.323387,0.82449,0.227421,0.137724,c-CS-m
0.524386,0.316709,0.172593,0.175739,0.597388,0.342196,0.294053,0.248269,0.15922,1.173851,3.142857,0.262587,0.704688,0.391126,2.056325,0.471838,0.31781,0.168974,0.158851,0.860125,1.468149,0.11087,0.193548,0.142315,0.185687,0.720972,0.311738,1.894461,2.380772,0.860667,0.238547,0.142315,c-CS-m
0.555485,0.323543,0.184632,0.180346,0.588347,0.341959,0.302429,0.25131,0.157485,1.210986,3.308938,0.263851,0.721384,0.384188,2.105255,0.489125,0.330052,0.175583,0.162312,0.871439,1.490655,0.102159,0.198512,0.139539,0.188986,0.664217,0.322355,1.896026,2.352477,0.856741,0.240519,0.139539,c-CS-m
0.500887,0.30349,0.182015,0.183396,0.545849,0.337803,0.289489,0.257346,0.168803,0.989746,2.683297,0.256162,0.670676,0.381187,1.845395,0.464603,0.323802,0.188917,0.153382,0.82817,1.200255,0.092702,0.174034,0.133658,0.169161,0.637429,0.310593,1.730363,2.274278,0.79754,0.228565,0.133658,c-CS-m
0.504505,0.302977,0.179984,0.180964,0.511947,0.335488,0.292793,0.253427,0.193498,1.001175,2.676655,0.262045,0.657462,0.375637,1.859969,0.464943,0.325304,0.189385,0.158978,0.859593,1.251952,0.096996,0.194582,0.139106,0.178614,0.66158,0.316182,1.751715,2.264727,0.829548,0.234564,0.139106,c-CS-m
0.493441,0.29591,0.183256,0.175154,0.509259,0.32581,0.294753,0.257137,0.171103,1.012153,2.718364,0.250772,0.656636,0.367863,1.865934,0.470872,0.330247,0.188079,0.161491,0.883301,1.281653,0.098543,0.184663,0.139154,0.17021,0.659818,0.329431,1.750478,2.285356,0.839226,0.242355,0.139154,c-CS-m
0.474287,0.296166,0.193081,0.184432,0.528518,0.333333,0.290089,0.269518,0.176952,0.893642,2.422627,0.251052,0.634409,0.384525,1.691912,0.467742,0.359748,0.201964,0.155792,0.830523,1.076998,0.092756,0.16768,0.140586,0.165745,0.62303,0.303014,1.614736,2.175007,0.801769,0.227398,0.140586,c-CS-m
0.477591,0.30108,0.190301,0.176281,0.503333,0.335785,0.288899,0.257872,0.17789,0.90416,2.413468,0.248449,0.633647,0.378764,1.797518,0.453919,0.339922,0.193289,0.163088,0.871719,1.124912,0.091649,0.165474,0.140772,0.170246,0.635228,0.315228,1.635509,2.188632,0.831719,0.246316,0.140772,c-CS-m
0.480711,0.310732,0.185644,0.175123,0.498714,0.338789,0.301847,0.255553,0.179565,0.988076,2.539397,0.256254,0.64087,0.385317,1.736731,0.468553,0.375964,0.213467,0.1582,0.854394,1.166266,0.088581,0.171501,0.14221,0.184095,0.636621,0.321919,1.643838,2.227253,0.82765,0.241687,0.14221,c-CS-m
0.470409,0.322732,0.202434,0.192478,0.522954,0.349558,0.303927,0.287887,0.190265,0.879978,2.246958,0.264657,0.685011,0.396294,1.622511,0.49917,0.385509,0.250553,0.154968,0.821634,0.958603,0.071994,0.12707,0.145248,0.156407,0.602052,0.308315,1.468503,2.063715,0.786897,0.24478,0.145248,c-CS-m
0.47398,0.318987,0.209564,0.192124,0.517018,0.354712,0.315893,0.281013,0.195499,0.926582,2.308861,0.281575,0.640506,0.409845,1.667511,0.496203,0.391561,0.241913,0.165636,0.873636,0.956182,0.08,0.163273,0.136364,0.164727,0.650182,0.334364,1.497818,2.076545,0.808545,0.251273,0.136364,c-CS-m
0.47233,0.321251,0.204206,0.18456,0.492529,0.346154,0.312396,0.259823,0.180963,0.89596,2.288046,0.272551,0.647482,0.441616,1.642778,0.497786,0.379911,0.307139,0.163646,0.884313,0.990298,0.082372,0.147904,0.139118,0.177558,0.638843,0.360974,1.501373,2.017756,0.807066,0.258283,0.139118,c-CS-m
0.828696,0.405862,0.17664,0.239283,0.969466,0.32126,0.406562,0.255293,0.167629,1.852756,3.366492,0.305424,0.851006,0.441557,2.578215,0.361417,0.32196,0.252056,0.163758,1.862368,2.159547,0.134639,0.196124,0.132001,0.210988,0.527242,0.348062,1.687551,2.436587,0.987774,0.239752,0.132001,c-CS-m
