@relation mice-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-R78-80-weka.filters.unsupervised.attribute.RandomSubset-N32.0-S5

@attribute NR2A_N numeric
@attribute pAKT_N numeric
@attribute pBRAF_N numeric
@attribute pCAMKII_N numeric
@attribute pNR1_N numeric
@attribute pNR2B_N numeric
@attribute CREB_N numeric
@attribute ERK_N numeric
@attribute GSK3B_N numeric
@attribute MEK_N numeric
@attribute APP_N numeric
@attribute Bcatenin_N numeric
@attribute SOD1_N numeric
@attribute pMTOR_N numeric
@attribute DSCR1_N numeric
@attribute P70S6_N numeric
@attribute pGSK3B_N numeric
@attribute pPKCG_N numeric
@attribute CDK5_N numeric
@attribute S6_N numeric
@attribute ADARB1_N numeric
@attribute BAX_N numeric
@attribute Tau_N numeric
@attribute GluR4_N numeric
@attribute P3525_N numeric
@attribute PSD95_N numeric
@attribute SNCA_N numeric
@attribute Ubiquitin_N numeric
@attribute pGSK3B_Tyr216_N numeric
@attribute pS6_N numeric
@attribute CaNA_N numeric
@attribute Genotype=Ts65Dn numeric
@attribute class {c-CS-m,c-SC-m,c-CS-s,c-SC-s,t-CS-m,t-SC-m,t-CS-s,t-SC-s}

@data
6.006657,0.223688,0.1894,2.375283,1.006154,1.998116,0.182115,4.089927,1.530897,0.308591,0.422381,2.564557,0.360085,0.792514,0.694298,1.149328,0.169222,0.7315,0.355993,0.57685,1.919602,0.209326,0.301951,0.114546,0.313862,2.212114,0.165104,1.157121,0.854093,0.140775,1.660352,0,c-CS-m
6.368257,0.233017,0.187687,2.406219,1.049575,2.035589,0.203047,4.313187,1.537338,0.321304,0.43032,2.576049,0.366883,0.85964,0.767358,1.118904,0.172557,0.733626,0.354697,0.529756,2.113593,0.214369,0.298297,0.118599,0.318196,2.085821,0.17158,1.186596,0.825307,0.138192,1.610816,0,c-CS-m
5.191732,0.229179,0.186639,2.481426,0.876123,1.760935,0.174206,3.448772,1.382415,0.284452,0.393499,2.225135,0.340024,0.763032,0.645896,1.084002,0.172382,0.776268,0.351332,0.577618,1.639548,0.200109,0.263681,0.116381,0.303265,2.257023,0.141281,1.26286,0.867202,0.132069,1.727381,0,c-CS-m
5.495063,0.237427,0.187596,2.549676,0.923789,1.850663,0.185128,3.623264,1.438136,0.301759,0.415304,2.366245,0.350201,0.78772,0.711046,1.026522,0.169866,0.740359,0.342523,0.520852,1.720642,0.207206,0.257896,0.11019,0.320799,2.188536,0.160181,1.269499,0.848107,0.13331,1.650846,0,c-CS-m
5.987583,0.246624,0.184541,2.603446,0.978892,1.912929,0.220549,3.737545,1.458016,0.321434,0.413162,2.387552,0.375757,0.849915,0.786745,1.070798,0.175366,0.74835,0.34679,0.485215,1.952687,0.209651,0.257993,0.113825,0.312677,2.128739,0.167824,1.214451,0.824548,0.127625,1.555327,0,c-CS-m
4.947198,0.266489,0.205299,2.749142,0.893824,1.821769,0.193671,3.439954,1.437095,0.309569,0.417461,2.191575,0.356081,0.815288,0.694053,0.98395,0.181935,0.785731,0.343135,0.551078,1.508669,0.202085,0.241682,0.108247,0.313379,2.216378,0.160614,1.380975,0.915417,0.135075,1.655576,0,c-CS-m
5.101001,0.257127,0.201057,2.746838,0.919388,1.82745,0.198603,3.480461,1.436285,0.295828,0.425901,2.240513,0.391165,0.828205,0.735699,0.995374,0.177423,0.815753,0.360051,0.524751,1.643882,0.215244,0.245663,0.107217,0.330326,2.188295,0.17083,1.489128,0.904811,0.126186,1.681703,0,c-CS-m
5.60121,0.259119,0.183897,2.75808,0.960121,1.857872,0.207144,3.433566,1.435267,0.307125,0.425817,2.2079,0.399735,0.856171,0.815347,0.990308,0.179956,0.780727,0.338656,0.442952,1.828414,0.219273,0.235793,0.102313,0.331057,2.081278,0.166189,1.37533,0.867841,0.129846,1.585793,0,c-CS-m
4.5,0.278715,0.208751,2.586144,0.871468,1.718323,0.19804,3.151322,1.403373,0.295579,0.38423,2.0768,0.353692,0.817229,0.71536,0.934825,0.172604,0.785833,0.325186,0.52955,1.381386,0.188208,0.228666,0.098315,0.308478,2.09873,0.163767,1.352113,0.923778,0.129798,1.615576,0,c-CS-m
4.652025,0.278197,0.215511,2.592542,0.896134,1.765042,0.215283,3.212766,1.406086,0.306566,0.382292,2.132693,0.37337,0.858156,0.773507,0.951756,0.17301,0.778746,0.32096,0.48298,1.43487,0.187215,0.21777,0.099303,0.333557,2.066604,0.185875,1.426159,0.883945,0.113106,1.561914,0,c-CS-m
5.008123,0.287229,0.224504,2.57694,0.925993,1.75722,0.216832,3.138087,1.397563,0.324458,0.420126,2.082581,0.379738,0.888989,0.841832,0.934902,0.176601,0.775163,0.324183,0.442745,1.701699,0.197255,0.210588,0.099346,0.331634,2.011242,0.185621,1.357386,0.858431,0.114379,1.530458,0,c-CS-m
6.317279,0.19232,0.167636,1.892485,1.051563,2.129457,0.160395,4.32452,1.450247,0.281953,0.414811,2.662315,0.337356,0.794624,0.636314,1.327949,0.177516,0.900372,0.349267,0.53411,2.1813,0.205741,0.297862,0.137581,0.311554,2.495856,0.156618,1.244535,0.926796,0.149351,1.680399,0,c-CS-m
6.306811,0.192541,0.16227,1.854378,1.074595,2.107784,0.161514,4.279784,1.430162,0.284216,0.41373,2.665514,0.337622,0.800216,0.662378,1.365404,0.177214,0.8745,0.354011,0.521086,2.28649,0.215091,0.3051,0.139815,0.334685,2.571488,0.16612,1.251297,0.933373,0.143155,1.720907,0,c-CS-m
6.76615,0.201012,0.177756,1.832041,1.115095,2.102067,0.170866,4.314922,1.460594,0.295327,0.421189,2.683678,0.351852,0.829888,0.723622,1.316416,0.184332,0.848373,0.353776,0.519772,2.53989,0.208415,0.288309,0.1422,0.307794,2.384584,0.1618,1.16864,0.89516,0.140878,1.645764,0,c-CS-m
5.917957,0.226734,0.174271,2.663039,1.015767,2.011302,0.164225,3.815404,1.419143,0.282545,0.408121,2.538161,0.329427,0.798102,0.649644,1.193611,0.171562,0.925127,0.337359,0.503779,1.813167,0.199533,0.272536,0.135411,0.309155,2.579899,0.167199,1.3224,0.916245,0.151928,1.69926,0,c-CS-m
6.066537,0.221882,0.167177,2.652561,1.043847,2.051503,0.173719,3.929427,1.423023,0.278953,0.415089,2.542455,0.339644,0.806514,0.693903,1.231489,0.176245,0.910765,0.351876,0.498811,1.937083,0.212077,0.264789,0.133661,0.316274,2.520525,0.182076,1.22842,0.922121,0.148776,1.705363,0,c-CS-m
6.318467,0.216858,0.160666,2.652073,1.058238,2.032051,0.180715,3.858702,1.417076,0.288052,0.413121,2.539416,0.3482,0.831697,0.736907,1.229821,0.183145,0.935245,0.362735,0.514411,2.231334,0.214918,0.274983,0.138135,0.329526,2.463348,0.185491,1.227929,0.905061,0.154021,1.682427,0,c-CS-m
5.307963,0.228839,0.174306,2.724323,0.940616,1.835062,0.177484,3.269488,1.307795,0.266143,0.382235,2.254935,0.319839,0.77735,0.644363,1.060022,0.16918,0.950365,0.341756,0.472586,1.628383,0.19205,0.226905,0.132028,0.3074,2.450315,0.17657,1.347249,0.875162,0.103565,1.653051,0,c-CS-m
5.468987,0.232254,0.171089,2.779118,0.995865,1.915403,0.185562,3.388008,1.372157,0.303928,0.408511,2.324604,0.339593,0.814094,0.715369,1.008529,0.167184,0.921593,0.348033,0.482942,1.799477,0.198197,0.239291,0.127738,0.342799,2.407928,0.189184,1.31353,0.846191,0.143439,1.653809,0,c-CS-m
5.787256,0.243257,0.165037,2.754552,1.011463,1.92296,0.195718,3.460722,1.334963,0.280681,0.404585,2.322994,0.340357,0.838334,0.732805,1.075528,0.193016,0.953796,0.358831,0.507669,2.126845,0.20517,0.237388,0.13707,0.362207,2.390856,0.19128,1.305296,0.84904,0.146426,1.607119,0,c-CS-m
4.32053,0.250449,0.204403,2.618598,0.905211,1.663073,0.18823,2.919811,1.268194,0.276056,0.426101,2.037511,0.347484,0.784591,0.624663,0.826753,0.165852,0.894362,0.315859,0.548396,1.650865,0.184867,0.204014,0.090717,0.306087,2.397069,0.149214,1.413707,0.987587,0.122541,1.739865,0,c-CS-m
4.260928,0.251289,0.207801,2.672047,0.889262,1.696705,0.196144,2.955615,1.26048,0.282224,0.404842,2.059404,0.343197,0.779197,0.642681,0.843824,0.175138,0.907427,0.327495,0.549644,1.643271,0.180406,0.230577,0.10561,0.324993,2.384382,0.161443,1.437056,0.961285,0.128127,1.718462,0,c-CS-m
4.482296,0.248955,0.182758,2.644381,0.88278,1.683967,0.193534,2.937101,1.288102,0.283923,0.372773,1.991423,0.337585,0.773477,0.651638,0.880646,0.172341,0.909524,0.345609,0.546165,1.648033,0.18519,0.195523,0.096569,0.357928,2.325606,0.17552,1.36985,0.956286,0.126507,1.690158,0,c-CS-m
4.051175,0.248042,0.221149,2.548564,0.86658,1.590862,0.212272,2.707572,1.298433,0.283029,0.365535,1.950653,0.35248,0.765796,0.63107,0.826389,0.169808,0.940807,0.32209,0.527116,1.429894,0.16832,0.201554,0.102183,0.353505,2.406085,0.176753,1.51207,1.002646,0.131944,1.730159,0,c-CS-m
4.036498,0.266861,0.224544,2.63343,0.889183,1.620206,0.207353,2.783655,1.302036,0.293573,0.355462,1.969585,0.340651,0.798202,0.650093,0.825961,0.169213,0.905742,0.32572,0.529677,1.380409,0.160688,0.19688,0.09474,0.327007,2.368988,0.183851,1.473219,0.944507,0.131253,1.633585,0,c-CS-m
4.066493,0.256845,0.212256,2.612516,0.871447,1.667275,0.201565,2.796871,1.245893,0.324902,0.352542,1.960887,0.349413,0.766884,0.65867,0.821183,0.169524,0.888319,0.331998,0.509053,1.359558,0.157827,0.190514,0.093575,0.366768,2.292742,0.191956,1.40282,0.922769,0.129627,1.613043,0,c-CS-m
4.887097,0.194853,0.158325,3.391129,0.845588,1.704696,0.144568,3.389231,1.063805,0.258657,0.372154,2.063212,0.293643,0.721063,0.566414,1.282226,0.158748,0.892726,0.337366,0.450359,1.785159,0.197023,0.215208,0.146356,0.289779,2.396539,0.149509,1.273427,0.845872,0.138143,1.817862,0,c-CS-m
5.211334,0.206716,0.17064,3.513544,0.885657,1.773686,0.152415,3.553489,1.125702,0.272001,0.392086,2.184621,0.314567,0.775683,0.601798,1.271924,0.158087,0.876159,0.323476,0.44425,1.780942,0.194451,0.220518,0.148886,0.317196,2.373932,0.15743,1.215991,0.865498,0.136911,1.769405,0,c-CS-m
5.32622,0.207413,0.168601,3.511544,0.902284,1.81842,0.157494,3.616623,1.140771,0.268813,0.391364,2.227755,0.319231,0.765756,0.628728,1.231375,0.159688,0.874314,0.367239,0.435677,1.755775,0.20257,0.205458,0.150736,0.300751,2.327462,0.147199,1.274978,0.850347,0.13471,1.723145,0,c-CS-m
4.799273,0.231863,0.174648,3.867236,0.812707,1.663822,0.159159,3.181445,1.077288,0.2581,0.406828,2.066698,0.314683,0.756757,0.599652,1.113975,0.149996,0.861658,0.315264,0.413702,1.437892,0.178865,0.19608,0.140549,0.290721,2.323387,0.144522,1.290103,0.82449,0.137724,1.68297,0,c-CS-m
4.582756,0.22168,0.172593,3.844399,0.835431,1.652769,0.15922,3.142857,1.085746,0.262587,0.391126,2.056325,0.313877,0.741976,0.609503,1.113039,0.158851,0.860125,0.323394,0.410229,1.468149,0.193548,0.208277,0.141682,0.311738,2.380772,0.167977,1.339026,0.860667,0.142315,1.753592,0,c-CS-m
4.806477,0.2194,0.184632,3.859184,0.834101,1.699476,0.157485,3.308938,1.098746,0.263851,0.384188,2.105255,0.322591,0.77171,0.645341,1.167392,0.162312,0.871439,0.3317,0.40773,1.490655,0.198512,0.199873,0.142533,0.322355,2.352477,0.166213,1.295954,0.856741,0.139539,1.724097,0,c-CS-m
4.102347,0.231315,0.182015,3.681325,0.778347,1.548807,0.168803,2.683297,1.012818,0.256162,0.381187,1.845395,0.318675,0.751331,0.626701,0.954751,0.153382,0.82817,0.317438,0.370809,1.200255,0.174034,0.20188,0.140155,0.310593,2.274278,0.169857,1.334726,0.79754,0.133658,1.626291,0,c-CS-m
4.128476,0.242068,0.179984,3.698002,0.787701,1.519585,0.193498,2.676655,0.999217,0.262045,0.375637,1.859969,0.318449,0.74951,0.637289,0.985924,0.158978,0.859593,0.319967,0.381476,1.251952,0.194582,0.18855,0.143246,0.316182,2.264727,0.174,1.307547,0.829548,0.139106,1.614975,0,c-CS-m
4.150656,0.228781,0.183256,3.71412,0.763696,1.51466,0.171103,2.718364,0.984375,0.250772,0.367863,1.865934,0.323302,0.763117,0.644676,1.031773,0.161491,0.883301,0.326684,0.372551,1.281653,0.184663,0.175585,0.138318,0.329431,2.285356,0.171882,1.286073,0.839226,0.139154,1.586359,0,c-CS-m
3.674147,0.239832,0.193081,3.471482,0.736793,1.465638,0.176952,2.422627,0.988312,0.251052,0.384525,1.691912,0.316503,0.771155,0.660589,0.875726,0.155792,0.830523,0.319878,0.340061,1.076998,0.16768,0.188831,0.134227,0.303014,2.175007,0.17003,1.348355,0.801769,0.140586,1.538291,0,c-CS-m
3.619628,0.236497,0.190301,3.416226,0.730177,1.434153,0.17789,2.413468,0.95909,0.248449,0.378764,1.797518,0.323834,0.761204,0.654792,0.903579,0.163088,0.871719,0.315088,0.341053,1.124912,0.165474,0.171649,0.144702,0.315228,2.188632,0.186526,1.335298,0.831719,0.140772,1.577965,0,c-CS-m
3.788637,0.240589,0.185644,3.452888,0.744447,1.460603,0.179565,2.539397,0.97545,0.256254,0.385317,1.736731,0.325929,0.784428,0.671499,0.945804,0.1582,0.854394,0.314419,0.346257,1.166266,0.171501,0.167964,0.141927,0.321919,2.227253,0.197113,1.313004,0.82765,0.14221,1.547757,0,c-CS-m
3.4375,0.255808,0.202434,3.375553,0.747788,1.455199,0.190265,2.246958,0.981748,0.264657,0.396294,1.622511,0.340431,0.847345,0.715708,0.841433,0.154968,0.821634,0.337833,0.302916,0.958603,0.12707,0.153348,0.13085,0.308315,2.063715,0.181425,1.362491,0.786897,0.145248,1.392009,0,c-CS-m
3.457384,0.259353,0.209564,3.457384,0.764838,1.482982,0.195499,2.308861,0.975809,0.281575,0.409845,1.667511,0.361181,0.850352,0.729677,0.813091,0.165636,0.873636,0.317818,0.330545,0.956182,0.163273,0.168,0.137273,0.334364,2.076545,0.199636,1.381091,0.808545,0.136364,1.379273,0,c-CS-m
3.499723,0.270061,0.204206,3.36497,0.748201,1.482568,0.180963,2.288046,0.974267,0.272551,0.441616,1.642778,0.355838,0.822081,0.721085,0.859052,0.163646,0.884313,0.311184,0.300751,0.990298,0.147904,0.152663,0.136372,0.360974,2.017756,0.20227,1.308805,0.807066,0.139118,1.374519,0,c-CS-m
5.167979,0.207174,0.17664,3.728084,1.056343,1.925284,0.167629,3.366492,1.503675,0.305424,0.441557,2.578215,0.340857,0.781365,0.534033,1.061181,0.163758,1.862368,0.321175,0.541041,2.159547,0.196124,0.210379,0.152597,0.348062,2.436587,0.168172,1.139154,0.987774,0.132001,1.627181,0,c-CS-m
5.194163,0.223433,0.167725,3.64824,1.03279,1.893047,0.166695,3.431159,1.471674,0.300172,0.437253,2.538026,0.337682,0.786524,0.533219,1.063985,0.169981,1.692204,0.320473,0.539226,2.167098,0.193348,0.193398,0.151884,0.365119,2.354728,0.174704,1.227851,0.981655,0.139008,1.562096,0,c-CS-m
