@relation 'mice-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-R78-80_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 10 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10'

@attribute 0.196NR1_N+0.196BDNF_N+0.195MEK_N+0.193TRKA_N+0.193pNR2B_N... numeric
@attribute 0.211SNCA_N+0.203P38_N+0.202Behavior=S/C-0.202CaNA_N-0.191ITSN1_N... numeric
@attribute '0.24 PSD95_N+0.232pCASP9_N+0.228P70S6_N+0.227nNOS_N+0.204ARC_N...' numeric
@attribute 0.258pPKCG_N+0.237S6_N+0.229P3525_N+0.221H3AcK18_N+0.217pGSK3B_N... numeric
@attribute -0.329GFAP_N+0.235pPKCG_N+0.226pRSK_N+0.222pP70S6_N-0.22BCL2_N... numeric
@attribute 0.299AcetylH3K9_N+0.225pP70S6_N+0.222TIAM1_N-0.21BRAF_N+0.205Tau_N... numeric
@attribute -0.35Tau_N-0.265AcetylH3K9_N+0.259pPKCAB_N+0.232PKCA_N-0.223SOD1_N... numeric
@attribute 0.267pP70S6_N+0.265DYRK1A_N+0.264pGSK3B_Tyr216_N+0.246BRAF_N+0.236ITSN1_N... numeric
@attribute -0.343SHH_N+0.302GluR4_N-0.289P3525_N+0.256GluR3_N-0.241Treatment=Saline... numeric
@attribute 0.386Genotype=Ts65Dn-0.383Treatment=Saline+0.273APP_N-0.245SOD1_N+0.209pNUMB_N... numeric
@attribute 0.408Genotype=Ts65Dn+0.345APP_N-0.267AcetylH3K9_N+0.256Treatment=Saline+0.218GluR4_N... numeric
@attribute 0.339BAX_N+0.299Treatment=Saline-0.294GluR3_N+0.275Ubiquitin_N+0.226RRP1_N... numeric
@attribute 0.294pRSK_N-0.275BCL2_N+0.249pCASP9_N-0.243Genotype=Ts65Dn-0.232PSD95_N... numeric
@attribute -0.309BAD_N+0.297pCREB_N-0.282EGR1_N-0.257AKT_N+0.232CREB_N... numeric
@attribute 0.306BAX_N-0.303pCAMKII_N-0.281S6_N-0.257pNR2A_N+0.248pGSK3B_Tyr216_N... numeric
@attribute '-0.41RRP1_N+0.36 Treatment=Saline-0.307pCFOS_N+0.255GluR4_N-0.243SHH_N...' numeric
@attribute '0.307pCFOS_N-0.286nNOS_N+0.27 pCASP9_N-0.251GluR4_N+0.248SYP_N...' numeric
@attribute 0.322nNOS_N-0.279GFAP_N-0.263ADARB1_N-0.223pRSK_N+0.218SYP_N... numeric
@attribute '-0.385GluR4_N-0.379H3AcK18_N-0.227SOD1_N+0.21 BCL2_N-0.207ADARB1_N...' numeric
@attribute -0.322DSCR1_N-0.254H3MeK4_N-0.236Treatment=Saline-0.236pMTOR_N-0.225CDK5_N... numeric
@attribute 0.477RRP1_N-0.343SHH_N-0.295H3AcK18_N-0.279BAX_N-0.227BCL2_N... numeric
@attribute 0.376CDK5_N-0.287pGSK3B_Tyr216_N-0.257pGSK3B_N-0.252DSCR1_N-0.219S6_N... numeric
@attribute 0.355RRP1_N-0.323pCFOS_N-0.288CDK5_N+0.226BAD_N+0.212pCASP9_N... numeric
@attribute -0.385GFAP_N+0.339RRP1_N-0.297P3525_N+0.209CDK5_N+0.204pCAMKII_N... numeric
@attribute -0.372CDK5_N+0.362GluR4_N-0.29SOD1_N-0.277EGR1_N+0.254SYP_N... numeric
@attribute '0.39 BCL2_N+0.25 Treatment=Saline-0.241EGR1_N+0.229P3525_N-0.214BAD_N...' numeric
@attribute '0.344SYP_N+0.285GFAP_N+0.245SOD1_N+0.24 pMTOR_N-0.231pCASP9_N...' numeric
@attribute 0.348SYP_N-0.336BCL2_N+0.272H3MeK4_N-0.256EGR1_N+0.229Treatment=Saline... numeric
@attribute 0.322CDK5_N-0.316CREB_N+0.238pELK_N-0.237nNOS_N-0.212pBRAF_N... numeric
@attribute -0.332BAX_N+0.292BAD_N+0.292ADARB1_N+0.269pCFOS_N-0.245P3525_N... numeric
@attribute '0.334pELK_N+0.282pP70S6_N-0.262GluR4_N+0.26 GluR3_N+0.253BCL2_N...' numeric
@attribute '0.295SYP_N-0.266BAD_N+0.248nNOS_N+0.22 EGR1_N-0.214pCREB_N...' numeric
@attribute class {c-CS-m,c-SC-m,c-CS-s,c-SC-s,t-CS-m,t-SC-m,t-CS-s,t-SC-s}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10}

@data
-4.204005,-0.572912,-4.871249,-0.238859,0.192517,-0.065206,2.534407,-0.163399,0.942702,-1.775551,-0.083124,-1.200751,-0.59113,-0.613153,1.364889,-0.456043,-0.047294,0.215976,-0.440803,1.160692,-0.197644,0.82521,0.113658,-0.903793,0.138684,-0.859391,-0.31126,0.0686,-0.507027,-0.371924,-0.504902,0.147419,c-CS-m,cluster7
-4.277345,-1.009274,-4.278228,0.085698,0.857797,-0.238636,2.459981,-0.393692,1.439393,-1.813123,-0.448223,-1.805272,-0.592319,-0.199811,1.80661,-0.471852,0.03098,0.233042,0.034779,0.730144,-0.329018,0.240192,0.225142,-0.416621,-0.533363,-0.49335,-0.375715,0.092284,-0.333766,-0.126391,-0.427317,-0.066206,c-CS-m,cluster7
-5.313596,-1.220941,-3.865315,-0.336882,1.049897,-0.465246,2.337729,-0.507693,1.164891,-1.876109,-0.433003,-1.744611,-0.803341,-0.447167,1.804367,-0.343743,0.058438,0.09903,0.018999,0.862666,-0.73185,0.523989,0.213893,0.096156,-0.404537,-0.812947,-0.231901,0.169937,-0.373116,-0.090185,-0.388499,0.070966,c-CS-m,cluster7
5.359921,-2.825653,-4.439824,-4.825701,-3.629595,0.862296,-0.932187,-1.367319,1.955269,-0.511954,-0.943028,0.696699,-0.681726,-0.338484,0.177301,-1.555361,-1.11384,-0.073406,0.050408,0.764222,-1.017076,0.33068,0.644916,0.287124,0.145227,0.31854,0.40014,-0.142986,0.853307,0.876963,0.612581,0.830944,c-CS-m,cluster8
1.76532,-4.236222,-3.703328,-4.38498,-2.76659,0.756784,-0.716119,-1.542707,1.909395,-0.838098,-0.920747,0.155859,-0.094529,-0.06628,0.319301,-1.240627,-0.35335,-0.072006,-0.347402,0.806863,-0.110209,-0.411035,-0.075042,0.073114,0.119605,0.172717,0.840632,0.015125,0.418343,0.279049,-0.210247,0.653707,c-CS-m,cluster8
1.563393,-4.406783,-3.059467,-4.110368,-2.261306,0.342734,-0.546725,-1.519317,1.406745,-0.712998,-0.916015,-0.269066,0.042676,-0.125738,0.465342,-0.737402,-0.260357,-0.319646,-0.00607,0.879213,-0.267184,-0.415003,-0.338493,-0.264291,0.14199,0.222022,0.833612,-0.033773,0.389709,0.432555,-0.499063,0.567548,c-CS-m,cluster8
3.195469,-1.880079,-5.486932,-3.743671,-3.270219,0.654203,-0.456325,-1.456997,2.067186,-0.706368,-0.492697,0.097299,-0.242603,-0.67961,0.124409,-1.408433,-0.187988,0.608146,-0.210199,0.158725,-0.485704,0.011832,0.237653,0.740185,0.017128,-0.002674,0.677342,-0.167583,0.544279,0.225368,0.577322,0.415172,c-CS-m,cluster8
-2.47039,-3.131179,-3.955366,-3.270255,-2.628697,0.442676,0.042375,-1.57503,2.394244,-0.987565,-0.451868,0.117143,-0.04388,-0.540008,0.194248,-1.031745,-0.51976,0.147987,-0.157482,0.716512,-0.367295,-0.313377,0.255868,-0.363602,0.052086,-0.13519,1.124535,-0.068788,-0.007423,0.725633,0.026126,0.290048,c-CS-m,cluster8
-0.614674,-2.944643,-3.853353,-3.841799,-1.607072,0.088219,-0.366947,-1.544947,1.567535,-0.567762,-0.888285,-0.178469,0.102665,-0.120261,0.540971,-0.598659,-0.306617,-0.239259,-0.029869,0.743268,-0.355038,-0.572574,-0.089338,0.124564,0.049787,-0.128914,0.791689,-0.123673,-0.019743,0.488406,-0.162439,0.666791,c-CS-m,cluster8
2.868623,-0.150299,-7.51839,-3.441725,-3.176362,0.463094,-0.100114,-1.407711,1.849811,-0.553934,-0.504279,0.091313,-0.517183,-1.154404,0.560454,-1.258198,-0.091533,0.811851,0.340856,-0.126799,-0.654744,-0.288851,0.480786,0.431973,-0.141585,-0.048203,0.548218,-0.764842,0.555109,-0.087976,0.131342,-0.141322,c-CS-m,cluster8
1.23691,-0.576519,-6.03637,-3.155242,-3.248065,0.347229,0.273888,-1.4643,1.640175,-0.587194,-0.560381,-0.277541,-0.367135,-0.954618,0.657232,-0.778483,-0.228633,0.306337,0.677279,0.791752,-0.220677,-0.29667,0.170632,-0.124042,-0.394836,-0.374229,1.243529,-0.113508,0.251756,-0.054095,-0.00377,0.851365,c-CS-m,cluster8
-2.249009,-1.971697,-5.039971,-3.876531,-1.599595,0.043009,0.284338,-1.668111,1.567138,-0.894908,-0.370252,-0.567725,-0.104632,-0.507657,0.376831,-0.3964,-0.125673,0.351879,-0.044836,0.551051,-0.299396,-0.153403,0.001376,-0.019175,-0.089974,-0.083414,1.260058,-0.069288,0.286747,0.646225,-0.283897,0.663898,c-CS-m,cluster8
-0.184974,1.50801,-7.25369,-3.508109,-2.909926,0.464275,0.353037,-1.036164,1.228799,-0.099825,-0.305388,-0.219928,-0.077828,-1.450654,0.435605,-1.278754,-0.023997,2.18704,-0.28172,0.176339,0.059605,-0.160605,0.834282,1.38872,-0.27799,-0.389909,0.159752,-0.356468,0.208198,0.120877,0.34133,-0.64861,c-CS-m,cluster8
4.606538,2.076526,-10.160968,-3.314639,-2.107385,0.37935,0.675522,-1.245215,1.469211,-0.094007,0.079823,-1.815879,0.849734,-0.879291,0.377507,-0.048056,-0.275151,1.563309,0.115653,0.248405,0.104405,-0.45771,0.036779,-0.88316,-0.30335,-0.314615,0.138904,-0.104236,-0.394931,0.062738,0.078144,-0.530164,c-CS-m,cluster8
-1.95029,1.000377,-6.554679,-2.857652,-2.438478,-0.200147,0.206075,-1.38389,1.262212,-0.330452,-0.453726,-1.216133,0.158344,-0.856641,0.416519,0.104864,-0.486178,0.464967,0.94468,0.722654,0.198467,-0.405029,0.125035,-0.737988,-0.605087,-0.771471,0.378714,-0.357843,-0.153341,0.383095,-0.47224,0.296296,c-CS-m,cluster8
-3.858048,1.718725,-9.617341,-4.223574,-2.787956,0.857398,0.345701,-1.51544,1.170975,-0.19998,0.214343,-0.365796,0.355332,-1.275335,0.002964,-0.498691,1.082758,2.310135,-0.569068,-0.133547,-0.234675,-0.259513,-0.285657,0.463811,0.504937,-0.601334,1.061168,-0.204816,-0.293556,-0.249991,0.199044,-0.924509,c-CS-m,cluster8
-2.785158,1.49502,-8.898512,-4.538075,-2.022172,0.900775,0.18951,-1.479906,1.2546,0.126428,-0.324606,-0.708349,1.289428,-0.403775,0.818911,0.089081,-0.1891,1.4153,0.148124,0.520568,0.196314,-0.519363,-0.008428,-0.723213,0.347427,-0.567485,1.23339,-0.141626,0.075699,-0.112565,-0.222489,0.253433,c-CS-m,cluster8
-4.060931,0.903313,-8.062009,-4.328842,-1.549288,0.449989,0.097692,-1.748834,0.965992,0.142934,-0.394544,-0.784668,1.144832,-0.07174,0.966771,0.352074,-0.277484,1.249443,0.059812,0.71936,0.363051,-0.36933,-0.290757,-0.33837,-0.317787,-0.436769,0.679295,-0.488754,0.228485,0.261576,-0.634128,-0.057261,c-CS-m,cluster8
9.078471,-3.833551,2.759986,-2.324263,-4.428188,0.808849,-1.745881,-0.979309,-1.757586,1.13996,-1.378184,-1.740782,0.291396,-1.027912,-0.047581,-0.370209,0.111101,1.004273,0.618814,0.356404,-0.201656,1.018261,-0.69321,0.62185,-0.256192,-0.38109,-0.724547,-0.104118,-0.07819,1.329086,0.225175,0.194718,c-CS-m,cluster3
10.36933,-3.405264,1.907106,-2.314244,-4.989136,1.030439,-1.528451,-0.65895,-2.337845,1.003124,-1.151537,-1.657841,0.287864,-0.709918,-0.408258,-0.477878,0.456023,1.027625,0.549019,0.216394,-0.27102,1.069164,-0.45052,0.418258,-0.257923,-0.392673,-0.69178,-0.73344,0.015862,1.144082,0.347715,-0.105932,c-CS-m,cluster3
10.970094,-3.603814,0.749469,-2.906121,-4.903093,1.559262,-1.512926,-0.880529,-2.221989,1.027999,-1.11999,-1.239813,0.698103,-0.480805,-0.106469,-0.57999,0.597012,0.93373,0.323042,0.382398,-0.484082,1.082818,-0.560559,0.507758,-0.285243,-0.68505,-0.865072,-0.847486,0.370802,1.116649,-0.013315,-0.390021,c-CS-m,cluster3
5.998625,-2.839878,1.805413,-1.791437,-3.553953,-0.09864,-0.749556,-1.320427,-1.312466,1.213075,-1.830728,-0.86205,-0.164483,-1.220797,0.512381,-0.316377,0.039725,0.528313,0.090009,0.175168,0.074927,0.314269,-0.532454,0.501029,-0.058256,-0.420146,-0.48601,0.712851,-0.147695,0.886302,0.107273,0.558993,c-CS-m,cluster3
7.738045,-2.347196,0.870012,-1.592978,-4.562241,0.295909,-0.565215,-1.132064,-1.588958,1.04363,-1.655307,-0.850483,-0.394061,-1.529721,0.3261,-0.348329,-0.166058,0.585542,0.217845,0.054934,0.024824,0.486935,-0.407037,0.10446,-0.398753,-0.135702,-0.369331,-0.293972,-0.043123,0.480273,0.367955,0.291312,c-CS-m,cluster3
8.936439,-2.180991,-0.178891,-2.115265,-4.615428,0.838276,-0.490971,-1.174465,-1.754079,1.208649,-1.709814,-0.495965,-0.136621,-1.240842,0.398879,-0.522928,0.015081,0.400465,-0.19269,0.051282,-0.281708,0.573157,-0.497871,0.202477,-0.504187,-0.086915,-0.579953,-0.553417,0.051405,0.323113,-0.110411,0.20665,c-CS-m,cluster3
3.864701,-2.221005,0.755845,-0.888847,-3.668263,-0.244407,0.006163,-1.576238,-0.918633,1.167327,-1.600263,-0.53973,-0.300718,-1.148727,0.86243,-0.278474,-0.409337,0.397324,-0.48043,0.014724,0.212349,0.073755,-0.366785,0.132953,-0.279523,-0.466773,0.265222,1.038712,-0.365634,0.448526,0.074541,0.221659,c-CS-m,cluster3
5.534226,-1.533004,-0.734061,-1.231645,-3.991073,0.248895,0.125808,-1.625595,-1.103138,0.993438,-1.667156,-0.235076,-0.526824,-1.516347,0.532445,-0.176363,-0.282901,0.046602,-0.350012,0.163789,0.342787,0.163075,-0.464137,-0.775999,-0.429652,-0.551582,-0.034935,0.361433,-0.331379,0.076656,-0.192557,0.219991,c-CS-m,cluster3
7.256214,-1.215805,-1.512525,-1.712892,-4.154651,0.523643,0.24135,-1.487765,-1.302662,1.187329,-1.839775,-0.343652,-0.513451,-1.446173,1.040182,-0.416402,-0.061563,0.576374,-0.311041,0.11009,0.353307,0.054872,-0.155972,0.235886,-0.676579,-0.03689,-0.49562,-0.317596,-0.184395,-0.090756,-0.361621,-0.093125,c-CS-m,cluster3
5.617434,-0.382708,-0.900628,0.077418,-3.897787,-1.067365,0.390016,-1.592003,-1.176828,1.165855,-1.432637,-0.241253,-0.373868,-1.219655,0.886102,-0.396998,-0.570635,0.593623,-0.039882,0.326242,-0.000015,-0.164239,-0.438207,-0.304822,0.062135,-0.389441,0.651081,0.856422,-0.361038,0.260718,0.036525,0.396955,c-CS-m,cluster3
6.255165,0.054778,-1.231689,0.273913,-4.617221,-0.536692,0.874423,-1.360007,-1.111935,0.952511,-1.457593,-0.066746,-0.781737,-1.724064,0.919177,-0.439678,-0.007658,0.801506,-0.251684,0.397827,0.533078,-0.253711,-0.561024,-0.517761,-0.430617,-0.485183,0.235901,0.490736,-0.289839,-0.263343,-0.175502,0.216402,c-CS-m,cluster3
7.241125,0.153261,-2.383757,-0.862439,-4.527753,0.216427,0.752367,-1.404465,-1.347229,1.253513,-1.784866,0.324011,-0.870298,-1.852057,1.048553,-0.679525,-0.17714,0.807731,-0.148404,0.242386,-0.019532,-0.324219,0.128475,-0.407252,-0.600432,-0.151357,0.10879,-0.248145,-0.161319,-0.472566,-0.118102,0.000328,c-CS-m,cluster3
4.186526,0.261529,-1.767733,-0.025317,-3.037492,-1.68194,0.320685,-1.833509,-1.37604,0.995313,-1.39659,-0.675266,-0.523165,-1.615836,0.284501,-0.175291,-0.447542,1.110297,0.055394,0.484,0.070644,-0.50706,0.13841,0.11488,-0.3183,-0.524208,0.262529,0.138589,-0.225418,0.271491,-0.121924,-0.075244,c-CS-m,cluster3
5.431583,0.856085,-3.316371,-0.353134,-2.856338,-1.58238,0.674174,-1.809786,-1.522269,0.804221,-1.013713,-0.599434,-0.185916,-1.13386,0.181881,-0.034066,0.12856,1.699358,-0.532139,0.413058,0.636618,-0.487233,-0.598788,0.086726,-0.026178,-0.331244,0.101115,-0.285967,-0.299512,-0.559074,-0.588832,-0.027396,c-CS-m,cluster3
6.120055,1.089851,-4.255784,-0.685285,-3.756103,-0.693892,1.017845,-1.960359,-1.083671,1.09399,-1.361903,-0.139188,-0.390915,-1.850648,0.824294,-0.139196,0.568763,1.118107,-0.650784,0.41807,0.750221,-0.372639,-0.330649,-0.365205,-0.184397,-0.137532,0.136413,-0.186751,-0.623554,-0.835452,-0.52702,0.277804,c-CS-m,cluster3
7.229822,-3.01085,4.411776,-1.698661,-5.417679,0.337497,0.104599,-0.81399,-1.281261,0.94055,-1.631128,-0.879868,-0.829461,-1.090074,0.521218,-0.649146,0.510764,0.379203,0.249446,0.268478,0.568013,-0.121035,0.034895,0.078286,0.422366,-0.021179,-0.620153,0.389746,0.431397,1.148576,0.692231,0.026744,c-CS-m,cluster3
7.49682,-2.895603,4.528085,-1.350013,-5.905005,0.534224,0.484366,-0.717602,-1.440627,0.805354,-1.479969,-0.719891,-0.968455,-1.231676,0.266399,-0.665852,0.628468,0.65191,0.010279,0.077361,0.549973,-0.203593,-0.192129,-0.221369,0.502017,-0.105354,-0.603839,-0.149739,0.181211,0.62112,0.717859,-0.057342,c-CS-m,cluster3
8.605645,-2.874136,2.847439,-2.173181,-5.678971,1.119833,0.489692,-0.954206,-1.396248,0.819433,-1.475797,-0.865348,-0.767524,-1.391227,0.476983,-0.747986,0.809947,0.490939,-0.069865,0.170734,0.264839,-0.142543,0.152255,0.165357,0.277103,-0.134168,-0.809946,-0.419764,0.274755,1.307331,0.706385,-0.133142,c-CS-m,cluster3
