@relation mice-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-R78-80-weka.filters.unsupervised.attribute.RandomSubset-N32.0-S40

@attribute NR1_N numeric
@attribute NR2A_N numeric
@attribute pCREB_N numeric
@attribute pERK_N numeric
@attribute pMEK_N numeric
@attribute pNR1_N numeric
@attribute pRSK_N numeric
@attribute CREB_N numeric
@attribute RSK_N numeric
@attribute APP_N numeric
@attribute SOD1_N numeric
@attribute P38_N numeric
@attribute pPKCG_N numeric
@attribute CDK5_N numeric
@attribute BAX_N numeric
@attribute ARC_N numeric
@attribute ERBB4_N numeric
@attribute nNOS_N numeric
@attribute GFAP_N numeric
@attribute GluR3_N numeric
@attribute IL1B_N numeric
@attribute P3525_N numeric
@attribute pCASP9_N numeric
@attribute Ubiquitin_N numeric
@attribute SHH_N numeric
@attribute BAD_N numeric
@attribute H3AcK18_N numeric
@attribute H3MeK4_N numeric
@attribute CaNA_N numeric
@attribute Genotype=Ts65Dn numeric
@attribute Treatment=Saline numeric
@attribute Behavior=S/C numeric
@attribute class {c-CS-m,c-SC-m,c-CS-s,c-SC-s,t-CS-m,t-SC-m,t-CS-s,t-SC-s}

@data
2.072572,3.661058,0.185283,0.46118,0.271235,0.76566,0.509832,0.196229,0.169674,0.418812,0.346848,0.352118,1.902902,0.298378,0.183802,0.094357,0.12817,0.149989,0.119717,0.235549,0.429404,0.250628,1.326708,0.94037,0.19077,0.168037,0.151816,0.193055,1.613548,0,0,0,c-CS-m
2.006871,3.466627,0.190224,0.447193,0.264429,0.743031,0.492344,0.19788,0.160581,0.36808,0.333922,0.334511,2.001656,0.306837,0.174119,0.098415,0.135557,0.160752,0.115448,0.236338,0.455051,0.249704,1.303052,0.911521,0.194819,0.166312,0.149988,0.195529,1.722971,0,0,0,c-CS-m
1.946201,3.349592,0.171028,0.471844,0.256018,0.723048,0.461168,0.199288,0.164748,0.366339,0.322378,0.373665,1.904006,0.279696,0.175276,0.097652,0.123757,0.15,0.126657,0.223481,0.395442,0.277624,1.251934,0.997238,0.203315,0.200276,0.16837,0.214088,1.426934,0,0,0,c-CS-m
1.958907,3.34929,0.179835,0.463249,0.262868,0.755348,0.485067,0.214573,0.164372,0.367295,0.33997,0.370684,1.972578,0.283786,0.174378,0.094642,0.142315,0.154409,0.123893,0.244832,0.415413,0.252004,1.288708,0.980875,0.190128,0.196034,0.178737,0.225285,1.50007,0,0,0,c-CS-m
1.861162,3.287123,0.176422,0.426987,0.279524,0.695831,0.465393,0.184021,0.158349,0.356541,0.326967,0.358595,1.959456,0.285817,0.173352,0.09914,0.130372,0.151862,0.118481,0.237249,0.434527,0.249284,1.251289,0.942407,0.19384,0.183954,0.160602,0.224212,1.613897,0,0,0,c-CS-m
2.735757,6.06757,0.194465,1.081555,0.299426,0.956131,0.387163,0.175622,0.168556,0.42161,0.387163,0.373767,0.942728,0.285391,0.192243,0.138655,0.129412,0.157919,0.136975,0.233549,0.355074,0.233484,1.127408,1.177893,0.178474,0.138526,0.129606,0.163995,1.29722,0,0,0,c-CS-m
2.546888,5.595574,0.174689,1.075934,0.250207,0.894467,0.367497,0.163071,0.158645,0.389627,0.362102,0.361411,0.963389,0.278738,0.191827,0.111362,0.134219,0.148638,0.136346,0.233821,0.373621,0.23515,1.13701,1.115681,0.17608,0.132093,0.11701,0.158206,1.363189,0,0,0,c-CS-m
2.467733,5.5484,0.171401,1.065637,0.243243,0.894374,0.388307,0.165609,0.154716,0.393547,0.353144,0.348731,0.975494,0.281005,0.186705,0.112036,0.139859,0.152383,0.133563,0.230233,0.388302,0.237544,1.147983,1.044476,0.174249,0.131126,0.111089,0.158543,1.404481,0,0,0,c-CS-m
2.563223,4.975196,0.190974,0.97762,0.264827,0.895188,0.406565,0.185379,0.171391,0.416822,0.398359,0.404513,0.956807,0.291245,0.188029,0.111507,0.137539,0.151053,0.130658,0.226414,0.363455,0.229647,1.148732,1.090532,0.195656,0.157685,0.15669,0.195739,1.170038,0,0,0,c-CS-m
2.164182,4.313938,0.161912,0.838574,0.230146,0.768558,0.388006,0.158185,0.150567,0.364344,0.327066,0.349919,0.978376,0.280446,0.18255,0.100578,0.126729,0.160842,0.142318,0.236191,0.364429,0.228648,1.102087,1.02087,0.188165,0.169139,0.126896,0.169977,1.272986,0,0,0,c-CS-m
2.285938,4.57118,0.174556,0.871389,0.248869,0.831361,0.403237,0.173512,0.156979,0.382005,0.364079,0.370867,1.000503,0.26114,0.182093,0.110682,0.133507,0.147185,0.131409,0.224889,0.386842,0.227994,1.102291,1.047243,0.179575,0.143492,0.11706,0.15994,1.279936,0,0,0,c-CS-m
2.437587,4.449231,0.182115,0.886353,0.321146,0.900792,0.421053,0.197019,0.187937,0.424779,0.403586,0.435491,0.954555,0.283256,0.19347,0.104897,0.13512,0.143614,0.130267,0.200419,0.367196,0.237481,1.116589,1.178138,0.194353,0.16788,0.148026,0.239907,1.178248,0,0,0,c-CS-m
2.308371,4.229412,0.176697,0.850452,0.279186,0.85,0.417647,0.184163,0.1819,0.411086,0.381448,0.426018,0.963339,0.28291,0.181726,0.112352,0.147772,0.150592,0.143937,0.215454,0.349126,0.236999,1.06238,1.118669,0.192329,0.1674,0.147208,0.197067,1.219966,0,0,0,c-CS-m
2.157728,4.020693,0.168074,0.822213,0.236909,0.794552,0.40435,0.166174,0.16723,0.378378,0.357897,0.383446,0.937749,0.280296,0.166851,0.103605,0.121296,0.1454,0.129478,0.216718,0.366431,0.231203,1.06004,0.979544,0.181889,0.155462,0.134454,0.183547,1.24613,0,0,0,c-CS-m
2.197868,3.558896,0.178191,0.711943,0.269199,0.822629,0.394643,0.192949,0.179557,0.376879,0.399836,0.478273,0.983055,0.269063,0.169172,0.104263,0.13296,0.144438,0.099754,0.193222,0.400793,0.245286,1.045778,1.154414,0.218912,0.193632,0.170812,0.233124,1.07748,0,0,0,c-CS-m
2.482137,4.109706,0.202023,0.839077,0.346506,0.934556,0.47202,0.241227,0.21878,0.460955,0.447992,0.559595,0.929039,0.260917,0.165939,0.09798,0.125546,0.14738,0.133324,0.192686,0.413892,0.255049,1.031386,1.068368,0.177129,0.222434,0.167849,0.206741,1.144378,0,0,0,c-CS-m
2.053415,3.381345,0.178049,0.733989,0.29232,0.774648,0.404996,0.193994,0.18363,0.395163,0.386925,0.458942,0.958333,0.251126,0.154279,0.110079,0.132461,0.149775,0.137528,0.204673,0.406109,0.244651,1.045327,1.027168,0.181869,0.179758,0.148226,0.243806,1.238457,0,0,0,c-CS-m
1.913403,2.873623,0.162485,0.685741,0.243268,0.732864,0.366585,0.188188,0.177173,0.365361,0.382803,0.456854,0.902032,0.239408,0.15593,0.075445,0.113719,0.106316,0.117341,0.16286,0.372815,0.245078,0.945818,1.103323,0.225862,0.196251,0.155773,0.267759,0.981414,0,0,0,c-CS-m
1.957016,2.978824,0.162137,0.686157,0.268015,0.765171,0.445006,0.191846,0.187737,0.389381,0.408344,0.509798,0.853694,0.225136,0.152542,0.091461,0.121202,0.136553,0.135593,0.179245,0.342501,0.233291,0.966421,1.030061,0.182283,0.173969,0.148705,0.217621,0.994404,0,0,0,c-CS-m
1.892166,2.847005,0.169892,0.695853,0.292473,0.727803,0.4,0.191091,0.185561,0.366513,0.36129,0.488479,0.890454,0.24431,0.146881,0.093172,0.125102,0.128377,0.128541,0.172589,0.38857,0.235467,1.020141,1.009989,0.174554,0.165875,0.143278,0.208286,1.030948,0,0,0,c-CS-m
2.930717,5.915039,0.232257,1.022813,0.245963,1.083177,0.361904,0.175836,0.168044,0.442922,0.358149,0.38359,0.605805,0.355595,0.202873,0.148773,0.185794,0.219754,0.119354,0.220791,0.571351,0.303668,1.788785,1.180117,0.211462,0.1274,0.121674,?,1.649983,0,0,0,c-CS-m
2.992689,5.975028,0.25902,1.053551,0.260634,1.122294,0.365742,0.180972,0.172902,0.462685,0.395367,0.394512,0.612683,0.350499,0.205746,0.14766,0.189226,0.211704,0.124939,0.21558,0.569082,0.320415,1.763879,1.066127,0.222265,0.134822,0.12678,?,1.638988,0,0,0,c-CS-m
3.073847,5.927379,0.258795,1.025842,0.259549,1.13515,0.379421,0.191738,0.170895,0.459964,0.383854,0.402339,0.603165,0.351726,0.208975,0.143169,0.182755,0.204102,0.120614,0.2009,0.537034,0.313997,1.672823,1.063393,0.227446,0.124327,0.122796,?,1.564925,0,0,0,c-CS-m
2.60678,5.808102,0.209154,0.906988,0.250643,0.95998,0.374128,0.175376,0.16583,0.406927,0.342431,0.392853,0.724477,0.341942,0.202583,0.140063,0.181998,0.206738,0.122611,0.207313,0.571438,0.292143,1.651346,1.291057,0.207185,0.145496,0.123122,?,1.682222,0,0,0,c-CS-m
2.757975,6.006657,0.218538,0.917357,0.270284,1.006154,0.378171,0.182115,0.1737,0.422381,0.360085,0.409194,0.7315,0.355993,0.209326,0.140775,0.183857,0.204004,0.131209,0.207108,0.559934,0.313862,1.629055,1.157121,0.213444,0.148315,0.133996,?,1.660352,0,0,0,c-CS-m
2.831169,6.368257,0.221029,0.917832,0.268856,1.049575,0.401848,0.203047,0.171329,0.43032,0.366883,0.417458,0.733626,0.354697,0.214369,0.138192,0.179515,0.199902,0.128731,0.196911,0.546969,0.318196,1.545321,1.186596,0.222426,0.136727,0.136727,?,1.610816,0,0,0,c-CS-m
2.456261,5.191732,0.190833,0.79988,0.253895,0.876123,0.366087,0.174206,0.16462,0.393499,0.340024,0.408778,0.776268,0.351332,0.200109,0.132069,0.173659,0.194819,0.135626,0.203302,0.547154,0.303265,1.566399,1.26286,0.220722,0.158975,0.134258,?,1.727381,0,0,0,c-CS-m
2.573126,5.495063,0.200401,0.819963,0.263499,0.923789,0.388152,0.185128,0.166615,0.415304,0.350201,0.423943,0.740359,0.342523,0.207206,0.13331,0.167772,0.186093,0.145612,0.189845,0.507154,0.320799,1.496859,1.269499,0.206508,0.169342,0.143169,?,1.650846,0,0,0,c-CS-m
2.667701,5.987583,0.195406,0.839671,0.276579,0.978892,0.409592,0.220549,0.173056,0.413162,0.375757,0.444358,0.74835,0.34679,0.209651,0.127625,0.18848,0.186423,0.126168,0.187537,0.488129,0.312677,1.475358,1.214451,0.217879,0.161053,0.143482,?,1.555327,0,0,0,c-CS-m
2.50305,4.947198,0.208921,0.787266,0.284217,0.893824,0.399161,0.193671,0.19024,0.417461,0.356081,0.461304,0.785731,0.343135,0.202085,0.135075,0.175726,0.197282,0.144564,0.183224,0.54686,0.313379,1.499297,1.380975,0.223524,0.172446,0.144681,?,1.655576,0,0,0,c-CS-m
2.545403,5.101001,0.20842,0.781952,0.28771,0.919388,0.406456,0.198603,0.184822,0.425901,0.391165,0.457429,0.815753,0.360051,0.215244,0.126186,0.185288,0.198589,0.144923,0.188989,0.546611,0.330326,1.495952,1.489128,0.21987,0.1935,0.162156,?,1.681703,0,0,0,c-CS-m
2.624646,5.60121,0.208278,0.79588,0.298998,0.960121,0.428841,0.207144,0.183519,0.425817,0.399735,0.475146,0.780727,0.338656,0.219273,0.129846,0.185352,0.190969,0.137555,0.17489,0.493722,0.331057,1.406388,1.37533,0.225881,0.176872,0.160683,?,1.585793,0,0,0,c-CS-m
2.39289,4.5,0.220602,0.731085,0.283273,0.871468,0.402233,0.19804,0.197356,0.38423,0.353692,0.434366,0.785833,0.325186,0.188208,0.129798,0.168462,0.187932,0.132284,0.177023,0.555233,0.308478,1.456366,1.352113,0.223419,0.187793,0.149682,?,1.615576,0,0,0,c-CS-m
2.472661,4.652025,0.244566,0.760467,0.308396,0.896134,0.416152,0.215283,0.196065,0.382292,0.37337,0.455731,0.778746,0.32096,0.187215,0.113106,0.163361,0.180649,0.122085,0.170196,0.508979,0.333557,1.394398,1.426159,0.220316,0.171536,0.157867,?,1.561914,0,0,0,c-CS-m
2.538809,5.008123,0.199233,0.756543,0.310244,0.925993,0.440884,0.216832,0.189305,0.420126,0.379738,0.472924,0.775163,0.324183,0.197255,0.114379,0.165621,0.173725,0.132549,0.155686,0.496732,0.331634,1.357647,1.357386,0.212157,0.180654,0.168497,?,1.530458,0,0,0,c-CS-m
2.933516,6.317279,0.198354,0.832474,0.245091,1.051563,0.348766,0.160395,0.151728,0.414811,0.337356,0.391772,0.900372,0.349267,0.205741,0.149351,0.200216,0.206882,0.130555,0.237149,0.606834,0.311554,1.926976,1.244535,0.219493,?,0.120166,?,1.680399,0,0,0,c-CS-m
2.919243,6.306811,0.205081,0.843351,0.238811,1.074595,0.351243,0.161514,0.148757,0.41373,0.337622,0.391243,0.8745,0.354011,0.215091,0.143155,0.197495,0.212288,0.133075,0.23895,0.617835,0.334685,1.891739,1.251297,0.229049,?,0.125857,?,1.720907,0,0,0,c-CS-m
2.925818,6.76615,0.210594,0.832687,0.253122,1.115095,0.375108,0.170866,0.150409,0.421189,0.351852,0.40407,0.848373,0.353776,0.208415,0.140878,0.196287,0.206288,0.127371,0.224106,0.573514,0.307794,1.782504,1.16864,0.229797,?,0.12283,?,1.645764,0,0,0,c-CS-m
2.915585,5.917957,0.190038,0.719967,0.255616,1.015767,0.398214,0.164225,0.163667,0.408121,0.329427,0.410353,0.925127,0.337359,0.199533,0.151928,0.189871,0.212855,0.132606,0.240514,0.598987,0.309155,1.745695,1.3224,0.216362,?,0.131515,?,1.69926,0,0,0,c-CS-m
2.913558,6.066537,0.198497,0.729955,0.260997,1.043847,0.372355,0.173719,0.153814,0.415089,0.339644,0.424276,0.910765,0.351876,0.212077,0.148776,0.196808,0.211003,0.140566,0.185836,0.587509,0.316274,1.718561,1.22842,0.228727,?,0.135195,?,1.705363,0,0,0,c-CS-m
2.904392,6.318467,0.197081,0.711811,0.262957,1.058238,0.39389,0.180715,0.153437,0.413121,0.3482,0.424032,0.935245,0.362735,0.214918,0.154021,0.199183,0.214615,0.128376,0.204251,0.558439,0.329526,1.679174,1.227929,0.23436,?,0.137983,?,1.682427,0,0,0,c-CS-m
2.635162,5.307963,0.183506,0.643861,0.256775,0.940616,0.383908,0.177484,0.159418,0.382235,0.319839,0.385748,0.950365,0.341756,0.19205,0.103565,0.183861,0.205033,0.140817,0.242884,0.568661,0.3074,1.58424,1.347249,0.216818,?,0.147908,?,1.653051,0,0,0,c-CS-m
2.731909,5.468987,0.193143,0.630427,0.266885,0.995865,0.403687,0.185562,0.17867,0.408511,0.339593,0.437802,0.921593,0.348033,0.198197,0.143439,0.189572,0.204497,0.14276,0.226788,0.540027,0.342799,1.52423,1.31353,0.226788,?,0.153906,?,1.653809,0,0,0,c-CS-m
2.732637,5.787256,0.190829,0.63031,0.280681,1.011463,0.411497,0.195718,0.163183,0.404585,0.340357,0.444032,0.953796,0.358831,0.20517,0.146426,0.193113,0.202855,0.145076,0.204013,0.523199,0.362207,1.507283,1.305296,0.23787,?,0.155108,?,1.607119,0,0,0,c-CS-m
2.467655,4.32053,0.206199,0.619721,0.272013,0.905211,0.404537,0.18823,0.189578,0.426101,0.347484,0.394429,0.894362,0.315859,0.184867,0.122541,0.165984,0.172323,0.122937,0.20309,0.56477,0.306087,1.434174,1.413707,0.248647,?,0.152119,?,1.739865,0,0,0,c-CS-m
2.488231,4.260928,0.204663,0.599193,0.27236,0.889262,0.413584,0.196144,0.201524,0.404842,0.343197,0.398565,0.907427,0.327495,0.180406,0.128127,0.182776,0.174612,0.13853,0.207137,0.553858,0.324993,1.445088,1.437056,0.262049,?,0.159205,?,1.718462,0,0,0,c-CS-m
2.485155,4.482296,0.196613,0.585881,0.270288,0.88278,0.396745,0.193534,0.172201,0.372773,0.337585,0.424896,0.909524,0.345609,0.18519,0.126507,0.181084,0.171678,0.133925,0.215128,0.543781,0.357928,1.408134,1.36985,0.260564,?,0.170884,?,1.690158,0,0,0,c-CS-m
2.37154,4.051175,0.204961,0.551175,0.27859,0.86658,0.425849,0.212272,0.20235,0.365535,0.35248,0.42376,0.940807,0.32209,0.16832,0.131944,0.19709,0.174934,0.135582,0.215774,0.638558,0.353505,1.667989,1.51207,0.260582,?,0.18039,?,1.730159,0,0,0,c-CS-m
2.441947,4.036498,0.206559,0.617297,0.291722,0.889183,0.426607,0.207353,0.19598,0.355462,0.340651,0.389051,0.905742,0.32572,0.160688,0.131253,0.172913,0.168409,0.134309,0.193502,0.637767,0.327007,1.588065,1.473219,0.25559,?,0.18369,?,1.633585,0,0,0,c-CS-m
2.429726,4.066493,0.200522,0.583833,0.302477,0.871447,0.419035,0.201565,0.197132,0.352542,0.349413,0.395046,0.888319,0.331998,0.157827,0.129627,0.18074,0.182663,0.13187,0.19452,0.60391,0.366768,1.59702,1.40282,0.245153,?,0.181381,?,1.613043,0,0,0,c-CS-m
2.220944,4.887097,0.179554,0.643145,0.251898,0.845588,0.324597,0.144568,0.136385,0.372154,0.293643,0.337405,0.892726,0.337366,0.197023,0.138143,0.173852,0.180232,0.127365,0.261329,0.719167,0.289779,2.068558,1.273427,0.239625,?,?,?,1.817862,0,0,0,c-CS-m
2.376732,5.211334,0.18924,0.674448,0.241168,0.885657,0.333666,0.152415,0.139059,0.392086,0.314567,0.355511,0.876159,0.323476,0.194451,0.136911,0.172691,0.178021,0.127127,0.266448,0.697043,0.317196,2.050894,1.215991,0.232932,?,?,?,1.769405,0,0,0,c-CS-m
2.356046,5.32622,0.18158,0.663297,0.242731,0.902284,0.342693,0.157494,0.141021,0.391364,0.319231,0.36029,0.874314,0.367239,0.20257,0.13471,0.174126,0.172755,0.123881,0.247257,0.686977,0.300751,1.978559,1.274978,0.238161,?,?,?,1.723145,0,0,0,c-CS-m
2.177809,4.799273,0.183657,0.607555,0.240872,0.812707,0.370318,0.159159,0.149202,0.406828,0.314683,0.429429,0.861658,0.315264,0.178865,0.137724,0.16677,0.1786,0.124216,0.238457,0.664607,0.290721,1.871811,1.290103,0.227421,?,?,?,1.68297,0,0,0,c-CS-m
2.177785,4.582756,0.175739,0.597388,0.248269,0.835431,0.362807,0.15922,0.140655,0.391126,0.313877,0.389868,0.860125,0.323394,0.193548,0.142315,0.176109,0.185687,0.131743,0.251378,0.720972,0.311738,1.894461,1.339026,0.238547,?,?,?,1.753592,0,0,0,c-CS-m
2.25258,4.806477,0.180346,0.588347,0.25131,0.834101,0.368154,0.157485,0.143674,0.384188,0.322591,0.394983,0.871439,0.3317,0.198512,0.139539,0.173562,0.188986,0.134549,0.268463,0.664217,0.322355,1.896026,1.295954,0.240519,?,?,?,1.724097,0,0,0,c-CS-m
2.069809,4.102347,0.183396,0.545849,0.257346,0.778347,0.375666,0.168803,0.157957,0.381187,0.318675,0.395188,0.82817,0.317438,0.174034,0.133658,0.155586,0.169161,0.122056,0.245156,0.637429,0.310593,1.730363,1.334726,0.228565,?,?,?,1.626291,0,0,0,c-CS-m
2.062867,4.128476,0.180964,0.511947,0.253427,0.787701,0.376812,0.193498,0.157854,0.375637,0.318449,0.408931,0.859593,0.319967,0.194582,0.139106,0.17613,0.178614,0.125621,0.244145,0.66158,0.316182,1.751715,1.307547,0.234564,?,?,?,1.614975,0,0,0,c-CS-m
2.05054,4.150656,0.175154,0.509259,0.257137,0.763696,0.377508,0.171103,0.150849,0.367863,0.323302,0.421682,0.883301,0.326684,0.184663,0.139154,0.175346,0.17021,0.126851,0.246536,0.659818,0.329431,1.750478,1.286073,0.242355,?,?,?,1.586359,0,0,0,c-CS-m
1.98317,3.674147,0.184432,0.528518,0.269518,0.736793,0.384292,0.176952,0.179757,0.384525,0.316503,0.469612,0.830523,0.319878,0.16768,0.140586,0.156069,0.165745,0.132845,0.247581,0.62303,0.303014,1.614736,1.348355,0.227398,?,?,?,1.538291,0,0,0,c-CS-m
1.954953,3.619628,0.176281,0.503333,0.257872,0.730177,0.372098,0.17789,0.163641,0.378764,0.323834,0.451161,0.871719,0.315088,0.165474,0.140772,0.154246,0.170246,0.135719,0.255579,0.635228,0.315228,1.635509,1.335298,0.246316,?,?,?,1.577965,0,0,0,c-CS-m
1.995558,3.788637,0.175123,0.498714,0.255553,0.744447,0.387421,0.179565,0.160627,0.385317,0.325929,0.516016,0.854394,0.314419,0.171501,0.14221,0.172916,0.184095,0.130466,0.249611,0.636621,0.321919,1.643838,1.313004,0.241687,?,?,?,1.547757,0,0,0,c-CS-m
1.966538,3.4375,0.192478,0.522954,0.287887,0.747788,0.403208,0.190265,0.17865,0.396294,0.340431,0.523783,0.821634,0.337833,0.12707,0.145248,0.143988,0.156407,0.12563,0.24856,0.602052,0.308315,1.468503,1.362491,0.24478,?,?,?,1.392009,0,0,0,c-CS-m
2.018565,3.457384,0.192124,0.517018,0.281013,0.764838,0.41294,0.195499,0.175246,0.409845,0.361181,0.559494,0.873636,0.317818,0.163273,0.136364,0.167273,0.164727,0.136182,0.282182,0.650182,0.334364,1.497818,1.381091,0.251273,?,?,?,1.379273,0,0,0,c-CS-m
2.011068,3.499723,0.18456,0.492529,0.259823,0.748201,0.405921,0.180963,0.178196,0.441616,0.355838,0.534864,0.884313,0.311184,0.147904,0.139118,0.175178,0.177558,0.155775,0.262127,0.638843,0.360974,1.501373,1.308805,0.258283,?,?,?,1.374519,0,0,0,c-CS-m
2.921435,5.167979,0.239283,0.969466,0.255293,1.056343,0.426859,0.167629,0.165179,0.441557,0.340857,0.40105,1.862368,0.321175,0.196124,0.132001,0.16112,0.210988,0.128145,0.292461,0.527242,0.348062,1.687551,1.139154,0.239752,0.139052,0.125152,0.143517,1.627181,0,0,0,c-CS-m
2.862575,5.194163,0.22103,0.991845,0.270815,1.03279,0.409185,0.166695,0.162661,0.437253,0.337682,0.402318,1.692204,0.320473,0.193348,0.139008,0.161529,0.210798,0.134583,0.291489,0.519787,0.365119,1.662872,1.227851,0.249031,0.133787,0.112857,0.145719,1.562096,0,0,0,c-CS-m
2.968155,5.35082,0.2223,0.989999,0.263795,1.092289,0.454075,0.172559,0.165278,0.44346,0.342398,0.410913,1.65484,0.317856,0.192238,0.134804,0.181034,0.202534,0.129555,0.270062,0.506309,0.349753,1.716362,1.226103,0.247956,0.142324,0.116433,0.142879,1.571868,0,0,0,c-CS-m
2.624901,4.727509,0.194153,0.819167,0.241562,0.948414,0.484818,0.161982,0.150581,0.407608,0.312112,0.39474,2.027937,0.299825,0.176977,0.118982,0.163632,0.195311,0.119356,0.276939,0.526503,0.3166,1.586368,1.056498,0.233225,0.133637,0.102831,0.141681,1.646608,0,0,0,c-CS-m
2.634509,4.735602,0.194297,0.815057,0.254142,0.95537,0.476502,0.1606,0.149555,0.41136,0.309478,0.393666,1.969799,0.303008,0.188106,0.128635,0.167972,0.196992,0.128635,0.283371,0.542568,0.340355,1.61919,1.132737,0.244469,0.133358,0.110614,0.146408,1.607631,0,0,0,c-CS-m
2.598085,4.76464,0.193053,0.836451,0.273436,0.945335,0.471833,0.158985,0.143955,0.409374,0.304721,0.4165,1.960879,0.309737,0.191381,0.127919,0.177968,0.188462,0.125062,0.271113,0.553775,0.332774,1.674242,1.176354,0.247516,0.135867,0.114257,0.142139,1.50652,0,0,0,c-CS-m
2.439781,4.256596,0.190021,0.719481,0.232809,0.87095,0.485031,0.156118,0.143267,0.379357,0.296924,0.394805,1.998196,0.273428,0.164549,0.113798,0.15594,0.182258,0.115766,0.267771,0.526687,0.306305,1.474051,1.115438,0.223662,0.149873,0.115848,0.150857,1.541363,0,0,0,c-CS-m
