@relation mice-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-R78-80-weka.filters.unsupervised.attribute.RandomSubset-N32.0-S20

@attribute ITSN1_N numeric
@attribute NR2A_N numeric
@attribute pAKT_N numeric
@attribute pCAMKII_N numeric
@attribute pCREB_N numeric
@attribute pELK_N numeric
@attribute pMEK_N numeric
@attribute pNR1_N numeric
@attribute pNR2A_N numeric
@attribute AKT_N numeric
@attribute CREB_N numeric
@attribute SOD1_N numeric
@attribute pNUMB_N numeric
@attribute pP70S6_N numeric
@attribute P70S6_N numeric
@attribute pPKCG_N numeric
@attribute S6_N numeric
@attribute ADARB1_N numeric
@attribute RRP1_N numeric
@attribute ERBB4_N numeric
@attribute GluR3_N numeric
@attribute GluR4_N numeric
@attribute pCASP9_N numeric
@attribute PSD95_N numeric
@attribute SNCA_N numeric
@attribute pGSK3B_Tyr216_N numeric
@attribute SHH_N numeric
@attribute BCL2_N numeric
@attribute pS6_N numeric
@attribute EGR1_N numeric
@attribute Genotype=Ts65Dn numeric
@attribute Behavior=S/C numeric
@attribute class {c-CS-m,c-SC-m,c-CS-s,c-SC-s,t-CS-m,t-SC-m,t-CS-s,t-SC-s}

@data
0.513278,3.661058,0.229475,1.724508,0.185283,1.31867,0.271235,0.76566,0.449422,0.547537,0.196229,0.346848,0.341374,0.513278,0.662097,1.902902,0.275417,0.899018,0.169979,0.12817,0.235549,0.13411,1.326708,1.861549,0.126799,0.842472,0.19077,?,0.094357,0.184601,0,0,c-CS-m
0.499411,3.466627,0.216333,1.672556,0.190224,1.166078,0.264429,0.743031,0.443856,0.549863,0.19788,0.333922,0.330978,0.50157,0.675065,2.001656,0.28732,0.967708,0.155548,0.135557,0.236338,0.141117,1.303052,1.913532,0.124202,0.836172,0.194819,?,0.098415,0.191862,0,0,c-CS-m
0.482102,3.349592,0.230898,1.508687,0.171028,1.35336,0.256018,0.723048,0.417417,0.494871,0.199288,0.322378,0.325937,0.464099,0.589503,1.904006,0.24489,0.944061,0.176381,0.123757,0.223481,0.141989,1.251934,1.760635,0.160773,0.809807,0.203315,?,0.097652,0.236878,0,0,c-CS-m
0.485914,3.34929,0.2258,1.509002,0.179835,1.219657,0.262868,0.755348,0.418979,0.524465,0.214573,0.33997,0.329379,0.462826,0.611166,1.972578,0.254957,0.929546,0.172971,0.142315,0.244832,0.136127,1.288708,1.792434,0.131346,0.832794,0.190128,?,0.094642,0.215581,0,0,c-CS-m
0.462313,3.287123,0.221811,1.444239,0.176422,1.123023,0.279524,0.695831,0.410557,0.510166,0.184021,0.326967,0.309715,0.45841,0.626361,1.959456,0.269771,0.903582,0.163181,0.130372,0.237249,0.136963,1.251289,1.764756,0.125501,0.80616,0.19384,?,0.09914,0.227937,0,0,c-CS-m
0.862653,6.06757,0.219049,2.277492,0.194465,2.379508,0.299426,0.956131,0.790961,0.85647,0.175622,0.387163,0.523333,0.225085,0.908533,0.942728,0.294118,1.347123,0.226244,0.129412,0.233549,0.132579,1.127408,1.683323,0.13788,0.674984,0.178474,0.178604,0.138655,0.165288,0,0,c-CS-m
0.807054,5.595574,0.19917,2.118811,0.174689,2.050484,0.250207,0.894467,0.727524,0.810512,0.163071,0.362102,0.474965,0.216459,0.893488,0.963389,0.380731,1.150631,0.212957,0.134219,0.233821,0.129568,1.13701,1.693821,0.128837,0.684252,0.17608,0.143588,0.111362,0.162857,0,0,c-CS-m
0.802537,5.5484,0.205323,2.107281,0.171401,1.938913,0.243243,0.894374,0.742554,0.812328,0.165609,0.353144,0.457253,0.193188,0.88573,0.975494,0.400961,1.176618,0.183861,0.139859,0.230233,0.129637,1.147983,1.791836,0.136339,0.713851,0.174249,0.132887,0.112036,0.157731,0,0,c-CS-m
0.770235,4.975196,0.228087,2.259045,0.190974,2.167848,0.264827,0.895188,0.730511,0.784222,0.185379,0.398359,0.497762,0.232935,0.8904,0.956807,0.283038,1.188029,0.229896,0.137539,0.226414,0.11872,1.148732,1.636213,0.149975,0.679241,0.195656,0.182391,0.111507,0.180153,0,0,c-CS-m
0.678768,4.313938,0.195786,1.975689,0.161912,1.76872,0.230146,0.768558,0.613614,0.672447,0.158185,0.327066,0.427391,0.204862,0.859442,0.978376,0.35303,1.092616,0.205264,0.126729,0.236191,0.126813,1.102087,1.657028,0.144162,0.685693,0.188165,0.163775,0.100578,0.172995,0,0,c-CS-m
0.716672,4.57118,0.206927,2.127045,0.174556,1.767316,0.248869,0.831361,0.667943,0.717021,0.173512,0.364079,0.432823,0.213714,0.857766,1.000503,0.36234,1.113535,0.188806,0.133507,0.224889,0.123269,1.102291,1.652261,0.132835,0.702526,0.179575,0.143073,0.110682,0.171352,0,0,c-CS-m
0.699581,4.449231,0.2585,2.091057,0.182115,2.171402,0.321146,0.900792,0.692594,0.772706,0.197019,0.403586,0.505822,0.28109,0.804103,0.954555,0.243437,1.105559,0.223472,0.13512,0.200419,0.107876,1.116589,1.562762,0.153541,0.679021,0.194353,0.202294,0.104897,0.215089,0,0,c-CS-m
0.690271,4.229412,0.221493,2.045475,0.176697,1.922172,0.279186,0.85,0.654751,0.743439,0.184163,0.381448,0.484163,0.255204,0.768528,0.963339,0.323068,0.988832,0.213988,0.147772,0.215454,0.110434,1.06238,1.611957,0.150592,0.691483,0.192329,0.178342,0.112352,0.234179,0,0,c-CS-m
0.641892,4.020693,0.216427,1.940878,0.168074,1.728041,0.236909,0.794552,0.615498,0.685389,0.166174,0.357897,0.42103,0.228674,0.717713,0.937749,0.31203,0.98253,0.186533,0.121296,0.216718,0.118863,1.06004,1.582707,0.142525,0.683989,0.181889,0.160438,0.103605,0.18985,0,0,c-CS-m
0.561356,3.558896,0.23777,1.783821,0.178191,1.831375,0.269199,0.822629,0.614649,0.660836,0.192949,0.399836,0.491118,0.31894,0.7871,0.983055,0.251571,1.017628,0.249932,0.13296,0.193222,0.102897,1.045778,1.574884,0.166029,0.677234,0.218912,0.198961,0.104263,0.228614,0,0,c-CS-m
0.701865,4.109706,0.288018,2.082833,0.202023,1.965223,0.346506,0.934556,0.69902,0.742333,0.241227,0.447992,0.562441,0.392033,0.746725,0.929039,0.291212,0.895469,0.198826,0.125546,0.192686,0.105759,1.031386,1.554312,0.165393,0.657069,0.177129,0.170033,0.09798,0.216976,0,0,c-CS-m
0.583045,3.381345,0.251661,1.800957,0.178049,1.517672,0.29232,0.774648,0.588095,0.60962,0.193994,0.386925,0.45097,0.300292,0.740991,0.958333,0.313908,0.926239,0.191723,0.132461,0.204673,0.104448,1.045327,1.584882,0.157658,0.688345,0.181869,0.168637,0.110079,0.269003,0,0,c-CS-m
0.540086,2.873623,0.215422,1.414933,0.162485,1.689412,0.243268,0.732864,0.551714,0.593329,0.188188,0.382803,0.48011,0.330171,0.704835,0.902032,0.170106,0.711608,0.211529,0.113719,0.16286,0.090723,0.945818,1.402583,0.172468,0.620413,0.225862,0.198299,0.075445,0.222555,0,0,c-CS-m
0.564791,2.978824,0.250632,1.487358,0.162137,1.678571,0.268015,0.765171,0.555942,0.616941,0.191846,0.408344,0.474399,0.340392,0.684522,0.853694,0.232651,0.699712,0.204349,0.121202,0.179245,0.099456,0.966421,1.403902,0.179725,0.619923,0.182283,0.161657,0.091461,0.215222,0,0,c-CS-m
0.556375,2.847005,0.223041,1.462366,0.169892,1.537942,0.292473,0.727803,0.532412,0.568971,0.191091,0.36129,0.459293,0.326882,0.626822,0.890454,0.239234,0.770755,0.199116,0.125102,0.172589,0.101195,1.020141,1.424922,0.159325,0.640413,0.174554,0.151302,0.093172,0.218929,0,0,c-CS-m
0.954187,5.915039,0.197897,1.765115,0.232257,1.808111,0.245963,1.083177,1.008637,1.028539,0.175836,0.358149,0.488265,0.214514,1.223802,0.605805,0.676687,1.951281,0.150501,0.185794,0.220791,0.124735,1.788785,2.221383,0.148823,0.833704,0.211462,0.120835,0.148773,0.158103,0,0,c-CS-m
0.962021,5.975028,0.20281,1.807824,0.25902,1.960691,0.260634,1.122294,1.041018,1.042822,0.180972,0.395367,0.506551,0.234523,1.216307,0.612683,0.637341,2.060217,0.158657,0.189226,0.21558,0.121597,1.763879,2.215774,0.162581,0.838388,0.222265,0.130462,0.14766,0.163405,0,0,c-CS-m
0.967179,5.927379,0.205131,1.783552,0.258795,2.147883,0.259549,1.13515,1.056588,1.058568,0.191738,0.383854,0.53947,0.235216,1.200436,0.603165,0.59031,2.21111,0.168043,0.182755,0.2009,0.124838,1.672823,2.098199,0.166326,0.806386,0.227446,0.118851,0.143169,0.160293,0,0,c-CS-m
0.812018,5.808102,0.218211,2.312324,0.209154,1.733692,0.250643,0.95998,0.862196,0.939909,0.175376,0.342431,0.467752,0.202056,1.151953,0.724477,0.59899,1.787828,0.156875,0.181998,0.207313,0.117113,1.651346,2.207185,0.148373,0.844211,0.207185,0.116218,0.140063,0.156108,0,0,c-CS-m
0.863728,6.006657,0.223688,2.375283,0.218538,1.843255,0.270284,1.006154,0.897262,0.979277,0.182115,0.360085,0.496232,0.217031,1.149328,0.7315,0.57685,1.919602,0.166624,0.183857,0.207108,0.114546,1.629055,2.212114,0.165104,0.854093,0.213444,0.142739,0.140775,0.180373,0,0,c-CS-m
0.861763,6.368257,0.233017,2.406219,0.221029,1.991009,0.268856,1.049575,0.933317,1.000874,0.203047,0.366883,0.529221,0.231768,1.118904,0.733626,0.529756,2.113593,0.17506,0.179515,0.196911,0.118599,1.545321,2.085821,0.17158,0.825307,0.222426,0.135323,0.138192,0.176219,0,0,c-CS-m
0.72109,5.191732,0.229179,2.481426,0.190833,1.641252,0.253895,0.876123,0.752846,0.841821,0.174206,0.340024,0.460156,0.192481,1.084002,0.776268,0.577618,1.639548,0.176031,0.173659,0.203302,0.116381,1.566399,2.257023,0.141281,0.867202,0.220722,0.121397,0.132069,0.162167,0,0,c-CS-m
0.748072,5.495063,0.237427,2.549676,0.200401,1.714594,0.263499,0.923789,0.802993,0.89278,0.185128,0.350201,0.491978,0.210892,1.026522,0.740359,0.520852,1.720642,0.174577,0.167772,0.189845,0.11019,1.496859,2.188536,0.160181,0.848107,0.206508,0.124847,0.13331,0.195167,0,0,c-CS-m
0.773863,5.987583,0.246624,2.603446,0.195406,1.874127,0.276579,0.978892,0.842309,0.916188,0.220549,0.375757,0.529412,0.217911,1.070798,0.74835,0.485215,1.952687,0.195766,0.18848,0.187537,0.113825,1.475358,2.128739,0.167824,0.824548,0.217879,0.13611,0.127625,0.189766,0,0,c-CS-m
0.736371,4.947198,0.266489,2.749142,0.208921,1.712162,0.284217,0.893824,0.759055,0.845215,0.193671,0.356081,0.479604,0.21178,0.98395,0.785731,0.551078,1.508669,0.175843,0.175726,0.183224,0.108247,1.499297,2.216378,0.160614,0.915417,0.223524,0.146439,0.135075,0.178538,0,0,c-CS-m
0.735699,5.101001,0.257127,2.746838,0.20842,1.771191,0.28771,0.919388,0.770247,0.883519,0.198603,0.391165,0.492921,0.212573,0.995374,0.815753,0.524751,1.643882,0.186213,0.185288,0.188989,0.107217,1.495952,2.188295,0.17083,0.904811,0.21987,0.146773,0.126186,0.214319,0,0,c-CS-m
0.737479,5.60121,0.259119,2.75808,0.208278,1.864109,0.298998,0.960121,0.812134,0.889624,0.207144,0.399735,0.524854,0.216594,0.990308,0.780727,0.442952,1.828414,0.195154,0.185352,0.17489,0.102313,1.406388,2.081278,0.166189,0.867841,0.225881,0.162775,0.129846,0.213326,0,0,c-CS-m
0.685278,4.5,0.278715,2.586144,0.220602,1.611896,0.283273,0.871468,0.710119,0.80515,0.19804,0.353692,0.477666,0.189836,0.934825,0.785833,0.52955,1.381386,0.171776,0.168462,0.177023,0.098315,1.456366,2.09873,0.163767,0.923778,0.223419,0.160729,0.129798,0.203535,0,0,c-CS-m
0.697323,4.652025,0.278197,2.592542,0.244566,1.758179,0.308396,0.896134,0.74102,0.842599,0.215283,0.37337,0.489133,0.209792,0.951756,0.778746,0.48298,1.43487,0.179174,0.163361,0.170196,0.099303,1.394398,2.066604,0.185875,0.883945,0.220316,0.155856,0.113106,0.219914,0,0,c-CS-m
0.684116,5.008123,0.287229,2.57694,0.199233,1.799188,0.310244,0.925993,0.75361,0.861688,0.216832,0.379738,0.527076,0.197879,0.934902,0.775163,0.442745,1.701699,0.197908,0.165621,0.155686,0.099346,1.357647,2.011242,0.185621,0.858431,0.212157,0.158693,0.114379,0.233856,0,0,c-CS-m
0.763028,6.317279,0.19232,1.892485,0.198354,1.730444,0.245091,1.051563,0.864399,0.948546,0.160395,0.337356,0.478552,0.183105,1.327949,0.900372,0.53411,2.1813,0.17025,0.200216,0.237149,0.137581,1.926976,2.495856,0.156618,0.926796,0.219493,0.133978,0.149351,0.17025,0,0,c-CS-m
0.749622,6.306811,0.192541,1.854378,0.205081,1.746595,0.238811,1.074595,0.887351,0.950811,0.161514,0.337622,0.478595,0.187459,1.365404,0.8745,0.521086,2.28649,0.166955,0.197495,0.23895,0.139815,1.891739,2.571488,0.16612,0.933373,0.229049,0.142559,0.143155,0.187772,0,0,c-CS-m
0.770026,6.76615,0.201012,1.832041,0.210594,1.869186,0.253122,1.115095,0.910422,0.981697,0.170866,0.351852,0.50786,0.199612,1.316416,0.848373,0.519772,2.53989,0.17548,0.196287,0.224106,0.1422,1.782504,2.384584,0.1618,0.89516,0.229797,0.146339,0.140878,0.182205,0,0,c-CS-m
0.695549,5.917957,0.226734,2.663039,0.190038,1.535091,0.255616,1.015767,0.796847,0.8581,0.164225,0.329427,0.471885,0.182364,1.193611,0.925127,0.503779,1.813167,0.163537,0.189871,0.240514,0.135411,1.745695,2.579899,0.167199,0.916245,0.216362,0.126451,0.151928,0.188391,0,0,c-CS-m
0.68917,6.066537,0.221882,2.652561,0.198497,1.66495,0.260997,1.043847,0.820017,0.886553,0.173719,0.339644,0.486219,0.182489,1.231489,0.910765,0.498811,1.937083,0.173406,0.196808,0.185836,0.133661,1.718561,2.520525,0.182076,0.922121,0.228727,0.147549,0.148776,0.193816,0,0,c-CS-m
0.703492,6.318467,0.216858,2.652073,0.197081,1.810147,0.262957,1.058238,0.834834,0.898936,0.180715,0.3482,0.507092,0.180715,1.229821,0.935245,0.514411,2.231334,0.19124,0.199183,0.204251,0.138135,1.679174,2.463348,0.185491,0.905061,0.23436,0.164687,0.154021,0.208034,0,0,c-CS-m
0.622951,5.307963,0.228839,2.724323,0.183506,1.436434,0.256775,0.940616,0.694547,0.800435,0.177484,0.319839,0.446638,0.171462,1.060022,0.950365,0.472586,1.628383,0.18426,0.183861,0.242884,0.132028,1.58424,2.450315,0.17657,0.875162,0.216818,0.155897,0.103565,0.241087,0,0,c-CS-m
0.64042,5.468987,0.232254,2.779118,0.193143,1.550999,0.266885,0.995865,0.742074,0.835803,0.185562,0.339593,0.477085,0.179187,1.008529,0.921593,0.482942,1.799477,0.181624,0.189572,0.226788,0.127738,1.52423,2.407928,0.189184,0.846191,0.226788,0.160787,0.143439,0.230277,0,0,c-CS-m
0.640762,5.787256,0.243257,2.754552,0.190829,1.694032,0.280681,1.011463,0.771915,0.847775,0.195718,0.340357,0.496797,0.181558,1.075528,0.953796,0.507669,2.126845,0.204591,0.193113,0.204013,0.13707,1.507283,2.390856,0.19128,0.84904,0.23787,0.172663,0.146426,0.235459,0,0,c-CS-m
0.583783,4.32053,0.250449,2.618598,0.206199,1.343217,0.272013,0.905211,0.676774,0.751348,0.18823,0.347484,0.442722,0.172282,0.826753,0.894362,0.548396,1.650865,0.162551,0.165984,0.20309,0.090717,1.434174,2.397069,0.149214,0.987587,0.248647,0.160967,0.122541,0.205071,0,0,c-CS-m
0.596951,4.260928,0.251289,2.672047,0.204663,1.303071,0.27236,0.889262,0.674288,0.73683,0.196144,0.343197,0.445416,0.180453,0.843824,0.907427,0.549644,1.643271,0.162628,0.182776,0.207137,0.10561,1.445088,2.384382,0.161443,0.961285,0.262049,0.163418,0.128127,0.21438,0,0,c-CS-m
0.577084,4.482296,0.248955,2.644381,0.196613,1.300418,0.270288,0.88278,0.680888,0.73609,0.193534,0.337585,0.447328,0.17704,0.880646,0.909524,0.546165,1.648033,0.167704,0.181084,0.215128,0.096569,1.408134,2.325606,0.17552,0.956286,0.260564,0.16638,0.126507,0.239502,0,0,c-CS-m
0.590862,4.051175,0.248042,2.548564,0.204961,1.390339,0.27859,0.86658,0.628721,0.742298,0.212272,0.35248,0.420627,0.174674,0.826389,0.940807,0.527116,1.429894,0.181382,0.19709,0.215774,0.102183,1.667989,2.406085,0.176753,1.002646,0.260582,0.183862,0.131944,0.249504,0,0,c-CS-m
0.573658,4.036498,0.266861,2.63343,0.206559,1.315789,0.291722,0.889183,0.617297,0.730759,0.207353,0.340651,0.455171,0.181433,0.825961,0.905742,0.529677,1.380409,0.179669,0.172913,0.193502,0.09474,1.588065,2.368988,0.183851,0.944507,0.25559,0.178864,0.131253,0.279556,0,0,c-CS-m
0.583312,4.066493,0.256845,2.612516,0.200522,1.33455,0.302477,0.871447,0.646154,0.739765,0.201565,0.349413,0.433377,0.190613,0.821183,0.888319,0.509053,1.359558,0.181702,0.18074,0.19452,0.093575,1.59702,2.292742,0.191956,0.922769,0.245153,0.177856,0.129627,0.279282,0,0,c-CS-m
0.555621,4.887097,0.194853,3.391129,0.179554,1.247865,0.251898,0.845588,0.904056,0.774549,0.144568,0.293643,0.457543,0.14694,1.282226,0.892726,0.450359,1.785159,0.157868,0.173852,0.261329,0.146356,2.068558,2.396539,0.149509,0.845872,0.239625,0.130371,0.138143,?,0,0,c-CS-m
0.582699,5.211334,0.206716,3.513544,0.18924,1.33841,0.241168,0.885657,0.946698,0.809512,0.152415,0.314567,0.481463,0.15641,1.271924,0.876159,0.44425,1.780942,0.163563,0.172691,0.266448,0.148886,2.050894,2.373932,0.15743,0.865498,0.232932,0.132968,0.136911,?,0,0,c-CS-m
0.576313,5.32622,0.207413,3.511544,0.18158,1.416199,0.242731,0.902284,0.985648,0.823662,0.157494,0.319231,0.489579,0.158492,1.231375,0.874314,0.435677,1.755775,0.162504,0.174126,0.247257,0.150736,1.978559,2.327462,0.147199,0.850347,0.238161,0.133049,0.13471,?,0,0,c-CS-m
0.540699,4.799273,0.231863,3.867236,0.183657,1.308993,0.240872,0.812707,0.851272,0.740319,0.159159,0.314683,0.465307,0.174174,1.113975,0.861658,0.413702,1.437892,0.164563,0.16677,0.238457,0.140549,1.871811,2.323387,0.144522,0.82449,0.227421,0.129778,0.137724,?,0,0,c-CS-m
0.524386,4.582756,0.22168,3.844399,0.175739,1.331812,0.248269,0.835431,0.846602,0.72939,0.15922,0.313877,0.471838,0.168974,1.113039,0.860125,0.410229,1.468149,0.16626,0.176109,0.251378,0.141682,1.894461,2.380772,0.167977,0.860667,0.238547,0.134454,0.142315,?,0,0,c-CS-m
0.555485,4.806477,0.2194,3.859184,0.180346,1.421178,0.25131,0.834101,0.885061,0.754723,0.157485,0.322591,0.489125,0.175583,1.167392,0.871439,0.40773,1.490655,0.164943,0.173562,0.268463,0.142533,1.896026,2.352477,0.166213,0.856741,0.240519,0.136727,0.139539,?,0,0,c-CS-m
0.500887,4.102347,0.231315,3.681325,0.183396,1.175508,0.257346,0.778347,0.761783,0.682903,0.168803,0.318675,0.464603,0.188917,0.954751,0.82817,0.370809,1.200255,0.159879,0.155586,0.245156,0.140155,1.730363,2.274278,0.169857,0.79754,0.228565,0.147233,0.133658,?,0,0,c-CS-m
0.504505,4.128476,0.242068,3.698002,0.180964,1.199177,0.253427,0.787701,0.774383,0.686839,0.193498,0.318449,0.464943,0.189385,0.985924,0.859593,0.381476,1.251952,0.155666,0.17613,0.244145,0.143246,1.751715,2.264727,0.174,0.829548,0.234564,0.150934,0.139106,?,0,0,c-CS-m
0.493441,4.150656,0.228781,3.71412,0.175154,1.319252,0.257137,0.763696,0.78125,0.671103,0.171103,0.323302,0.470872,0.188079,1.031773,0.883301,0.372551,1.281653,0.160774,0.175346,0.246536,0.138318,1.750478,2.285356,0.171882,0.839226,0.242355,0.156952,0.139154,?,0,0,c-CS-m
0.474287,3.674147,0.239832,3.471482,0.184432,1.148901,0.269518,0.736793,0.697055,0.615708,0.176952,0.316503,0.467742,0.201964,0.875726,0.830523,0.340061,1.076998,0.158142,0.156069,0.247581,0.134227,1.614736,2.175007,0.17003,0.801769,0.227398,0.163257,0.140586,?,0,0,c-CS-m
0.477591,3.619628,0.236497,3.416226,0.176281,1.089405,0.257872,0.730177,0.704895,0.666284,0.17789,0.323834,0.453919,0.193289,0.903579,0.871719,0.341053,1.124912,0.166035,0.154246,0.255579,0.144702,1.635509,2.188632,0.186526,0.831719,0.246316,0.166175,0.140772,?,0,0,c-CS-m
0.480711,3.788637,0.240589,3.452888,0.175123,1.137246,0.255553,0.744447,0.729717,0.650222,0.179565,0.325929,0.468553,0.213467,0.945804,0.854394,0.346257,1.166266,0.180558,0.172916,0.249611,0.141927,1.643838,2.227253,0.197113,0.82765,0.241687,0.166973,0.14221,?,0,0,c-CS-m
0.470409,3.4375,0.255808,3.375553,0.192478,1.152931,0.287887,0.747788,0.708794,0.666206,0.190265,0.340431,0.49917,0.250553,0.841433,0.821634,0.302916,0.958603,0.165227,0.143988,0.24856,0.13085,1.468503,2.063715,0.181425,0.786897,0.24478,0.184125,0.145248,?,0,0,c-CS-m
0.47398,3.457384,0.259353,3.457384,0.192124,1.17384,0.281013,0.764838,0.720956,0.674824,0.195499,0.361181,0.496203,0.241913,0.813091,0.873636,0.330545,0.956182,0.177636,0.167273,0.282182,0.137273,1.497818,2.076545,0.199636,0.808545,0.251273,0.191455,0.136364,?,0,0,c-CS-m
0.47233,3.499723,0.270061,3.36497,0.18456,1.215274,0.259823,0.748201,0.727726,0.659103,0.180963,0.355838,0.497786,0.307139,0.859052,0.884313,0.300751,0.990298,0.185246,0.175178,0.262127,0.136372,1.501373,2.017756,0.20227,0.807066,0.258283,0.188907,0.139118,?,0,0,c-CS-m
0.828696,5.167979,0.207174,3.728084,0.239283,1.666579,0.255293,1.056343,1.0993,0.873228,0.167629,0.340857,0.361417,0.252056,1.061181,1.862368,0.541041,2.159547,0.158178,0.16112,0.292461,0.152597,1.687551,2.436587,0.168172,0.987774,0.239752,0.112926,0.132001,0.146865,0,0,c-CS-m
0.841974,5.194163,0.223433,3.64824,0.22103,1.56515,0.270815,1.03279,1.078712,0.789013,0.166695,0.337682,0.360258,0.252017,1.063985,1.692204,0.539226,2.167098,0.161579,0.161529,0.291489,0.151884,1.662872,2.354728,0.174704,0.981655,0.249031,0.121607,0.139008,0.161132,0,0,c-CS-m
0.852882,5.35082,0.20879,3.814545,0.2223,1.741732,0.263795,1.092289,1.094043,0.793754,0.172559,0.342398,0.374331,0.252303,1.059453,1.65484,0.561875,2.182447,0.167508,0.181034,0.270062,0.153629,1.716362,2.437317,0.156001,0.994146,0.247956,0.130261,0.134804,0.160594,0,0,c-CS-m
0.75539,4.727509,0.205892,3.77853,0.194153,1.505475,0.241562,0.948414,0.924822,0.742183,0.161982,0.312112,0.345186,0.277458,0.969007,2.027937,0.466762,1.795148,0.144363,0.163632,0.276939,0.134635,1.586368,2.38214,0.145049,0.970067,0.233225,0.107321,0.118982,0.144238,0,0,c-CS-m
