@relation 'winequality-white-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.RandomProjection-N9-R40-DSparse1-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.EM -I 100 -N 6 -X 10 -max -1 -ll-cv 1.0E-6 -ll-iter 1.0E-6 -M 1.0E-6 -K 10 -num-slots 1 -S 100'

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute quality {3,4,5,6,7,8,9}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
15.036279,-204.227496,-17.33575,-0.034641,43.994091,14.085037,23.278763,-177.79363,-0.121244,7,cluster5
54.097143,-240.976765,-16.466607,-2.37291,82.792029,15.434305,22.637904,-212.387534,-0.277128,8,cluster5
27.753863,-319.965729,-14.386934,-4.122281,56.464856,12.463838,20.264994,-292.591359,0.917987,5,cluster5
11.648215,-275.037371,-15.596944,-2.788602,39.144348,15.221262,21.719917,-247.054704,-0.242487,6,cluster5
80.272761,-441.306627,-16.289072,9.526279,109.119201,2.46644,22.222212,-425.602123,-0.121244,6,cluster1
44.605504,-283.216288,-15.600582,-3.827832,72.572929,15.688916,21.927763,-254.083193,-0.190526,6,cluster5
38.479414,-261.908426,-16.461238,9.283792,67.549981,3.219882,22.447378,-245.357294,-0.190526,6,cluster3
10.602576,-261.681007,-18.374634,-4.919024,42.26204,18.468858,23.936942,-229.597884,-0.363731,6,cluster5
43.943168,-229.507817,-19.588455,-3.08305,76.556646,17.852248,24.820288,-198.603181,-0.069282,7,cluster4
18.632363,-262.126144,-15.592961,9.249151,49.363448,-0.509223,21.269584,-247.079473,-0.259808,6,cluster3
-4.06443,-114.479205,-15.946299,-6.218062,26.500377,16.035326,22.395417,-82.610856,-0.34641,6,cluster5
36.272608,-203.512506,-16.987954,-3.308217,66.510751,15.259368,22.84575,-174.386339,-0.190526,6,cluster5
60.403367,-229.030984,-13.866972,-2.009179,85.2169,13.29349,20.039828,-203.860475,-0.381051,6,cluster5
21.696015,-314.903811,-15.941449,22.15293,48.151012,-8.424695,22.51666,-311.492364,0.121244,5,cluster2
15.433439,-247.110823,-20.454654,-3.689268,49.017038,19.347008,26.223249,-214.151628,-0.259808,5,cluster4
27.025882,-280.099636,-15.599889,4.382089,54.5596,7.601971,21.927763,-259.486153,0.277128,5,cluster3
47.563154,-271.042395,-17.6832,-4.052999,77.942286,17.211389,23.781058,-240.276323,0.017321,6,cluster5
64.362835,-256.955107,-13.163759,24.421916,90.586257,-16.033594,19.156482,-259.230675,-0.259808,5,cluster6
64.362835,-256.955107,-13.163759,24.421916,90.586257,-16.033594,19.156482,-259.230675,-0.259808,5,cluster6
94.16069,-299.288507,-14.560139,-1.489564,120.723941,11.930366,20.368917,-275.007579,-0.277128,6,cluster1
94.14337,-296.879224,-14.560139,-0.796743,120.723941,11.218493,20.386238,-273.277261,-0.259808,6,cluster1
32.710472,-295.740054,-15.250015,6.651075,60.621778,3.950808,21.14834,-278.521391,0.086603,6,cluster1
42.008121,-291.053125,-14.733863,-3.013768,68.589212,13.982846,20.594084,-264.623415,-0.051962,6,cluster5
42.025442,-294.737197,-14.733863,-3.169653,68.762417,13.97765,20.646046,-268.110033,-0.051962,6,cluster5
49.905753,-319.163097,-15.600408,-4.607255,78.635107,15.020345,21.338866,-290.536108,-0.225167,7,cluster5
93.087339,-379.376285,-15.252439,3.325538,119.857916,8.914866,21.286904,-358.182911,0.32909,4,cluster1
91.337794,-381.085992,-15.252613,3.308217,118.125865,8.875028,21.269584,-359.937305,0.363731,5,cluster1
32.710472,-295.740054,-15.250015,6.651075,60.621778,3.950808,21.14834,-278.521391,0.086603,6,cluster1
39.845829,-282.615266,-15.250707,2.857884,67.376776,8.474925,21.356186,-261.040841,-0.277128,5,cluster2
34.817166,-332.287539,-18.54732,-3.568025,66.164341,17.594172,24.768327,-300.932916,-0.207846,6,cluster5
49.781565,-245.796369,-17.335404,-3.308217,78.981517,17.098806,23.330724,-216.10694,-0.069282,7,cluster5
18.933047,-172.307878,-17.162891,-2.805922,47.111782,17.16982,23.261442,-143.271779,-0.294449,7,cluster5
50.075494,-218.01999,-17.162718,-3.308217,78.635107,17.363809,23.400006,-188.249847,-0.294449,6,cluster5
51.429785,-256.239596,-14.041736,-4.589935,77.595876,14.623705,19.364328,-229.583335,-0.6755,6,cluster5
32.460018,-361.704517,-17.336443,-3.845153,62.180624,16.906548,22.966994,-331.999152,-0.173205,6,cluster5
48.81993,-379.511038,-14.902219,13.856406,76.556646,-3.833028,20.524802,-370.137872,-0.225167,6,cluster1
72.5854,-261.773152,-13.688051,17.129982,96.994845,-6.024073,20.057148,-255.971475,-0.121244,6,cluster6
26.696272,-158.903364,-15.946819,2.580756,54.732806,9.224903,22.135609,-136.636465,0.398372,6,cluster3
60.435756,-222.965861,-15.428069,-4.572614,89.027412,15.280152,21.754558,-193.419153,-0.277128,6,cluster5
38.4084,-233.381549,-13.172073,2.338269,63.73947,6.28388,18.931315,-214.50947,-0.034641,6,cluster3
72.5854,-261.773152,-13.688051,17.129982,96.994845,-6.024073,20.057148,-255.971475,-0.121244,6,cluster6
12.160729,-292.688874,-16.470071,-4.174242,41.569219,15.527835,22.707186,-263.195513,0.69282,5,cluster5
26.696272,-158.903364,-15.946819,2.580756,54.732806,9.224903,22.135609,-136.636465,0.398372,6,cluster3
37.157166,-241.602555,-16.120716,-4.174242,66.164341,15.401396,22.031686,-212.62777,-0.051962,6,cluster5
35.582213,-235.026477,-14.041043,-2.476833,60.968188,13.018094,20.351597,-209.625606,0.554256,5,cluster5
26.206448,-239.126415,-20.10859,6.027537,57.850497,10.634792,26.136647,-216.14314,0.034641,7,cluster4
124.607199,-330.574021,-15.255904,-3.654627,151.900856,14.616777,21.46011,-302.940882,0.207846,5,cluster1
34.749443,-195.100628,-16.81371,-1.801333,63.566265,14.954527,22.655225,-167.53885,-0.138564,8,cluster5
21.228361,-196.144015,-14.729014,10.513548,49.190243,-1.03923,20.767289,-183.175112,-0.086603,5,cluster3
68.806758,-437.357378,-13.864027,8.608293,93.877154,2.258594,19.329687,-423.69704,-0.277128,6,cluster1
72.219244,-435.841487,-14.729706,2.459512,99.246511,8.26015,20.767289,-414.526177,0.121244,5,cluster1
37.631229,-370.382784,-15.594693,4.78046,64.08588,8.914866,21.997045,-349.492173,-0.017321,5,cluster1
1.150255,-155.281646,-14.039831,-7.655665,30.484094,14.334452,19.225764,-125.726277,-0.398372,6,cluster5
34.749443,-195.100628,-16.81371,-1.801333,63.566265,14.954527,22.655225,-167.53885,-0.138564,8,cluster5
21.228361,-196.144015,-14.729014,10.513548,49.190243,-1.03923,20.767289,-183.175112,-0.086603,5,cluster3
33.099145,-185.151382,-20.282661,-3.914435,65.991136,19.809465,26.379134,-151.853744,-0.311769,7,cluster4
15.018959,-152.397608,-19.067801,-3.585345,46.765372,18.494839,24.802968,-120.712163,-0.034641,7,cluster4
30.338775,-193.850953,-14.382777,7.82887,57.850497,0.96302,19.710738,-179.717765,-0.207846,5,cluster3
21.57252,-202.416291,-13.86524,4.347448,47.977807,5.681127,20.12643,-183.207501,0.450333,5,cluster3
41.868691,-227.35609,-16.639985,-3.100371,70.667673,15.998953,22.360776,-198.728408,-0.155885,6,cluster5
73.782766,-290.155749,-14.205415,21.321545,100.632152,-11.622061,19.866623,-288.747592,-0.242487,6,cluster6
65.21968,-305.693804,-15.59781,4.347448,93.703949,6.403392,21.737238,-285.541739,0.242487,5,cluster2
57.636762,-376.073956,-14.728321,7.707626,85.390105,2.308824,20.905853,-359.82247,-0.138564,6,cluster1
79.444667,-277.141293,-13.341295,14.272099,105.828304,-5.135531,18.619546,-269.216814,-0.311769,5,cluster6
75.963418,-271.929379,-13.341121,14.30674,102.364203,-5.133799,18.602226,-264.001782,-0.311769,6,cluster6
81.246,-280.38196,-13.341295,12.60933,107.73356,-3.644235,18.567585,-270.912492,-0.415692,6,cluster6
104.004801,-357.811906,-15.073692,17.268547,131.289451,-6.218062,21.009776,-351.151131,-0.103923,6,cluster1
79.444667,-277.141293,-13.341295,14.272099,105.828304,-5.135531,18.619546,-269.216814,-0.311769,5,cluster6
75.963418,-271.929379,-13.341121,14.30674,102.364203,-5.133799,18.602226,-264.001782,-0.311769,6,cluster6
81.246,-280.38196,-13.341295,12.60933,107.73356,-3.644235,18.567585,-270.912492,-0.415692,6,cluster6
98.251794,-436.087612,-13.863854,8.296523,123.148812,2.790334,19.43361,-421.953038,-0.277128,5,cluster1
60.881586,-268.996151,-20.10911,-2.944486,93.357539,18.974617,26.205929,-236.762685,-0.155885,7,cluster4
62.665425,-268.79021,-20.109283,-2.840563,95.089589,18.855105,26.171288,-236.76078,-0.207846,7,cluster4
69.83906,-288.764739,-18.201083,-4.191563,101.324972,17.164624,24.162109,-257.576047,-0.259808,7,cluster2
92.728631,-424.679979,-14.208186,14.895637,119.684711,-5.566811,19.970546,-416.992791,-0.051962,6,cluster1
30.93079,-283.772449,-13.513634,23.17484,55.425626,-11.822979,18.671508,-284.721267,-0.554256,6,cluster6
7.493371,-173.213221,-18.028397,-7.248633,40.876399,17.772573,23.607853,-139.716398,-0.164545,7,cluster5
-9.464618,-161.940515,-15.769283,6.841601,23.902301,-0.585433,21.182981,-144.753721,-0.173205,4,cluster3
30.93079,-283.772449,-13.513634,23.17484,55.425626,-11.822979,18.671508,-284.721267,-0.554256,6,cluster6
75.599688,-339.711455,-14.033942,16.194675,102.883818,-7.517101,19.554854,-333.74454,-0.207846,5,cluster6
96.087597,-295.348957,-14.555809,10.426946,123.148812,-0.093531,20.905853,-281.856974,-0.34641,5,cluster1
80.344641,-292.652501,-14.554423,16.71429,105.655099,-4.711178,20.975135,-285.454097,-0.051962,5,cluster6
61.825554,-292.146742,-13.856406,25.452487,89.200617,-17.084949,19.277725,-295.590059,-0.164545,5,cluster6
75.599688,-339.711455,-14.033942,16.194675,102.883818,-7.517101,19.554854,-333.74454,-0.207846,5,cluster6
44.457241,-194.997051,-14.20732,18.06529,71.533698,-8.765909,20.316956,-190.055164,-0.32909,6,cluster6
96.087597,-295.348957,-14.555809,10.426946,123.148812,-0.093531,20.905853,-281.856974,-0.34641,5,cluster1
89.493333,-297.706625,-14.031344,22.15293,116.220609,-12.678612,19.606815,-297.374071,-0.207846,6,cluster6
89.493333,-297.706625,-14.031344,22.15293,116.220609,-12.678612,19.606815,-297.374071,-0.207846,6,cluster6
47.393587,-353.764969,-16.120716,-3.464102,76.03703,15.41352,21.979725,-325.216268,0.086603,5,cluster5
97.039705,-295.630069,-13.517098,8.764177,122.109582,1.018446,18.636867,-283.255952,-0.640859,6,cluster1
63.791431,-438.828929,-13.683201,25.738275,90.413052,-16.821677,18.983277,-442.69833,-0.32909,5,cluster6
103.036585,-344.826721,-14.205934,16.315919,130.250221,-6.869314,19.468251,-338.70981,-0.32909,5,cluster6
35.484178,-273.532738,-14.035154,10.617471,61.834214,-0.379319,19.866623,-261.030103,0.121244,5,cluster6
35.484178,-273.532738,-14.035154,10.617471,61.834214,-0.379319,19.866623,-261.030103,0.121244,5,cluster6
-2.062873,-205.890612,-15.079234,0.199186,23.382686,13.250189,22.395417,-180.235475,0.840045,4,cluster5
24.909315,-274.699101,-17.855019,1.593487,53.693575,13.664149,24.127468,-249.055743,0.121244,6,cluster4
8.748762,-179.170091,-18.721564,-3.41214,39.837169,17.883425,24.54316,-148.308756,-0.450333,6,cluster4
103.036585,-344.826721,-14.205934,16.315919,130.250221,-6.869314,19.468251,-338.70981,-0.32909,5,cluster6
83.966705,-346.759689,-14.205934,16.211996,111.370867,-6.928203,19.502892,-340.48343,-0.277128,5,cluster6
19.80323,-171.526031,-15.946299,5.854332,46.592167,7.160298,22.291494,-152.419432,0.554256,5,cluster3
58.817674,-248.545134,-13.512768,13.250189,86.25613,-5.843939,18.965956,-240.291565,-0.138564,5,cluster6
38.339291,-247.398863,-15.077156,5.022947,66.510751,5.093961,21.373507,-228.187648,-0.259808,5,cluster3
9.881696,-274.697716,-14.037925,2.73664,36.199862,7.156834,20.351597,-254.21864,-0.155885,6,cluster3
53.802348,-301.195322,-15.254518,-2.528794,80.367157,14.632365,21.096379,-274.728892,-0.588897,6,cluster5
91.454361,-278.88235,-17.33575,-3.706589,120.723941,17.396718,23.261442,-248.821569,-0.294449,6,cluster2
33.089099,-239.651746,-16.464875,5.421319,63.046649,5.727892,22.49934,-219.618846,0.277128,5,cluster3
67.64663,-369.197368,-15.076117,8.296523,94.396769,3.710053,21.286904,-352.842652,-0.138564,7,cluster1
63.726306,-336.595669,-17.160467,0.519615,91.971898,14.403735,22.637904,-310.862244,-0.450333,7,cluster2
61.994255,-345.442984,-17.160467,0.363731,90.239847,14.573475,22.655225,-319.525962,-0.450333,6,cluster2
-4.964058,-111.987477,-16.63808,14.462624,21.997045,0.294449,23.157519,-100.050183,0.017321,5,cluster3
67.64663,-369.197368,-15.076117,8.296523,94.396769,3.710053,21.286904,-352.842652,-0.138564,7,cluster1
87.594832,-423.70137,-13.860044,17.762181,113.449328,-7.210528,19.502892,-418.525656,0.043301,5,cluster6
65.052711,-328.096842,-14.205934,21.962404,91.105872,-11.440196,20.195712,-326.947453,-0.051962,5,cluster6
81.105184,-367.229239,-13.689956,8.244562,107.04074,1.240148,19.658777,-353.009448,0.086603,5,cluster1
60.843308,-313.425159,-14.899274,21.702597,87.814976,-10.558582,20.767289,-311.290926,-0.069282,5,cluster6
45.140708,-242.523486,-16.814749,-6.321985,76.556646,16.702166,22.585943,-210.650287,-0.294449,6,cluster5
70.888509,-279.392786,-13.341121,12.003112,97.16805,-2.676018,18.619546,-269.113064,-0.519615,5,cluster6
34.643961,-195.588893,-16.988474,-2.701999,63.73947,15.649079,22.603263,-167.431636,-0.294449,7,cluster5
11.972455,-170.258343,-18.719486,-4.659217,45.206526,17.287599,24.456557,-137.925457,-0.190526,6,cluster4
18.156569,-160.720978,-15.947511,-0.848705,45.552936,13.830426,22.049007,-134.576364,-0.051962,5,cluster5
70.888509,-279.392786,-13.341121,12.003112,97.16805,-2.676018,18.619546,-269.113064,-0.519615,5,cluster6
48.466246,-217.786336,-16.987954,-5.681127,79.501132,16.889227,22.637904,-186.42236,-0.32909,6,cluster5
26.127467,-197.643105,-15.078022,-1.402961,56.291651,9.637131,20.680687,-172.548114,-0.34641,6,cluster3
14.881954,-182.646317,-17.680601,-4.815101,46.938577,16.217192,23.17484,-151.778053,-0.34641,6,cluster5
46.480449,-227.434726,-17.163757,-3.368839,74.9978,17.104002,22.759148,-198.597812,-0.199186,6,cluster5
75.7457,-318.531418,-15.775865,-1.316359,101.498177,15.183157,22.066327,-292.31094,-0.190526,6,cluster2
11.085298,-188.84013,-13.864894,4.806441,37.065887,5.693251,20.576764,-169.590464,0.788083,4,cluster3
13.253133,-164.794762,-19.066935,3.498743,43.820885,12.740966,25.062775,-139.769052,0.017321,7,cluster4
24.844537,-224.234762,-14.559619,0.762102,51.788319,9.172941,20.282315,-202.213468,-0.086603,6,cluster3
61.095321,-285.413567,-18.197965,5.958255,93.357539,6.264828,24.110147,-264.408641,-0.277128,7,cluster2
84.726383,-248.546173,-15.420795,10.253741,113.622533,-0.129904,21.044417,-234.851887,-0.484974,6,cluster2
24.844537,-224.234762,-14.559619,0.762102,51.788319,9.172941,20.282315,-202.213468,-0.086603,6,cluster3
54.407007,-198.562478,-16.295307,-4.641896,83.484849,16.250101,21.962404,-169.099947,-0.398372,5,cluster5
5.311507,-150.99049,-15.074731,4.486012,34.987426,4.02009,19.953225,-132.754073,-0.294449,6,cluster3
69.035908,-348.637752,-13.686839,16.852854,95.955615,-8.636005,18.965956,-344.061327,-0.311769,6,cluster6
69.035908,-348.637752,-13.686839,16.852854,95.955615,-8.636005,18.965956,-344.061327,-0.311769,6,cluster6
45.500628,-246.99772,-19.763046,-1.71473,76.383441,18.678436,26.032724,-216.135346,0.138564,7,cluster4
54.471959,-237.056441,-19.244124,0,83.484849,17.777769,26.136647,-207.820809,0.69282,8,cluster4
54.471959,-237.056441,-19.244124,0,83.484849,17.777769,26.136647,-207.820809,0.69282,8,cluster4
45.500628,-246.99772,-19.763046,-1.71473,76.383441,18.678436,26.032724,-216.135346,0.138564,7,cluster4
32.351245,-278.803022,-14.033076,19.572174,57.850497,-8.85944,19.260405,-276.249979,-0.588897,5,cluster6
6.985707,-170.863002,-16.639466,3.706589,35.160631,9.857101,22.84575,-148.509847,0.103923,5,cluster3
69.035908,-348.637752,-13.686839,16.852854,95.955615,-8.636005,18.965956,-344.061327,-0.311769,6,cluster6
95.707931,-362.610033,-14.727628,16.956777,122.455992,-6.13146,20.4382,-356.277655,-0.190526,5,cluster1
109.06239,-315.340288,-15.246897,16.263957,136.832014,-5.405731,20.975135,-307.76499,-0.225167,5,cluster1
52.182187,-359.131382,-14.90014,6.425908,82.099208,1.804797,20.247674,-342.227952,-0.32909,6,cluster1
22.394724,-201.500556,-20.109803,-1.316359,54.906011,17.123054,26.084685,-171.202137,0.484974,7,cluster4
19.757157,-277.176973,-14.381564,8.348485,47.631397,0.545596,19.970546,-262.824507,-0.034641,5,cluster3
-7.662939,-209.613135,-15.595732,5.78505,25.634352,0.304841,20.957815,-191.47787,-0.103923,5,cluster3
29.428582,-263.90115,-20.281276,-3.775871,62.527034,19.561782,25.668993,-231.396099,-0.277128,6,cluster4
11.78089,-198.585341,-17.334884,-5.334716,43.128065,16.826874,23.018955,-167.293072,-0.450333,6,cluster5
-11.933484,-206.880998,-18.030302,-5.698447,20.091789,18.105127,23.677135,-174.343385,0.190526,4,cluster5
35.111788,-250.818624,-18.200736,3.152332,64.605495,12.335666,24.404596,-226.205489,-0.363731,7,cluster4
40.753423,-301.532725,-15.936599,23.486609,70.148058,-13.009434,21.373507,-300.926507,-0.069282,5,cluster2
68.178196,-282.683336,-18.025972,6.82428,98.553691,6.980165,23.971583,-262.63554,-0.294449,6,cluster2
12.247331,-139.975686,-20.107378,2.165064,45.379731,13.173978,25.547749,-113.561911,-0.259808,4,cluster4
83.774448,-301.270839,-14.554077,18.203854,108.945996,-6.034465,20.767289,-295.749754,-0.121244,5,cluster6
1.079241,-213.279367,-13.348742,-1.766692,25.980762,11.847228,19.728059,-188.764266,1.03923,4,cluster3
56.369594,-324.319586,-14.211477,4.399409,82.099208,6.444961,19.728059,-306.094947,-0.121244,6,cluster1
57.790048,-319.350159,-14.384509,4.537973,83.831259,6.464014,19.953225,-300.914556,0.034641,6,cluster1
90.8523,-345.653948,-14.213902,-4.278165,117.95266,13.435518,20.282315,-318.518255,0.32909,5,cluster1
69.318405,-279.693296,-13.335059,31.887055,94.916384,-22.911568,18.584905,-290.376586,-0.207846,5,cluster6
95.484324,-399.501156,-14.899274,18.273136,122.802402,-7.482459,20.4382,-394.297729,-0.225167,6,cluster1
96.019701,-400.086416,-14.381218,14.514586,122.629197,-4.058195,19.277725,-392.274867,-0.519615,5,cluster1
99.432187,-407.014273,-14.380871,14.566547,126.093299,-4.110157,19.277725,-399.203417,-0.467654,5,cluster1
69.031578,-301.835141,-15.42322,10.496228,96.47523,1.091192,20.78461,-288.603659,-0.294449,6,cluster1
54.892847,-230.517949,-17.333672,3.031089,82.965234,11.590884,23.244122,-207.50038,0.121244,5,cluster2
23.834058,-218.265075,-20.281276,1.36832,56.811266,15.044593,26.050044,-189.961979,0.311769,8,cluster4
79.355986,-377.8067,-13.689783,9.301113,104.789074,0.611414,19.347008,-365.052571,0,4,cluster1
81.088037,-379.685975,-13.689783,9.127908,106.69433,0.602754,19.329687,-366.793282,0,6,cluster1
69.318405,-279.693296,-13.335059,31.887055,94.916384,-22.911568,18.584905,-290.376586,-0.207846,5,cluster6
29.986649,-232.878042,-18.025799,7.794229,60.275368,5.949595,23.711776,-214.216233,-0.138564,6,cluster3
43.724237,-238.418179,-14.905683,3.481422,70.321263,8.028055,21.13102,-217.734721,-0.32909,5,cluster3
115.361858,-335.802736,-14.039657,0.883346,140.988936,9.439677,19.520213,-314.807509,-0.259808,5,cluster1
117.076589,-334.266407,-14.039657,0.727461,142.720987,9.618078,19.537533,-313.052941,-0.259808,6,cluster1
115.361858,-339.306675,-14.039657,0.866025,140.988936,9.444873,19.554854,-318.266414,-0.259808,5,cluster1
79.390454,-386.718275,-13.689956,7.603703,105.308689,1.780548,19.606815,-372.058543,0.034641,5,cluster1
75.998925,-360.477878,-13.51346,16.315919,102.364203,-7.672985,19.347008,-354.737862,0.138564,5,cluster6
79.390454,-386.718275,-13.689956,7.603703,105.308689,1.780548,19.606815,-372.058543,0.034641,5,cluster1
80.416348,-341.80741,-14.378793,22.031686,107.04074,-11.880136,20.247674,-340.845775,0.017321,5,cluster6
75.998925,-360.477878,-13.51346,16.315919,102.364203,-7.672985,19.347008,-354.737862,0.138564,5,cluster6
75.963072,-416.788062,-14.900313,17.38979,103.749843,-6.703037,20.749969,-410.023711,0.381051,5,cluster1
48.038256,-243.060595,-19.061392,18.515623,79.327927,-3.211222,25.045455,-233.288018,-0.138564,6,cluster2
45.920824,-223.581086,-15.948031,0.103923,72.399724,13.712646,21.875802,-198.65826,-0.121244,4,cluster5
64.06371,-273.284362,-13.514846,14.826355,89.027412,-4.420194,19.0872,-265.937695,-0.502295,5,cluster6
51.330711,-234.535614,-14.210091,8.088677,77.942286,1.758032,20.351597,-219.486864,-0.277128,5,cluster3
18.458119,-239.809709,-15.420795,-0.987269,52.307934,7.08582,19.918584,-215.061474,-0.762102,4,cluster3
9.047887,-161.178066,-15.945606,-1.229756,37.758708,13.30215,21.633315,-134.656212,0.484974,5,cluster5
24.409792,-321.813308,-14.734556,-2.73664,50.402679,14.656614,20.161071,-295.714766,0.155885,6,cluster5
3.895382,-131.798674,-16.464875,13.258849,30.484094,1.338875,22.897712,-119.123526,-0.00866,5,cluster3
42.628888,-223.296337,-17.681121,-3.290897,72.399724,17.25469,23.469288,-193.383126,-0.34641,7,cluster5
51.330711,-234.535614,-14.210091,8.088677,77.942286,1.758032,20.351597,-219.486864,-0.277128,5,cluster3
38.389867,-233.540378,-15.078542,3.75855,65.298315,7.809817,21.615994,-212.61859,-0.277128,6,cluster3
42.67981,-212.156825,-17.508955,-2.165064,71.360493,16.748931,23.746417,-183.201092,0,7,cluster5
80.256479,-276.521738,-14.555982,12.072394,105.308689,0.235559,20.940494,-264.657537,0.034641,5,cluster1
60.143559,-306.244076,-17.331074,4.849742,90.932667,7.021734,23.105558,-285.216633,-0.155885,5,cluster2
80.256479,-276.521738,-14.555982,12.072394,105.308689,0.235559,20.940494,-264.657537,0.034641,5,cluster1
88.886942,-287.844501,-14.551132,26.656262,113.795738,-14.175104,20.836571,-290.643148,0.069282,5,cluster6
56.748566,-301.082738,-17.331247,4.797781,87.468566,7.091016,23.140199,-280.020308,-0.225167,5,cluster2
60.143559,-306.244076,-17.331074,4.849742,90.932667,7.021734,23.105558,-285.216633,-0.155885,5,cluster2
41.936587,-311.722207,-14.034634,10.366324,69.628442,-1.636788,19.641456,-299.39728,0.822724,6,cluster1
42.67981,-212.156825,-17.508955,-2.165064,71.360493,16.748931,23.746417,-183.201092,0,7,cluster5
42.78789,-277.982723,-14.040697,-3.619986,68.416007,14.492069,20.490161,-250.691145,-0.190526,6,cluster5
36.542635,-271.050536,-16.293575,-1.065211,64.605495,14.339649,22.568622,-243.905489,0.476314,6,cluster5
53.797152,-250.236655,-13.337138,24.699045,79.847542,-15.546888,19.43361,-252.248605,-0.294449,5,cluster6
55.640054,-372.976703,-15.079581,-0.571577,82.099208,12.82064,21.442789,-347.660356,-0.259808,6,cluster1
99.84736,-483.574902,-14.034981,11.466176,126.612914,-2.028231,19.797341,-472.361259,-0.121244,6,cluster1
55.640054,-372.976703,-15.079581,-0.571577,82.099208,12.82064,21.442789,-347.660356,-0.259808,6,cluster1
53.797152,-250.236655,-13.337138,24.699045,79.847542,-15.546888,19.43361,-252.248605,-0.294449,5,cluster6
30.236757,-259.410635,-13.688051,11.968471,56.811266,-2.462976,20.316956,-247.647239,0.969948,4,cluster3
50.433163,-355.921545,-14.899794,5.403999,80.193952,3.254523,20.836571,-337.123944,-0.207846,6,cluster1
69.676247,-379.79267,-14.726589,5.507922,99.073306,3.084782,20.628725,-361.386512,-0.207846,6,cluster1
81.004379,-341.411636,-13.860044,18.047969,107.73356,-9.020521,19.520213,-337.18855,-0.259808,6,cluster6
81.004379,-341.411636,-13.860044,18.047969,107.73356,-9.020521,19.520213,-337.18855,-0.259808,6,cluster6
81.004379,-341.411636,-13.860044,18.047969,107.73356,-9.020521,19.520213,-337.18855,-0.259808,6,cluster6
