@relation winequality-white-weka.filters.unsupervised.attribute.NumericToNominal-Rlast_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A12-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute quality {3,4,5,6,7,8,9}

@data
0.020857,0.04263,0.030349,0.101912,0.074665,0.049831,-0.008035,0.059131,0.025086,0.040066,-0.009834,6
-0.003563,0.045869,0.03378,0.083451,0.066913,0.044698,-0.011515,0.04871,0.0191,0.044019,-0.034713,7
-0.009928,0.054477,0.040644,0.08228,0.058548,0.040046,0.001756,0.058525,0.012004,0.039991,-0.016835,7
-0.013073,0.039355,0.041895,0.089609,0.055185,0.042132,0.007947,0.053503,0.023132,0.050577,-0.010933,6
-0.002233,0.058612,0.026223,0.070886,0.093062,0.012227,0.021553,0.018782,-0.006252,0.058409,-0.013212,6
0.014707,0.038608,0.007552,0.1043,0.053665,0.036158,-0.020379,0.063375,0.011759,0.05086,-0.006567,6
0.020494,0.01731,0.020189,0.091294,0.047964,0.023685,-0.017355,0.059651,-0.002491,0.030924,-0.006435,6
-0.01111,0.015754,0.057171,0.070445,0.043766,0.026278,-0.004093,0.045967,0.005777,0.034553,-0.006071,6
-0.008418,0.047958,0.056612,0.095681,0.027866,0.038865,-0.007917,0.038693,0.006511,0.057531,-0.029705,6
-0.014319,0.029563,0.042214,0.08891,0.04671,0.042255,0.013809,0.03692,0.034991,0.035608,-0.015129,6
0.002669,0.051663,0.045132,0.07533,0.049547,0.004308,-0.007906,0.031318,0.002534,0.045467,-0.021135,6
-0.01111,0.015754,0.057171,0.070445,0.043766,0.026278,-0.004093,0.045967,0.005777,0.034553,-0.006071,6
0.023728,0.04756,0.035547,0.112733,0.024099,0.043668,-0.026157,0.041077,0.01211,0.06927,-0.011512,5
-0.008418,0.047958,0.056612,0.095681,0.027866,0.038865,-0.007917,0.038693,0.006511,0.057531,-0.029705,6
-0.00677,0.044563,0.036669,0.102107,0.039229,0.028672,-0.008381,0.047228,0.021759,0.04607,-0.020669,6
-0.003178,0.054073,0.050967,0.080401,0.035242,0.023446,-0.033884,0.03043,0.017969,0.050127,-0.02713,5
0.018443,0.038671,0.033932,0.094416,0.05838,0.059815,-0.009632,0.079061,0.002344,0.051191,-0.030156,7
-0.005931,0.015751,0.042677,0.08368,0.039864,0.019295,-0.013782,0.039269,0.044121,0.071319,-0.031041,5
-0.019417,0.048686,0.035489,0.088788,0.051937,0.039657,-0.01322,0.051887,0.016128,0.03276,-0.037093,8
0.003384,0.036466,0.051636,0.090813,0.037268,0.030847,0.005996,0.043333,0.000094,0.02955,-0.016402,5
-0.000654,0.020769,0.00997,0.09169,0.054702,0.016051,-0.027081,0.046657,-0.003833,0.050597,0.008043,6
0.006063,0.028178,0.026174,0.095646,0.059847,0.028022,-0.040682,0.037338,0.022904,0.039558,-0.010631,5
-0.010889,0.041053,0.033519,0.088183,0.074505,0.050193,-0.04536,0.043113,0.017911,0.01305,-0.006433,5
-0.013106,0.059939,0.026419,0.105625,0.03269,0.013217,0.012197,0.030077,0.007605,0.02904,-0.029153,6
-0.019417,0.048686,0.035489,0.088788,0.051937,0.039657,-0.01322,0.051887,0.016128,0.03276,-0.037093,8
0.003384,0.036466,0.051636,0.090813,0.037268,0.030847,0.005996,0.043333,0.000094,0.02955,-0.016402,5
0.000381,0.045892,0.041694,0.104615,0.063127,0.056928,0.015335,0.067875,0.021457,0.051351,-0.027455,7
-0.018352,0.057058,0.033879,0.103675,0.053803,0.05869,-0.009561,0.055155,0.010387,0.038697,-0.049086,7
-0.002719,0.046499,0.040684,0.08642,0.039406,0.004636,-0.004785,0.048204,-0.004796,0.033991,-0.036442,5
-0.014803,0.043022,0.047256,0.093243,0.034582,0.055385,-0.009439,0.010509,-0.002873,0.047232,-0.018043,5
-0.019241,0.049077,0.028525,0.085163,0.059348,0.037666,-0.023128,0.05072,0.019871,0.025412,-0.044644,6
-0.001533,0.010291,0.037856,0.07374,0.049569,0.025713,-0.010511,0.051686,-0.003618,0.017766,-0.033477,6
0.008142,0.030802,0.044878,0.093857,0.049719,0.035407,-0.013635,0.034882,0.016114,0.052745,-0.025217,5
0.009321,0.020757,0.033808,0.09422,0.054123,0.033401,-0.017026,0.044232,0.019316,0.024969,-0.003069,6
-0.035122,0.010114,0.022623,0.09441,0.040751,0.038654,0.005858,0.021016,-0.013767,0.044572,-0.021731,5
-0.037127,0.011232,0.02216,0.095516,0.040259,0.040069,0.005334,0.020345,-0.014998,0.043247,-0.021922,6
-0.037064,0.011273,0.022092,0.096925,0.041259,0.033358,0.008252,0.022498,-0.010396,0.044696,-0.019206,6
-0.000354,0.003036,0.039821,0.082562,0.054442,0.031076,-0.011667,0.047224,0.009226,0.041161,-0.024254,6
-0.035122,0.010114,0.022623,0.09441,0.040751,0.038654,0.005858,0.021016,-0.013767,0.044572,-0.021731,5
-0.037127,0.011232,0.02216,0.095516,0.040259,0.040069,0.005334,0.020345,-0.014998,0.043247,-0.021922,6
-0.037064,0.011273,0.022092,0.096925,0.041259,0.033358,0.008252,0.022498,-0.010396,0.044696,-0.019206,6
-0.012675,0.011792,0.016384,0.091873,0.052352,0.015534,-0.022494,0.042657,0.005636,0.058546,0.004296,5
0.000908,0.033158,0.034693,0.107846,0.061534,0.057371,0.002047,0.065694,0.026121,0.060795,-0.025719,7
0.001758,0.032363,0.033859,0.105744,0.061732,0.054434,0.002703,0.068887,0.026852,0.059555,-0.026198,7
0.002365,0.031068,0.033505,0.102883,0.05763,0.038137,0.001534,0.058285,0.03358,0.04974,-0.026937,7
0.015817,0.003142,0.027729,0.091588,0.04428,0.018285,-0.017759,0.048138,0.006784,0.048373,-0.008026,6
-0.025451,0.018877,0.013751,0.085568,0.047159,0.036537,-0.00383,0.046414,-0.042121,0.029986,0.002491,6
0.00722,0.052193,0.032913,0.121575,0.035518,0.038372,0.016136,0.050752,0.015749,0.048478,-0.031919,7
0.020264,0.036274,0.032528,0.118693,0.027123,0.046451,0.030182,0.034711,-0.007509,0.023474,-0.033318,4
-0.025451,0.018877,0.013751,0.085568,0.047159,0.036537,-0.00383,0.046414,-0.042121,0.029986,0.002491,6
0.009336,0.013064,0.031944,0.087276,0.047952,0.017483,-0.004205,0.04329,-0.004371,0.040794,-0.01959,5
-0.003046,0.008715,0.048771,0.070229,0.059719,0.032414,0.006133,0.044076,0.027448,0.024172,-0.018994,5
-0.007685,0.01437,0.05627,0.074519,0.050187,0.031905,-0.009671,0.04763,0.009539,0.03746,-0.009437,5
0.003481,0.011963,0.040076,0.089577,0.04343,0.023388,-0.002035,0.041085,-0.021127,0.031298,-0.026934,5
0.009336,0.013064,0.031944,0.087276,0.047952,0.017483,-0.004205,0.04329,-0.004371,0.040794,-0.01959,5
0.004436,0.020449,0.055797,0.072687,0.043561,0.027657,0.015537,0.050931,0.00014,0.01719,-0.018432,6
-0.003046,0.008715,0.048771,0.070229,0.059719,0.032414,0.006133,0.044076,0.027448,0.024172,-0.018994,5
-0.010714,0.004189,0.038623,0.079232,0.042579,0.022925,-0.011159,0.04885,-0.002126,0.024769,-0.035729,6
-0.010714,0.004189,0.038623,0.079232,0.042579,0.022925,-0.011159,0.04885,-0.002126,0.024769,-0.035729,6
0.002631,0.039029,0.019024,0.09904,0.054642,0.03917,-0.030282,0.043287,0.018846,0.044609,-0.019199,5
-0.021668,0.024514,0.029826,0.081172,0.057774,-0.003645,0.011362,0.037692,-0.006369,0.064292,-0.013727,6
0.015773,0.003202,0.016003,0.093509,0.052357,0.020794,-0.019992,0.052011,-0.021959,0.027161,-0.002322,5
-0.017485,0.007021,0.02892,0.095841,0.050284,0.02016,-0.001911,0.034753,-0.00514,0.050789,-0.025042,5
-0.014499,0.032971,0.035715,0.095232,0.039044,0.038998,-0.019701,0.030342,-0.006702,0.036426,-0.016439,5
-0.014499,0.032971,0.035715,0.095232,0.039044,0.038998,-0.019701,0.030342,-0.006702,0.036426,-0.016439,5
-0.006752,0.061344,0.070556,0.08638,0.044736,0.066617,-0.035188,0.019928,0.01646,0.038777,-0.005402,4
0.003602,0.042721,0.035448,0.096945,0.052102,0.053467,-0.018822,0.059581,0.008691,0.05197,-0.008597,6
-0.00739,0.0535,0.035293,0.106723,0.052129,0.040772,0.008725,0.069383,0.012302,0.04161,-0.015722,6
-0.017485,0.007021,0.02892,0.095841,0.050284,0.02016,-0.001911,0.034753,-0.00514,0.050789,-0.025042,5
-0.009145,0.012533,0.026479,0.095406,0.052052,0.023615,-0.006361,0.035624,-0.008522,0.043405,-0.023312,5
-0.004537,0.05114,0.058582,0.084403,0.030886,0.038693,-0.027166,0.047625,0.003886,0.049058,-0.032031,5
-0.005934,0.026361,0.042039,0.089486,0.036292,0.011202,-0.005775,0.037562,0.000215,0.02856,-0.036603,5
0.007147,0.033661,0.048606,0.085836,0.053891,0.03358,0.007933,0.04366,0.017509,0.025894,-0.008729,5
0.008014,0.04497,0.042142,0.088555,0.047871,0.027807,-0.007577,0.042119,0.010956,0.025005,0.009425,6
-0.002789,0.044432,0.030066,0.081253,0.076906,0.020535,0.007605,0.042596,0.010758,0.050645,0.003251,6
-0.020787,0.022838,0.030062,0.093729,0.050629,0.037368,-0.001711,0.056077,0.033748,0.054721,-0.026236,6
0.003762,0.033524,0.041693,0.10527,0.033009,0.048201,-0.009462,0.042763,0.007818,0.046153,-0.028169,5
-0.006166,0.017643,0.030426,0.087508,0.055675,0.041214,-0.02418,0.048236,0.018484,0.026419,-0.005415,7
-0.027152,0.030702,0.009125,0.101246,0.065867,0.046449,-0.013482,0.051752,0.004535,0.05262,-0.010358,7
-0.025011,0.031195,0.008206,0.101297,0.067578,0.046979,-0.014479,0.051669,0.004464,0.05193,-0.008571,6
-0.01405,0.040016,0.058911,0.082328,0.03242,0.058428,-0.000566,0.064414,-0.008584,0.02689,-0.009225,5
-0.006166,0.017643,0.030426,0.087508,0.055675,0.041214,-0.02418,0.048236,0.018484,0.026419,-0.005415,7
-0.010337,0.002348,0.018063,0.093655,0.045712,0.039029,-0.031778,0.036044,-0.005838,0.041515,-0.011788,5
0.003225,0.008061,0.039754,0.079808,0.041247,0.030512,-0.01935,0.05482,-0.003065,0.024298,-0.014329,5
-0.001873,0.01476,0.032311,0.087429,0.036053,0.020306,-0.027248,0.042564,0.01793,0.040161,-0.014212,5
0.000224,0.010375,0.036347,0.082564,0.044937,0.037797,-0.018892,0.055183,-0.006203,0.022931,-0.021918,5
-0.003741,0.034116,0.028175,0.110882,0.040189,0.037993,0.011908,0.046402,0.02773,0.043401,-0.022494,6
-0.039575,0.014576,0.020689,0.097272,0.045339,0.036231,0.008984,0.023253,-0.011177,0.038602,-0.012094,5
-0.017269,0.04632,0.03035,0.095488,0.043804,0.030024,-0.003261,0.059507,0.012832,0.044272,-0.028403,7
-0.011098,0.0508,0.034326,0.118579,0.046083,0.054608,0.004353,0.052289,0.018263,0.032851,-0.03913,6
-0.025487,0.051475,0.044397,0.093033,0.042321,0.045143,-0.002183,0.040466,0.006958,0.043592,-0.016503,5
-0.039575,0.014576,0.020689,0.097272,0.045339,0.036231,0.008984,0.023253,-0.011177,0.038602,-0.012094,5
-0.010651,0.03874,0.027017,0.099009,0.049875,0.038676,0.005235,0.04829,0.025586,0.035322,-0.038076,6
-0.008981,0.039371,0.03023,0.099764,0.038464,0.031704,0.007106,0.040079,0.018335,0.016552,-0.033129,6
-0.004305,0.050515,0.027421,0.107982,0.046028,0.037336,0.00585,0.056365,0.015186,0.03195,-0.03689,6
-0.014807,0.043968,0.029327,0.10089,0.04194,0.02751,0.000273,0.056494,0.006948,0.071959,-0.016148,6
-0.010793,0.030118,0.037654,0.083054,0.052578,0.02509,-0.011634,0.055354,0.025713,0.060161,0.003743,6
-0.011597,0.047288,0.059688,0.091936,0.029919,0.063929,-0.019726,0.006828,0.001252,0.045239,-0.017579,4
-0.017039,0.04845,0.03788,0.098806,0.05233,0.067566,-0.011086,0.060967,0.001481,0.039041,-0.035818,7
-0.005211,0.048687,0.039579,0.096689,0.034931,0.014771,-0.003504,0.041759,0.002861,0.051597,-0.010643,6
0.015006,0.021202,0.036901,0.106179,0.056622,0.046323,0.014478,0.057633,0.015568,0.04749,-0.02292,7
-0.017105,0.019176,0.043563,0.092351,0.054666,0.025228,0.014343,0.042032,0.01108,0.03715,-0.031097,6
-0.005211,0.048687,0.039579,0.096689,0.034931,0.014771,-0.003504,0.041759,0.002861,0.051597,-0.010643,6
-0.017983,0.041032,0.033537,0.0922,0.049053,0.027689,0.010813,0.047327,0.019812,0.047587,-0.02831,5
-0.019398,0.056008,0.025596,0.097334,0.038473,0.017436,-0.014486,0.047152,-0.005727,0.008291,-0.060405,6
0.010102,0.016504,0.027823,0.090757,0.047914,0.00856,-0.002533,0.043647,-0.012698,0.044893,-0.013754,6
0.010102,0.016504,0.027823,0.090757,0.047914,0.00856,-0.002533,0.043647,-0.012698,0.044893,-0.013754,6
-0.003027,0.041211,0.040195,0.104057,0.055029,0.060761,-0.010962,0.063038,0.017961,0.066203,-0.023273,7
-0.002326,0.039347,0.058485,0.096106,0.04495,0.069197,-0.022032,0.053067,0.021053,0.081485,-0.021037,8
-0.002326,0.039347,0.058485,0.096106,0.04495,0.069197,-0.022032,0.053067,0.021053,0.081485,-0.021037,8
-0.003027,0.041211,0.040195,0.104057,0.055029,0.060761,-0.010962,0.063038,0.017961,0.066203,-0.023273,7
-0.013715,0.028105,0.027997,0.093682,0.046865,0.015505,0.00206,0.052569,-0.030876,0.039205,0.004507,5
-0.013032,0.051352,0.048469,0.097296,0.044056,0.053218,-0.004442,0.043035,-0.001496,0.045555,-0.015051,5
0.010102,0.016504,0.027823,0.090757,0.047914,0.00856,-0.002533,0.043647,-0.012698,0.044893,-0.013754,6
-0.000832,0.005996,0.0323,0.082702,0.05256,0.024745,-0.01305,0.049808,0.002484,0.042221,-0.020076,5
-0.010157,0.005373,0.041766,0.084119,0.053517,0.026653,-0.003137,0.046095,0.008911,0.043311,-0.033593,5
0.001492,0.024689,0.017255,0.109341,0.052192,0.028209,-0.012129,0.038858,0.008849,0.022156,-0.023473,6
0.005202,0.049787,0.03967,0.115907,0.039921,0.063471,-0.013872,0.057489,0.005285,0.074729,-0.040574,7
0.004471,0.041043,0.032717,0.098804,0.040826,0.022843,-0.017142,0.041433,-0.00394,0.028606,-0.019974,5
0.019554,0.034446,0.026109,0.127896,0.025138,0.047784,0.02346,0.030077,-0.008046,0.029285,-0.025873,5
0.000856,0.053941,0.019943,0.116106,0.074334,0.051746,-0.003587,0.060699,0.002664,0.060903,-0.033403,6
0.000227,0.049398,0.02837,0.106748,0.05081,0.039353,0.016124,0.052853,0.013506,0.037348,-0.017971,6
0.005888,0.055553,0.020987,0.122113,0.035873,0.060675,-0.001883,0.042386,-0.003039,0.059351,-0.022331,4
-0.007012,0.033998,0.035384,0.098177,0.060453,0.057123,0.007068,0.06197,0.009393,0.046233,-0.000699,7
0.013377,0.022048,0.03551,0.094819,0.049731,0.031271,-0.020396,0.059569,-0.016727,0.020252,-0.037611,5
0.00255,0.02069,0.037788,0.102408,0.054419,0.043739,0.013039,0.059964,0.009679,0.061354,-0.011876,6
-0.00888,0.051239,0.034218,0.115788,0.052654,0.056736,0.016401,0.062652,-0.008691,0.059549,-0.037371,4
-0.010913,0.013331,0.051909,0.07645,0.052222,0.030166,-0.008191,0.046939,0.00214,0.042825,-0.008841,5
-0.007196,0.060044,0.049381,0.099551,0.016331,0.046373,-0.033089,0.00481,-0.005512,0.072436,-0.012193,4
-0.013367,0.034188,0.020633,0.08472,0.046605,0.017358,-0.031613,0.047203,0.005786,0.036773,-0.021091,6
-0.016874,0.03407,0.023361,0.090156,0.043816,0.02432,-0.032937,0.040452,0.004473,0.042756,-0.024023,6
-0.001087,0.028641,0.038862,0.095383,0.037388,0.017972,-0.021627,0.02589,0.033076,0.065628,-0.023063,5
-0.008364,0.006871,0.041767,0.084136,0.034982,0.013386,-0.007405,0.049531,-0.031668,0.033858,-0.026252,5
-0.001696,0.004194,0.024434,0.088794,0.057295,0.02838,-0.020024,0.048944,-0.00049,0.036567,-0.02202,6
-0.017967,0.006988,0.005176,0.093911,0.052194,0.015257,-0.01709,0.05039,-0.009204,0.04511,-0.01897,5
-0.020038,0.006234,0.005522,0.096544,0.051731,0.016816,-0.018787,0.047292,-0.009138,0.047649,-0.019841,5
-0.014738,0.022219,0.022781,0.089834,0.047373,0.024453,-0.015016,0.054844,-0.000802,0.040177,-0.027366,6
-0.017744,0.040595,0.043116,0.09654,0.041827,0.034744,-0.017969,0.056458,0.008689,0.063968,-0.028153,5
-0.008927,0.043761,0.026152,0.116959,0.051797,0.082486,-0.015613,0.051284,-0.001887,0.059581,-0.045951,8
-0.004115,0.019648,0.026787,0.088547,0.041368,0.013218,-0.028709,0.0432,0.006193,0.048673,-0.012595,4
-0.001794,0.019812,0.026448,0.087021,0.044029,0.013305,-0.028086,0.041884,0.006538,0.04798,-0.015324,6
-0.008364,0.006871,0.041767,0.084136,0.034982,0.013386,-0.007405,0.049531,-0.031668,0.033858,-0.026252,5
0.004989,0.037758,0.036019,0.104276,0.047984,0.041082,0.002975,0.062435,-0.006865,0.057856,-0.019503,6
-0.008139,0.035251,0.042811,0.077433,0.054913,0.032766,0.001444,0.046953,0.016131,0.028034,-0.00789,5
0.012216,0.04828,0.040711,0.054834,0.117106,0.00828,0.010396,0.002319,-0.003683,0.082655,-0.036713,5
0.009711,0.047117,0.041234,0.056738,0.115507,0.009456,0.011871,0.001104,-0.003077,0.084267,-0.035408,6
0.012397,0.047315,0.041425,0.056884,0.115326,0.008155,0.011516,0.002551,-0.003082,0.084291,-0.033398,5
0.00552,0.019196,0.032206,0.088197,0.044346,0.015461,-0.024141,0.040224,0.014385,0.046446,-0.008627,5
0.007979,0.012156,0.037015,0.087247,0.039379,0.022052,-0.022162,0.038342,0.001775,0.038798,-0.019739,5
0.00552,0.019196,0.032206,0.088197,0.044346,0.015461,-0.024141,0.040224,0.014385,0.046446,-0.008627,5
0.006888,0.007262,0.041777,0.081696,0.045685,0.026621,-0.017876,0.049283,-0.003359,0.03459,-0.022863,5
0.007979,0.012156,0.037015,0.087247,0.039379,0.022052,-0.022162,0.038342,0.001775,0.038798,-0.019739,5
0.006979,0.007022,0.024782,0.100956,0.047913,0.053914,-0.030693,0.028762,-0.007864,0.049808,-0.018988,5
0.003641,0.019254,0.041745,0.093333,0.059575,0.063917,-0.004317,0.072083,-0.003363,0.030001,-0.036386,6
-0.025403,0.044476,0.036174,0.085728,0.051518,0.036895,-0.010823,0.04544,0.007213,0.052033,-0.017334,4
-0.025888,0.018104,0.032595,0.084244,0.042958,0.020227,0.001419,0.045157,-0.007825,0.035774,-0.004141,5
-0.006803,0.027176,0.049297,0.083594,0.04129,0.02379,0.00682,0.044799,0.01299,0.031861,-0.008115,5
-0.024224,0.035781,-0.001753,0.138598,0.050163,0.050195,0.029483,0.01226,-0.008402,0.021164,-0.036121,4
-0.036218,0.05782,0.032643,0.105495,0.032783,0.060532,-0.032537,0.022912,-0.000992,0.038214,-0.052119,5
-0.016618,0.05117,0.008043,0.094474,0.04359,0.030593,-0.048114,0.040821,-0.000287,0.04325,-0.021216,6
-0.012556,0.042314,0.05965,0.083027,0.036273,0.0489,-0.000165,0.062244,-0.008612,0.036583,-0.006674,5
-0.018283,0.043412,0.029398,0.094882,0.056266,0.040958,-0.006316,0.059781,0.020443,0.036378,-0.029539,7
-0.006803,0.027176,0.049297,0.083594,0.04129,0.02379,0.00682,0.044799,0.01299,0.031861,-0.008115,5
-0.00296,0.034459,0.050352,0.077581,0.054471,0.038014,0.003137,0.048007,0.022324,0.022093,-0.003432,6
-0.015495,0.041821,0.043121,0.095042,0.043701,0.044953,-0.008407,0.056654,0.021219,0.052154,-0.019431,7
-0.019342,0.019901,0.055796,0.08101,0.043445,0.03131,-0.011862,0.042266,0.012213,0.048074,-0.00921,5
0.004762,0.025063,0.034779,0.113901,0.045475,0.035544,0.00262,0.053196,0.011942,0.058018,-0.01548,5
-0.019342,0.019901,0.055796,0.08101,0.043445,0.03131,-0.011862,0.042266,0.012213,0.048074,-0.00921,5
-0.014014,0.005116,0.059853,0.074167,0.045291,0.035897,-0.015544,0.049182,-0.005073,0.038083,-0.018261,5
0.006942,0.025742,0.035439,0.111537,0.04653,0.033703,0.004901,0.056584,0.012867,0.054782,-0.012926,5
0.004762,0.025063,0.034779,0.113901,0.045475,0.035544,0.00262,0.053196,0.011942,0.058018,-0.01548,5
-0.00008,0.03735,0.035057,0.108874,0.032612,0.043765,-0.037141,0.007221,-0.016107,0.061826,-0.03972,6
-0.015495,0.041821,0.043121,0.095042,0.043701,0.044953,-0.008407,0.056654,0.021219,0.052154,-0.019431,7
-0.013724,0.037507,0.039502,0.084771,0.046356,0.031774,-0.008273,0.037884,0.028992,0.031727,0.006219,6
-0.01464,0.043689,0.037071,0.100723,0.045126,0.060731,-0.030765,0.029527,0.012973,0.051016,-0.024395,6
-0.007126,0.008109,0.04993,0.076664,0.045118,0.0397,0.006727,0.040166,-0.008692,0.01055,-0.011654,5
