@relation winequality-white-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.RandomSubset-N9.0-S10

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute quality {3,4,5,6,7,8,9}

@data
6.2,0.45,0.26,4.4,0.063,63,206,3.27,0.52,4
6.2,0.46,0.25,4.4,0.066,62,207,3.25,0.52,5
7,0.31,0.26,7.4,0.069,28,160,3.13,0.46,6
6.9,0.19,0.35,5,0.067,32,150,3.36,0.48,5
7.2,0.19,0.31,1.6,0.062,31,173,3.35,0.44,6
6.6,0.25,0.29,1.1,0.068,39,124,3.34,0.58,7
6.2,0.16,0.33,1.1,0.057,21,82,3.32,0.46,7
6.4,0.18,0.35,1,0.045,39,108,3.31,0.35,6
6.8,0.2,0.59,0.9,0.147,38,132,3.05,0.38,6
6.9,0.25,0.35,1.3,0.039,29,191,3.13,0.52,6
7.2,0.21,0.34,11.9,0.043,37,213,3.09,0.5,6
6,0.19,0.26,12.4,0.048,50,147,3.3,0.36,6
6.6,0.38,0.15,4.6,0.044,25,78,3.11,0.38,6
7.4,0.2,0.36,1.2,0.038,44,111,3.36,0.34,6
6.8,0.22,0.24,4.9,0.092,30,123,3.03,0.46,6
6,0.19,0.26,12.4,0.048,50,147,3.3,0.36,6
7,0.47,0.07,1.1,0.035,17,151,3.02,0.34,5
6.6,0.38,0.15,4.6,0.044,25,78,3.11,0.38,6
7.2,0.24,0.27,1.4,0.038,31,122,3.15,0.46,6
6.2,0.35,0.03,1.2,0.064,29,120,3.22,0.54,5
6.4,0.26,0.24,6.4,0.04,27,124,3.22,0.49,7
6.7,0.25,0.13,1.2,0.041,81,174,3.14,0.42,5
6.7,0.23,0.31,2.1,0.046,30,96,3.33,0.64,8
7.4,0.24,0.29,10.1,0.05,21,105,3.13,0.35,5
6.2,0.27,0.43,7.8,0.056,48,244,3.1,0.51,6
6.8,0.3,0.23,4.6,0.061,50.5,238.5,3.32,0.6,5
6,0.27,0.28,4.8,0.063,31,201,3.69,0.71,5
8.6,0.23,0.46,1,0.054,9,72,2.95,0.49,6
6.7,0.23,0.31,2.1,0.046,30,96,3.33,0.64,8
7.4,0.24,0.29,10.1,0.05,21,105,3.13,0.35,5
7.1,0.18,0.36,1.4,0.043,31,87,3.26,0.37,7
7,0.32,0.34,1.3,0.042,20,69,3.31,0.65,7
7.4,0.18,0.3,8.8,0.064,26,103,2.94,0.56,5
6.7,0.54,0.28,5.4,0.06,21,105,3.27,0.37,5
6.8,0.22,0.31,1.4,0.053,34,114,3.39,0.77,6
7.1,0.2,0.34,16,0.05,51,166,3.21,0.6,6
7.1,0.34,0.2,6.1,0.063,47,164,3.17,0.42,5
7.3,0.22,0.3,8.2,0.047,42,207,3.33,0.46,6
7.1,0.43,0.61,11.8,0.045,54,155,3.11,0.45,5
7.1,0.44,0.62,11.8,0.044,52,152,3.12,0.46,6
7.2,0.39,0.63,11,0.044,55,156,3.09,0.44,6
6.8,0.25,0.31,13.3,0.05,69,202,3.22,0.48,6
7.1,0.43,0.61,11.8,0.045,54,155,3.11,0.45,5
7.1,0.44,0.62,11.8,0.044,52,152,3.12,0.46,6
7.2,0.39,0.63,11,0.044,55,156,3.09,0.44,6
6.1,0.27,0.43,7.5,0.049,65,243,3.12,0.47,5
6.9,0.24,0.33,1.7,0.035,47,136,3.26,0.4,7
6.9,0.21,0.33,1.8,0.034,48,136,3.25,0.41,7
7.5,0.17,0.32,1.7,0.04,51,148,3.21,0.44,7
7.1,0.26,0.29,12.4,0.044,62,240,3.04,0.42,6
6,0.34,0.66,15.9,0.046,26,164,3.14,0.5,6
8.6,0.265,0.36,1.2,0.034,15,80,2.95,0.36,7
9.8,0.36,0.46,10.5,0.038,4,83,2.89,0.3,4
6,0.34,0.66,15.9,0.046,26,164,3.14,0.5,6
7.4,0.25,0.37,13.5,0.06,52,192,3,0.44,5
7.1,0.12,0.32,9.6,0.054,64,162,3.4,0.41,5
6,0.21,0.24,12.1,0.05,55,164,3.34,0.39,5
7.5,0.305,0.4,18.9,0.059,44,170,2.99,0.46,5
7.4,0.25,0.37,13.5,0.06,52,192,3,0.44,5
7.3,0.13,0.32,14.4,0.051,34,109,3.2,0.35,6
7.1,0.12,0.32,9.6,0.054,64,162,3.4,0.41,5
7.1,0.23,0.35,16.5,0.04,60,171,3.16,0.59,6
7.1,0.23,0.35,16.5,0.04,60,171,3.16,0.59,6
6.9,0.33,0.28,1.3,0.051,37,187,3.27,0.6,5
6.5,0.17,0.54,8.5,0.082,64,163,2.89,0.39,6
7.2,0.27,0.46,18.75,0.052,45,255,3.04,0.52,5
7.2,0.31,0.5,13.3,0.056,68,195,3.01,0.47,5
6.7,0.41,0.34,9.2,0.049,29,150,3.22,0.51,5
6.7,0.41,0.34,9.2,0.049,29,150,3.22,0.51,5
5.5,0.485,0,1.5,0.065,8,103,3.63,0.4,4
6,0.31,0.24,3.3,0.041,25,143,3.31,0.44,6
7,0.14,0.4,1.7,0.035,16,85,3.19,0.42,6
7.2,0.31,0.5,13.3,0.056,68,195,3.01,0.47,5
7.3,0.32,0.48,13.3,0.06,57,196,3.04,0.5,5
5.9,0.36,0.04,5.7,0.046,21,87,3.22,0.51,5
7.8,0.24,0.32,12.2,0.054,42,138,3.01,0.54,5
7.4,0.16,0.31,6.85,0.059,31,131,3.29,0.34,5
6.9,0.19,0.28,5,0.058,14,146,3.29,0.36,6
6.4,0.13,0.47,1.6,0.092,40,158,3.21,0.36,6
6.7,0.19,0.36,1.1,0.026,63,143,3.27,0.48,6
7.4,0.39,0.23,7,0.033,29,126,3.14,0.42,5
6.5,0.24,0.32,7.6,0.038,48,203,3.45,0.54,7
6.1,0.3,0.56,2.8,0.044,47,179,3.3,0.57,7
6.1,0.3,0.56,2.7,0.046,46,184,3.31,0.57,6
5.7,0.26,0.25,10.4,0.02,7,57,3.39,0.37,5
6.5,0.24,0.32,7.6,0.038,48,203,3.45,0.54,7
6.5,0.425,0.4,13.1,0.038,59,241,3.23,0.57,5
6.6,0.24,0.27,15.8,0.035,46,188,3.24,0.51,5
6.8,0.27,0.22,8.1,0.034,55,203,3.19,0.52,5
6.7,0.27,0.31,15.7,0.036,44,179,3.26,0.56,5
8.2,0.23,0.4,1.2,0.027,36,121,3.12,0.38,6
7.1,0.37,0.67,10.5,0.045,49,155,3.16,0.44,5
6.8,0.19,0.36,1.9,0.035,30,96,3.15,0.54,7
8.1,0.28,0.39,1.9,0.029,18,79,3.23,0.52,6
6.3,0.31,0.34,2.2,0.045,20,77,3.3,0.43,5
7.1,0.37,0.67,10.5,0.045,49,155,3.16,0.44,5
7.9,0.21,0.4,1.2,0.039,38,107,3.21,0.54,6
8.5,0.21,0.41,4.3,0.036,24,99,3.18,0.53,6
8.1,0.2,0.4,2,0.037,19,87,3.12,0.54,6
6.3,0.255,0.37,1.1,0.04,37,114,3,0.39,6
5.6,0.16,0.27,1.4,0.044,53,168,3.28,0.37,6
6.4,0.595,0.14,5.2,0.058,15,97,3.38,0.36,4
6.3,0.34,0.33,4.6,0.034,19,80,3.38,0.58,7
6.9,0.25,0.3,4.1,0.054,23,116,2.99,0.38,6
7.9,0.22,0.38,8,0.043,46,152,3.12,0.32,7
7.6,0.18,0.46,10.2,0.055,58,135,3.14,0.43,6
6.9,0.25,0.3,4.1,0.054,23,116,2.99,0.38,6
7.2,0.18,0.41,1.2,0.048,41,97,3.14,0.45,5
8.2,0.23,0.4,7.5,0.049,12,76,3.06,0.84,6
7.4,0.24,0.42,14,0.066,48,198,2.89,0.42,6
7.4,0.24,0.42,14,0.066,48,198,2.89,0.42,6
6.1,0.32,0.24,1.5,0.036,38,124,3.29,0.42,7
5.2,0.44,0.04,1.4,0.036,43,119,3.36,0.33,8
5.2,0.44,0.04,1.4,0.036,43,119,3.36,0.33,8
6.1,0.32,0.24,1.5,0.036,38,124,3.29,0.42,7
6.4,0.22,0.56,14.5,0.055,27,159,2.98,0.4,5
6.3,0.36,0.3,4.8,0.049,14,85,3.28,0.39,5
7.4,0.24,0.42,14,0.066,48,198,2.89,0.42,6
6.7,0.24,0.35,13.1,0.05,64,205,3.15,0.5,5
7,0.23,0.36,13,0.051,72,177,3.16,0.49,5
8.4,0.27,0.46,8.7,0.048,39,197,3.14,0.59,6
6.7,0.46,0.18,2.4,0.034,25,98,3.08,0.44,7
7.5,0.29,0.31,8.95,0.055,20,151,3.08,0.54,5
9.8,0.42,0.48,9.85,0.034,5,110,2.87,0.29,5
7.1,0.3,0.46,1.5,0.066,29,133,3.12,0.54,6
7.9,0.19,0.45,1.5,0.045,17,96,3.13,0.39,6
7.6,0.48,0.37,0.8,0.037,4,100,3.03,0.39,4
6.3,0.22,0.43,4.55,0.038,31,130,3.35,0.33,7
7.5,0.27,0.31,17.7,0.051,33,173,3.09,0.64,5
6.9,0.23,0.4,7.5,0.04,50,151,3.11,0.27,6
7.2,0.32,0.47,5.1,0.044,19,65,3.03,0.41,4
5.9,0.23,0.3,12.9,0.054,57,170,3.28,0.39,5
6,0.67,0.07,1.2,0.06,9,108,3.11,0.35,4
6.4,0.25,0.32,5.5,0.049,41,176,3.19,0.68,6
6.4,0.33,0.31,5.5,0.048,42,173,3.19,0.66,6
7.1,0.34,0.15,1.2,0.053,61,183,3.09,0.43,5
6.8,0.28,0.4,22,0.048,48,167,2.93,0.5,5
6.9,0.27,0.4,14,0.05,64,227,3.18,0.58,6
6.8,0.26,0.56,11.9,0.043,64,226,3.02,0.63,5
6.8,0.29,0.56,11.9,0.043,66,230,3.02,0.63,5
6.7,0.24,0.41,9.4,0.04,49,166,3.12,0.61,6
5.9,0.3,0.23,4.2,0.038,42,119,3.15,0.5,5
6.8,0.53,0.35,3.8,0.034,26,109,3.26,0.57,8
6.5,0.28,0.28,8.5,0.047,54,210,3.09,0.54,4
6.6,0.28,0.28,8.5,0.052,55,211,3.09,0.55,6
6.8,0.28,0.4,22,0.048,48,167,2.93,0.5,5
6.8,0.28,0.36,8,0.045,28,123,3.02,0.37,6
6.6,0.15,0.34,5.1,0.055,34,125,3.36,0.42,5
6.4,0.29,0.44,3.6,0.2,75,181,3.02,0.41,5
6.4,0.3,0.45,3.5,0.197,76,180,3.02,0.39,6
6.4,0.29,0.44,3.6,0.197,75,183,3.01,0.38,5
6.8,0.26,0.24,7.8,0.052,54,214,3.13,0.47,5
7.1,0.32,0.24,13.1,0.05,52,204,3.1,0.49,5
6.8,0.26,0.24,7.8,0.052,54,214,3.13,0.47,5
6.8,0.27,0.26,16.1,0.049,55,196,3.15,0.5,5
7.1,0.32,0.24,13.1,0.05,52,204,3.1,0.49,5
6.9,0.54,0.32,13.2,0.05,53,236,3.2,0.5,5
6.8,0.26,0.34,13.9,0.034,39,134,3.33,0.53,6
5.8,0.28,0.35,2.3,0.053,36,114,3.28,0.5,4
6.4,0.21,0.5,11.6,0.042,45,153,3.15,0.43,5
7,0.16,0.32,8.3,0.045,38,126,3.21,0.34,5
10.2,0.44,0.88,6.2,0.049,20,124,2.99,0.51,4
6.8,0.57,0.29,2.2,0.04,15,77,3.32,0.74,5
6.1,0.4,0.31,0.9,0.048,23,170,3.22,0.77,6
5.6,0.245,0.25,9.7,0.032,12,68,3.31,0.34,5
6.8,0.18,0.38,1.4,0.038,35,111,3.32,0.59,7
7,0.16,0.32,8.3,0.045,38,126,3.21,0.34,5
6.7,0.13,0.29,5.3,0.051,31,122,3.44,0.37,6
6.2,0.25,0.25,1.4,0.03,35,105,3.3,0.44,7
5.8,0.26,0.24,9.2,0.044,55,152,3.31,0.38,5
7.5,0.27,0.36,7,0.036,45,164,3.03,0.33,5
5.8,0.26,0.24,9.2,0.044,55,152,3.31,0.38,5
5.7,0.28,0.24,17.5,0.044,60,167,3.31,0.44,5
7.5,0.23,0.36,7,0.036,43,161,3.04,0.32,5
7.5,0.27,0.36,7,0.036,45,164,3.03,0.33,5
7.2,0.685,0.21,9.5,0.07,33,172,3,0.55,6
6.2,0.25,0.25,1.4,0.03,35,105,3.3,0.44,7
6.5,0.19,0.3,0.8,0.043,33,144,3.42,0.39,6
6.3,0.495,0.22,1.8,0.046,31,140,3.39,0.54,6
7.1,0.24,0.41,17.8,0.046,39,145,3.32,0.39,5
6.4,0.17,0.32,2.4,0.048,41,200,3.5,0.5,6
7.1,0.25,0.32,10.3,0.041,66,272,3.17,0.52,6
6.4,0.17,0.32,2.4,0.048,41,200,3.5,0.5,6
7.1,0.24,0.41,17.8,0.046,39,145,3.32,0.39,5
6.8,0.64,0.08,9.7,0.062,26,142,3.37,0.46,4
8.3,0.28,0.4,7.8,0.041,38,194,3.34,0.51,6
8.2,0.27,0.39,7.8,0.039,49,208,3.31,0.51,6
7.2,0.23,0.38,14.3,0.058,55,194,3.09,0.44,6
7.2,0.23,0.38,14.3,0.058,55,194,3.09,0.44,6
7.2,0.23,0.38,14.3,0.058,55,194,3.09,0.44,6
7.2,0.23,0.38,14.3,0.058,55,194,3.09,0.44,6
6.8,0.52,0.32,13.2,0.044,54,221,3.27,0.5,6
7,0.26,0.59,1.4,0.037,40,120,3.34,0.41,7
6.2,0.25,0.21,15.55,0.039,28,159,3.48,0.64,6
7.3,0.32,0.23,13.7,0.05,49,197,3.2,0.46,5
7.7,0.31,0.26,7.8,0.031,23,90,3.13,0.5,5
7.1,0.21,0.37,2.4,0.026,23,100,3.15,0.38,7
6.8,0.24,0.34,2.7,0.047,64.5,218.5,3.3,0.58,6
6.9,0.4,0.56,11.2,0.043,40,142,3.14,0.46,5
6.1,0.18,0.36,2,0.038,20,249.5,3.37,0.79,6
6.8,0.21,0.27,2.1,0.03,26,139,3.16,0.61,7
5.8,0.2,0.27,1.4,0.031,12,77,3.25,0.36,7
5.6,0.19,0.26,1.4,0.03,12,76,3.25,0.37,7
6.1,0.41,0.14,10.4,0.037,18,119,3.38,0.45,5
5.9,0.21,0.28,4.6,0.053,40,199,3.72,0.7,4
8.5,0.26,0.21,16.2,0.074,41,197,3.02,0.5,3
6.9,0.4,0.56,11.2,0.043,40,142,3.14,0.46,5
5.8,0.24,0.44,3.5,0.029,5,109,3.53,0.43,3
5.8,0.24,0.39,1.5,0.054,37,158,3.21,0.52,6
6.7,0.26,0.39,1.1,0.04,45,147,3.32,0.58,8
6.3,0.35,0.3,5.7,0.035,8,97,3.27,0.41,7
6.3,0.35,0.3,5.7,0.035,8,97,3.27,0.41,7
6.4,0.23,0.39,1.8,0.032,23,118,3.32,0.5,6
5.8,0.36,0.38,0.9,0.037,3,75,3.28,0.34,4
6.9,0.115,0.35,5.4,0.048,36,108,3.32,0.42,6
6.9,0.29,0.4,19.45,0.043,36,156,2.93,0.47,5
6.9,0.28,0.4,8.2,0.036,15,95,3.17,0.33,5
7.2,0.29,0.4,13.6,0.045,66,231,3.08,0.59,6
6.2,0.24,0.35,1.2,0.038,22,167,3.1,0.48,6
6.9,0.29,0.4,19.45,0.043,36,156,2.93,0.47,5
6.9,0.32,0.26,8.3,0.053,32,180,3.25,0.51,6
5.3,0.58,0.07,6.9,0.043,34,149,3.34,0.57,5
5.3,0.585,0.07,7.1,0.044,34,145,3.34,0.57,6
5.4,0.59,0.07,7,0.045,36,147,3.34,0.57,6
6.9,0.32,0.26,8.3,0.053,32,180,3.25,0.51,6
5.2,0.6,0.07,7,0.044,33,147,3.33,0.58,5
5.8,0.25,0.26,13.1,0.051,44,148,3.29,0.38,5
6.6,0.58,0.3,5.1,0.057,30,123,3.24,0.38,5
7,0.29,0.54,10.7,0.046,59,234,3.05,0.61,5
6.6,0.19,0.41,8.9,0.046,51,169,3.14,0.57,6
6.7,0.2,0.41,9.1,0.044,50,166,3.14,0.58,6
7.7,0.26,0.4,1.1,0.042,9,60,2.89,0.5,5
6.8,0.32,0.34,1.2,0.044,14,67,3.05,0.47,4
7,0.3,0.49,4.7,0.036,17,105,3.26,0.68,7
7,0.24,0.36,2.8,0.034,22,112,3.19,0.38,8
6.1,0.31,0.58,5,0.039,36,114,3.3,0.6,8
6.8,0.44,0.37,5.1,0.047,46,201,3.08,0.65,4
6.7,0.34,0.3,15.6,0.054,51,196,3.19,0.49,5
7.1,0.35,0.24,15.4,0.055,46,198,3.12,0.49,5
7.3,0.32,0.25,7.2,0.056,47,180,3.08,0.47,5
6.5,0.28,0.33,15.7,0.053,51,190,3.22,0.51,6
7.2,0.23,0.39,14.2,0.058,49,192,2.98,0.48,7
7.2,0.23,0.39,14.2,0.058,49,192,2.98,0.48,7
7.2,0.23,0.39,14.2,0.058,49,192,2.98,0.48,7
7.2,0.23,0.39,14.2,0.058,49,192,2.98,0.48,7
5.9,0.15,0.31,5.8,0.041,53,155,3.52,0.46,6
7.4,0.28,0.42,19.8,0.066,53,195,2.96,0.44,5
6.2,0.28,0.22,7.3,0.041,26,157,3.44,0.64,7
9.1,0.59,0.38,1.6,0.066,34,182,3.23,0.38,3
6.3,0.33,0.27,1.2,0.046,34,175,3.37,0.54,6
8.3,0.39,0.7,10.6,0.045,33,169,3.09,0.57,5
7.2,0.19,0.46,3.8,0.041,82,187,3.19,0.6,7
7.5,0.17,0.44,11.3,0.046,65,146,3.17,0.45,6
6.7,0.17,0.5,2.1,0.043,27,122,3.15,0.45,6
6.1,0.41,0,1.6,0.063,36,87,3.27,0.67,6
8.3,0.2,0.35,0.9,0.05,12,74,3.13,0.38,6
6.1,0.41,0,1.6,0.063,36,87,3.27,0.67,6
6,0.29,0.21,1.3,0.055,42,168,3.32,0.43,6
7.3,0.41,0.24,6.8,0.057,41,163,3.2,0.41,6
7.3,0.41,0.24,6.8,0.057,41,163,3.2,0.41,6
7.2,0.43,0.24,6.7,0.058,40,163,3.2,0.41,5
7.3,0.4,0.24,6.7,0.058,41,166,3.2,0.41,6
6.2,0.33,0.27,4.9,0.036,30,134,3.2,0.42,7
6.2,0.31,0.26,4.8,0.037,36,148,3.21,0.41,6
6.1,0.36,0.27,2.1,0.035,16,100,3.4,0.71,7
5,0.55,0.14,8.3,0.032,35,164,3.53,0.51,8
7.8,0.25,0.41,3.7,0.042,37,149,3.36,0.45,6
5.7,0.36,0.21,6.7,0.038,51,166,3.29,0.63,6
5.8,0.34,0.21,6.6,0.04,50,167,3.29,0.62,5
6.8,0.28,0.6,1.1,0.132,42,127,3.09,0.44,6
6.8,0.25,0.34,4.7,0.031,34,134,3.21,0.38,6
6.6,0.24,0.35,7.7,0.031,36,135,3.19,0.37,5
5.9,0.3,0.47,7.85,0.03,19,133,3.52,0.43,7
6.1,0.125,0.25,3.3,0.04,10,69,3.54,0.59,6
6,0.1,0.24,1.1,0.041,15,65,3.61,0.61,7
6.6,0.24,0.35,7.7,0.031,36,135,3.19,0.37,5
6.8,0.25,0.34,4.7,0.031,34,134,3.21,0.38,6
6.8,0.28,0.44,9.3,0.031,35,137,3.16,0.36,6
8.3,0.41,0.51,2,0.046,11,207,3.02,0.55,5
7.5,0.27,0.31,5.8,0.057,131,313,3.18,0.59,5
7.9,0.26,0.41,15.15,0.04,38,216,2.96,0.6,6
6.4,0.34,0.23,6.3,0.039,37,143,3.19,0.65,6
6.5,0.28,0.35,15.4,0.042,55,195,3.23,0.5,6
7.2,0.21,0.41,1.3,0.036,33,85,3.17,0.51,5
6.4,0.32,0.35,4.8,0.03,34,101,3.36,0.6,8
6.8,0.24,0.34,4.6,0.032,37,135,3.2,0.39,5
6.3,0.23,0.3,1.8,0.033,16,91,3.28,0.4,6
6.5,0.28,0.34,9.9,0.038,30,133,3.11,0.44,5
5.6,0.26,0.26,5.7,0.031,12,80,3.25,0.38,5
6.3,0.23,0.3,1.8,0.033,16,91,3.28,0.4,6
6.3,0.23,0.33,1.5,0.036,15,105,3.32,0.42,6
5.8,0.27,0.27,12.3,0.045,55,170,3.28,0.42,6
5.9,0.26,0.4,1.3,0.047,12,139,3.45,0.53,5
6.6,0.18,0.35,1.5,0.049,49,141,3.43,0.85,7
7.4,0.2,0.43,7.8,0.045,27,153,3.19,0.55,7
8,0.24,0.36,1.5,0.047,17,129,3.2,0.54,6
6.4,0.26,0.42,9.7,0.044,30,140,3.18,0.47,6
5.4,0.31,0.47,3,0.053,46,144,3.29,0.76,5
5.4,0.29,0.47,3,0.052,47,145,3.29,0.75,6
7.1,0.145,0.33,4.6,0.05,33,131,3.28,0.4,6
5.6,0.34,0.1,1.3,0.031,20,68,3.36,0.51,7
6.7,0.19,0.41,15.6,0.056,75,155,3.2,0.44,6
7.8,0.18,0.46,13.6,0.052,38,118,3.15,0.5,6
7.6,0.17,0.45,11.2,0.054,56,137,3.15,0.47,5
6.3,0.12,0.36,2.1,0.044,47,146,3.27,0.74,7
7.3,0.33,0.4,6.85,0.038,32,138,3.03,0.3,7
5.5,0.335,0.3,2.5,0.071,27,128,3.14,0.51,6
7.3,0.33,0.4,6.85,0.038,32,138,3.03,0.3,7
5.8,0.4,0.42,4.4,0.047,38.5,245,3.25,0.57,6
7.3,0.22,0.37,14.3,0.063,48,191,2.89,0.38,6
7.3,0.22,0.37,14.3,0.063,48,191,2.89,0.38,6
6.1,0.36,0.33,1.1,0.05,24,169,3.15,0.78,6
10,0.2,0.39,1.4,0.05,19,152,3,0.42,6
6.9,0.24,0.34,4.7,0.04,43,161,3.2,0.59,6
6.4,0.24,0.32,14.9,0.047,54,162,3.28,0.5,6
7.1,0.365,0.14,1.2,0.055,24,84,3.15,0.43,5
6.8,0.15,0.3,5.3,0.05,40,127,3.4,0.39,6
7.3,0.22,0.37,14.3,0.063,48,191,2.89,0.38,6
6.8,0.16,0.4,2.3,0.037,18,102,3.49,0.42,7
6,0.26,0.32,3.5,0.028,29,113,3.4,0.71,7
6,0.18,0.27,1.5,0.089,40,143,3.49,0.62,6
6.9,0.33,0.21,1,0.053,39,148,3.12,0.45,6
7.7,0.29,0.48,2.3,0.049,36,178,3.17,0.64,6
7.1,0.39,0.35,12.5,0.044,26,72,3.17,0.29,5
6.9,0.33,0.21,1,0.053,39,148,3.12,0.45,6
7.7,0.29,0.48,2.3,0.049,36,178,3.17,0.64,6
6.6,0.905,0.19,0.8,0.048,17,204,3.34,0.56,5
7.2,0.27,0.27,2.4,0.048,30,149,3.1,0.51,6
5.1,0.33,0.22,1.6,0.027,18,89,3.51,0.38,7
5.1,0.33,0.22,1.6,0.027,18,89,3.51,0.38,7
6.4,0.31,0.28,1.5,0.037,12,119,3.32,0.51,7
7.3,0.2,0.44,1.4,0.045,21,98,3.15,0.46,7
5.7,0.32,0.5,2.6,0.049,17,155,3.22,0.64,6
6.4,0.31,0.28,1.5,0.037,12,119,3.32,0.51,7
7.3,0.2,0.44,1.4,0.045,21,98,3.15,0.46,7
7.2,0.28,0.26,12.5,0.046,48,179,3.1,0.52,6
7.5,0.35,0.28,9.6,0.051,26,157,3.12,0.53,6
7.2,0.27,0.27,2.4,0.048,30,149,3.1,0.51,6
6,0.36,0.39,3.2,0.027,20,125,3.38,0.39,7
5.1,0.33,0.22,1.6,0.027,18,89,3.51,0.38,7
5,0.17,0.56,1.5,0.026,24,115,3.48,0.39,7
6.3,0.39,0.35,5.9,0.04,82.5,260,3.12,0.66,5
6.7,0.21,0.32,5.4,0.047,29,140,3.39,0.46,6
7,0.3,0.38,14.9,0.032,60,181,3.18,0.61,7
7,0.3,0.38,14.9,0.032,60,181,3.18,0.61,7
6.5,0.36,0.32,1.1,0.031,13,66,3.1,0.46,5
6.1,0.55,0.15,9.8,0.031,19,125,3.36,0.47,6
7.3,0.24,0.43,2,0.021,20,69,3.08,0.56,6
6.8,0.37,0.51,11.8,0.044,62,163,3.19,0.44,5
6.8,0.27,0.12,1.3,0.04,87,168,3.18,0.41,5
8.2,0.28,0.42,1.8,0.031,30,93,3.09,0.39,5
6.3,0.2,0.4,1.5,0.037,35,107,3.46,0.5,6
5.9,0.26,0.27,18.2,0.048,52,168,3.35,0.44,5
6.4,0.19,0.42,2.9,0.032,32,83,3.3,0.41,6
6.3,0.2,0.4,1.5,0.037,35,107,3.46,0.5,6
6.8,0.37,0.51,11.8,0.044,62,163,3.19,0.44,5
