@relation winequality-white-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement-weka.filters.supervised.instance.Resample-B0.0-S1-Z20.0-no-replacement

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality {3,4,5,6,7,8,9}

@data
6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1,4
8.7,0.31,0.21,5.6,0.039,28,67,0.99328,2.96,0.52,11,4
6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,5
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5
7.1,0.31,0.47,13.6,0.056,54,197,0.9978,3.1,0.49,9.3,5
6.4,0.46,0.22,14.7,0.047,51,183,0.998275,3.39,0.6,10.5,5
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5
6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5
6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2,5
6.4,0.28,0.27,11,0.042,45,148,0.99786,3.14,0.46,8.7,5
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5
8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5
5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,5
7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
6.6,0.24,0.38,8,0.042,56,187,0.99577,3.21,0.46,9.2,5
6.7,0.5,0.38,7.5,0.046,26,175,0.99662,3.32,0.54,9.6,5
5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5
6.9,0.28,0.22,10,0.052,36,131,0.99696,3.08,0.46,9.6,5
6.6,0.22,0.34,11.6,0.05,59,140,0.99526,3.22,0.4,10.8,5
5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5
7.3,0.37,0.16,14.9,0.048,59,240,0.99902,3.13,0.45,8.9,5
5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,5
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5
6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5
7.7,0.43,0.37,10,0.169,22,210,0.99776,3.02,0.64,9.5,5
8,0.22,0.31,5.6,0.049,24,97,0.993,3.1,0.42,10.9,5
5.8,0.2,0.34,1,0.035,40,86,0.98993,3.5,0.42,11.7,5
5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2,5
7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10,5
7.1,0.33,0.18,6.3,0.094,27,166,0.99474,2.9,0.49,9.5,5
6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,5
5.7,0.335,0.34,1,0.04,13,174,0.992,3.27,0.66,10,5
7.6,0.25,0.34,1.3,0.056,34,176,0.99434,3.1,0.51,9.5,5
6.7,0.23,0.17,1.3,0.061,14,100,0.9925,3.07,0.55,9.5,5
6.3,0.36,0.2,2,0.048,48,191,0.9929,3.17,0.51,9.6,5
7,0.24,0.51,11,0.029,55,227,0.9965,3.03,0.61,9.5,5
6.3,0.29,0.3,8.1,0.212,60,150,0.9958,3.1,0.4,9.3,5
6.2,0.21,0.26,13.1,0.05,59,150,0.99772,3.31,0.46,9,5
7.5,0.27,0.79,11.95,0.04,51,159,0.99839,2.98,0.44,8.7,5
6.8,0.32,0.3,1,0.049,22,113,0.99289,3.24,0.61,10.2,5
6.5,0.32,0.23,8.5,0.051,20,138,0.9943,3.03,0.42,10.7,5
6.5,0.38,0.34,3.4,0.036,34,200,0.9937,3.14,0.76,10,5
5.8,0.31,0.31,7.5,0.052,55,230,0.9949,3.19,0.46,9.8,5
6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5
7.5,0.18,0.72,9.6,0.039,53,151,0.99802,3.03,0.46,8.9,5
6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8,5
6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8,5
7.2,0.43,0.24,6.7,0.058,40,163,0.995,3.2,0.41,9.9,5
6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6,5
6.1,0.4,0.18,9,0.051,28.5,259,0.9964,3.19,0.5,8.8,5
6.7,0.24,0.32,10.3,0.079,37,122,0.99662,3.02,0.45,8.8,5
5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,5
6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5
8.2,0.25,0.46,3.75,0.05,14,102,0.99524,3.28,0.58,9.7,5
7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5
7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5
6.3,0.32,0.26,12.3,0.044,24,205,0.99611,3.11,0.58,9.9,5
6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9,5
8.3,0.25,0.33,2.5,0.053,12,72,0.99404,2.89,0.48,9.5,5
5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8,5
6.2,0.45,0.73,7.2,0.099,47,202,0.99582,3.21,0.43,9.2,5
6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5
5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5
6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3,5
6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,5
6,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10,5
5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,5
5.6,0.35,0.14,5,0.046,48,198,0.9937,3.3,0.71,10.3,5
6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,5
6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5
5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.733333,5
6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,5
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5
6.1,0.21,0.19,1.4,0.046,51,131,0.99184,3.22,0.39,10.5,5
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5
6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,5
5.8,0.6,0,1.3,0.044,72,197,0.99202,3.56,0.43,10.9,5
9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,5
7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5
6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,5
6.1,0.41,0.14,10.4,0.037,18,119,0.996,3.38,0.45,10,5
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5
7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5
6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5,5
7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5
8.6,0.27,0.46,6.1,0.032,13,41,0.993,2.89,0.34,10.9,5
7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,5
6.2,0.31,0.21,6.3,0.041,50,218,0.9941,3.15,0.6,10,5
8.3,0.27,0.34,10.2,0.048,50,118,0.99716,3.18,0.51,10.3,5
6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5
6.9,0.38,0.38,13.1,0.112,14,94,0.99792,3.02,0.48,9.2,5
5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1,5
7.1,0.23,0.28,1.9,0.046,33,103,0.98997,3.12,0.31,12,5
6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,5
6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,5
7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,5
7,0.23,0.42,1.1,0.062,35,100,0.99318,3.04,0.4,9.2,5
6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,5
6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,5
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5
7.2,0.25,0.32,1.5,0.047,27,132,0.9933,3.26,0.44,10.5,5
5.8,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5
7.6,0.27,0.32,1.2,0.043,23,72,0.99236,3.06,0.68,10.5,5
6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4,5
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5
6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5
7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,5
7,0.31,0.35,1.6,0.063,13,119,0.99184,3.22,0.5,10.7,5
5.9,0.26,0.24,2.4,0.046,27,132,0.99234,3.63,0.73,11.3,5
5.8,0.22,0.3,1.1,0.047,36,131,0.992,3.26,0.45,10.4,5
7.5,0.15,0.38,1.8,0.054,19,101,0.9946,3.24,0.44,10,5
7.2,0.29,0.2,7.7,0.046,51,174,0.99582,3.16,0.52,9.5,5
6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,5
7.5,0.22,0.29,4.8,0.05,33,87,0.994,3.14,0.42,9.9,5
6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5
6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10,5
8.1,0.45,0.34,8.3,0.037,33,216,0.9976,3.31,0.64,9.7,5
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
7.3,0.34,0.22,1.4,0.044,43,176,0.99286,3.14,0.46,9.9,5
6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5,5
7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,5
8.6,0.22,0.33,1.2,0.031,38,95,0.99239,2.83,0.31,10.3,5
7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,5
7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,5
7.2,0.14,0.35,1.2,0.036,15,73,0.9938,3.46,0.39,9.9,5
7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,5
8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5,5
8.2,0.31,0.43,7,0.047,18,87,0.99628,3.23,0.64,10.6,5
8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5
7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,5
5.3,0.23,0.56,0.9,0.041,46,141,0.99119,3.16,0.62,9.7,5
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,5
6.1,0.46,0.32,6.2,0.053,10,94,0.99537,3.35,0.47,10.1,5
7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11,5
6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,5
6.9,0.18,0.38,6.5,0.039,20,110,0.9943,3.1,0.42,10.5,5
9.2,0.32,0.42,1.3,0.046,14,186,0.9949,3.08,0.48,9.6,5
6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
8.4,0.57,0.44,10.7,0.051,46,195,0.9981,3.15,0.51,10.4,5
6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,5
6.7,0.3,0.44,18.5,0.057,65,224,0.99956,3.11,0.53,9.1,5
6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5
7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5
6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,5
7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5
8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5
6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,5
7.7,0.26,0.32,1.2,0.04,26,117,0.993,3.21,0.56,10.8,5
6.4,0.21,0.34,16.05,0.04,56,142,0.99678,3.11,0.38,10.6,5
5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,5
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5
6.6,0.27,0.52,8.1,0.044,53,202,0.99548,3.18,0.48,9.5,5
8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5
6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,5
6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,5
6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,5
5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,5
7.3,0.29,0.37,8.3,0.044,45,227,0.9966,3.12,0.47,9,5
7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,5
6.5,0.26,0.5,8,0.051,46,197,0.99536,3.18,0.47,9.5,5
6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5
7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,5
6.8,0.28,0.44,11.5,0.04,58,223,0.9969,3.22,0.56,9.5,5
9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,5
6.4,0.37,0.2,5.6,0.117,61,183,0.99459,3.24,0.43,9.5,5
7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,5
6.6,0.26,0.46,7.8,0.047,48,186,0.9958,3.2,0.54,9.1,5
7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5
7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5
7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5
7.2,0.13,0.46,1.3,0.044,48,111,0.99127,2.97,0.45,11.1,5
7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,5
6.5,0.25,0.5,7.6,0.047,54,184,0.99572,3.17,0.45,9.2,5
6.6,0.26,0.31,4.8,0.138,41,168,0.9951,3.2,0.38,9.3,5
6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12,5
7.1,0.25,0.28,1.2,0.04,31,111,0.99174,3.18,0.53,11.1,5
6.7,0.31,0.32,14.5,0.038,6,79,0.99412,3.14,0.34,12.5,5
9.4,0.16,0.3,1.4,0.042,26,176,0.9954,3.15,0.46,9.1,5
6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,5
6,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5
6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5
6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,5
6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,5
8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,5
6.8,0.31,0.42,6.9,0.046,50,173,0.9958,3.19,0.46,9,5
6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,5
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5
5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10,6
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6
7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6
7.1,0.25,0.32,10.3,0.041,66,272,0.9969,3.17,0.52,9.1,6
6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,6
6.4,0.34,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10,6
6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6
6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,6
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6
7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,6
5.3,0.585,0.07,7.1,0.044,34,145,0.9945,3.34,0.57,9.7,6
6.7,0.17,0.5,2.1,0.043,27,122,0.9923,3.15,0.45,10.3,6
8.3,0.2,0.35,0.9,0.05,12,74,0.992,3.13,0.38,10.5,6
7.1,0.26,0.32,5.9,0.037,39,97,0.9934,3.31,0.4,11.6,6
7,0.14,0.41,0.9,0.037,22,95,0.9914,3.25,0.43,10.9,6
7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6
6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,6
8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,6
7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6
7,0.2,0.49,5.9,0.038,39,128,0.9938,3.21,0.48,10.8,6
7.7,0.16,0.49,2,0.056,20,124,0.9948,3.32,0.49,10.7,6
6.7,0.16,0.49,2.4,0.046,57,187,0.9952,3.62,0.81,10.4,6
7.2,0.16,0.49,1.3,0.037,27,104,0.9924,3.23,0.57,10.6,6
7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,6
6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6
5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,6
6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6
6,0.39,0.26,2.7,0.038,39,187,0.99325,3.41,0.5,10.8,6
6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,6
6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,6
6.9,0.19,0.28,5,0.058,14,146,0.9952,3.29,0.36,9.1,6
8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6
6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6
8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,6
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6
7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6
7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6
8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,6
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
5.9,0.26,0.21,12.5,0.034,36,152,0.9972,3.28,0.43,9.5,6
6.9,0.23,0.34,4,0.047,24,128,0.9944,3.2,0.52,9.7,6
6.6,0.14,0.44,1.6,0.042,47,140,0.993,3.32,0.51,10.2,6
7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,6
6.8,0.26,0.33,1.5,0.047,44,167,0.9928,3.12,0.44,10.5,6
6.4,0.31,0.4,6.2,0.04,46,169,0.9953,3.15,0.46,9.3,6
7.2,0.16,0.32,0.8,0.04,50,121,0.9922,3.27,0.33,10,6
7.9,0.255,0.26,2,0.026,40,190,0.9932,3.04,0.39,11.2,6
6.6,0.18,0.28,3.3,0.044,18,91,0.993,3.42,0.64,10.8,6
7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6
7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,6
7.1,0.18,0.42,1.4,0.045,47,157,0.9916,2.95,0.31,10.5,6
8.7,0.34,0.46,13.8,0.055,68,198,0.9988,3.36,0.37,9.5,6
8.8,0.39,0.34,5.9,0.055,33,128,0.9927,2.95,0.51,11.8,6
7.9,0.18,0.37,3,0.061,25,178,0.995,3.22,0.51,10,6
7,0.13,0.3,5,0.056,31,122,0.9945,3.47,0.42,10.5,6
6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,6
8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,6
8.5,0.17,0.74,3.6,0.05,29,128,0.9928,3.28,0.4,12.4,6
7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6
7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,6
6.9,0.17,0.22,4.6,0.064,55,152,0.9952,3.29,0.37,9.3,6
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,6
7.5,0.28,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,6
7,0.14,0.49,5.9,0.053,22,118,0.9954,3.36,0.36,9.4,6
9,0.3,0.49,7.2,0.039,32,84,0.9938,2.94,0.32,11.5,6
7.6,0.23,0.49,10,0.036,45,182,0.9967,3.08,0.58,9.6,6
7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6
7.3,0.3,0.42,7.35,0.025,51,175,0.9928,3.04,0.32,11.4,6
6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6
6.2,0.28,0.27,10.3,0.03,26,108,0.99388,3.2,0.36,10.7,6
6.6,0.21,0.29,1.8,0.026,35,128,0.99183,3.37,0.48,11.2,6
5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6
7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6
6.6,0.23,0.29,14.45,0.057,29,144,0.99756,3.33,0.54,10.2,6
7,0.22,0.29,8.9,0.05,24,90,0.99556,3.29,0.46,9.8,6
7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6
7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6
6.3,0.21,0.28,1.5,0.051,46,142,0.9928,3.23,0.42,10.1,6
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
7.3,0.29,0.29,4.6,0.029,27,155,0.9931,3.07,0.26,10.6,6
5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11,6
6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6
5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,6
5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,6
8.7,0.45,0.4,1.5,0.067,17,100,0.9957,3.27,0.57,10.1,6
8,0.2,0.36,1.2,0.032,21,78,0.9921,3.08,0.37,10.4,6
8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6
